"sample_id","GEM_logCPM","Group","n_cells","Cooks_distance","hat"
"D1_NC1",5.25898477447543,"CN",42,0.00276983981231004,0.12210965895909
"D1_NC10",4.27911010613526,"CN",73,0.00494746124094276,0.090520665630866
"D1_NC11",3.66760083661843,"CN",46,0.036876305497469,0.122109658959091
"D1_NC15",4.49047508741608,"CN",59,5.45608478077878e-06,0.109912050674559
"D1_NC16",3.66760083661843,"CN",44,0.0220439709117861,0.0905206656308659
"D1_NC17",4.55080313513109,"CN",44,0.00316377480572074,0.122109658959091
"D1_NC18",6.35618518134086,"CN",36,0.0432031652296498,0.127542340112907
"D1_NC19",5.49688243467855,"CN",49,0.00440544122589703,0.252822674193798
"D1_NC2",5.81914748837017,"CN",60,0.0151159085967304,0.127542340112907
"D1_NC20",4.25544945056183,"CN",69,0.000209868683058438,0.122691418086206
"D1_NC21",3.66760083661843,"CN",34,0.0134662793448348,0.109912050674559
"D1_NC22",7.41822747016848,"CN",38,0.109398189408965,0.0905206656308659
"D1_NC23",4.15089816722667,"CN",51,0.0138601930046814,0.122109658959091
"D1_NC26",3.66760083661843,"CN",37,0.0134662793448349,0.109912050674559
"D1_NC27",4.21924401456847,"CN",29,0.00608203745141016,0.0905206656308659
"D1_NC3",6.0895510616879,"CN",37,0.0111759665525576,0.120717655247081
"D1_NC4",3.66760083661843,"CN",20,0.0110541070977373,0.122691418086206
"D1_NC8",6.77177153814777,"CN",50,0.139541984966154,0.122691418086206
"D1_NC9",3.66760083661843,"CN",23,0.0134662793448348,0.109912050674559
"D1_UC1",6.05573614632829,"AD",81,0.0177220158474873,0.122691418086206
"D1_UC10",6.51803422155612,"AD",22,0.0116667358059283,0.0905206656308659
"D1_UC11",5.29263770877631,"AD",22,0.0123928697011344,0.138427035805429
"D1_UC13",4.39720563431597,"AD",59,0.00660715074175487,0.075477534606759
"D1_UC14",5.66295484456453,"AD",34,0.00247253747715892,0.109912050674559
"D1_UC15",4.49439048194429,"AD",50,0.0226661747198971,0.0905206656308659
"D1_UC17",3.66760083661843,"AD",45,0.0235716976255491,0.10743561982832
"D1_UC18",6.94118403967189,"AD",54,0.0892449454842106,0.182449153197742
"D1_UC19",4.87421858540329,"AD",27,0.00240853469933445,0.122691418086206
"D1_UC2",3.66760083661843,"AD",20,0.0563257626925924,0.109912050674559
"D1_UC20",6.27692715883656,"AD",72,0.019058284232299,0.109912050674559
"D1_UC22",3.66760083661843,"AD",35,0.0255101958625891,0.138427035805429
"D1_UC23",5.65471640580891,"AD",43,0.0164650370005981,0.10743561982832
"D1_UC24",5.31625672470817,"AD",93,0.000850556087318103,0.182449153197742
"D1_UC25",8.04807032794189,"AD",41,0.154332294181876,0.109912050674559
"D1_UC26",4.42379960379488,"AD",59,0.0254633679971168,0.0905206656308659
"D1_UC27",5.31916184094763,"AD",49,0.00651604718293863,0.10743561982832
"D1_UC28",4.37747344241623,"AD",57,0.00698045921567764,0.075477534606759
"D1_UC3",4.96452563388161,"AD",28,0.00818711165921653,0.0905206656308659
"D1_UC4",5.89466869950411,"AD",21,0.0448325297382882,0.138427035805429
"D1_UC5",3.66760083661843,"AD",31,0.023571697625549,0.10743561982832
"D1_UC6",5.7641071107088,"AD",45,0.00374665834228319,0.182449153197742
"D1_UC8",4.05984541839745,"AD",62,0.0305063478588385,0.122691418086206
