"sample_id","(Intercept)","sexmale","GroupAD"
"D1_NC1","1","1","0"
"D1_NC11","1","1","0"
"D1_NC15","1","0","0"
"D1_NC17","1","1","0"
"D1_NC18","1","1","0"
"D1_NC2","1","1","0"
"D1_NC20","1","0","0"
"D1_NC21","1","0","0"
"D1_NC23","1","1","0"
"D1_NC26","1","0","0"
"D1_NC4","1","0","0"
"D1_NC8","1","0","0"
"D1_NC9","1","0","0"
"D1_UC1","1","1","1"
"D1_UC11","1","0","1"
"D1_UC14","1","1","1"
"D1_UC17","1","0","1"
"D1_UC19","1","1","1"
"D1_UC2","1","1","1"
"D1_UC20","1","1","1"
"D1_UC22","1","0","1"
"D1_UC23","1","0","1"
"D1_UC25","1","1","1"
"D1_UC27","1","0","1"
"D1_UC4","1","0","1"
"D1_UC5","1","0","1"
"D1_UC8","1","1","1"
