"MiloSample","MiloGroup"
"D1_NC1","CN"
"D1_NC10","CN"
"D1_NC11","CN"
"D1_NC12","CN"
"D1_NC13","CN"
"D1_NC14","CN"
"D1_NC15","CN"
"D1_NC16","CN"
"D1_NC17","CN"
"D1_NC18","CN"
"D1_NC19","CN"
"D1_NC2","CN"
"D1_NC20","CN"
"D1_NC21","CN"
"D1_NC22","CN"
"D1_NC23","CN"
"D1_NC24","CN"
"D1_NC25","CN"
"D1_NC26","CN"
"D1_NC27","CN"
"D1_NC3","CN"
"D1_NC4","CN"
"D1_NC5","CN"
"D1_NC6","CN"
"D1_NC7","CN"
"D1_NC8","CN"
"D1_NC9","CN"
"D1_UC1","AD"
"D1_UC10","AD"
"D1_UC11","AD"
"D1_UC12","AD"
"D1_UC13","AD"
"D1_UC14","AD"
"D1_UC15","AD"
"D1_UC16","AD"
"D1_UC17","AD"
"D1_UC18","AD"
"D1_UC19","AD"
"D1_UC2","AD"
"D1_UC20","AD"
"D1_UC21","AD"
"D1_UC22","AD"
"D1_UC23","AD"
"D1_UC24","AD"
"D1_UC25","AD"
"D1_UC26","AD"
"D1_UC27","AD"
"D1_UC28","AD"
"D1_UC29","AD"
"D1_UC3","AD"
"D1_UC4","AD"
"D1_UC5","AD"
"D1_UC6","AD"
"D1_UC7","AD"
"D1_UC8","AD"
"D1_UC9","AD"
"D2_NC1","CN"
"D2_NC2","CN"
"D2_NC3","CN"
"D2_NC4","CN"
"D2_NC5","CN"
"D2_NC6","CN"
"D2_UC2","AD"
"D2_UC3","AD"
"D2_UC4","AD"
"D2_UC5","AD"
