"Nhood","UMAP1","UMAP2","Size","logFC","PValue","SpatialFDR","SigCat","Direction","Subtype","SubtypePurity"
1,1.71087451320106,-5.49162105879316,29,-0.115003923529027,0.848962584798645,0.968055723352165,"NS","NS","Pericyte",1
2,13.9577825011078,-7.20888420222223,59,0.225344452083842,0.594692207112115,0.9233569293266,"NS","NS","Venous",1
3,-7.25245018277133,-9.86760049548002,21,0.772757671141479,0.12397991609754,0.569180523902343,"NS","NS","Pericyte",0.952380952380952
4,-11.54737497329,0.0303099216396372,35,0.609031266678299,0.184536912903158,0.703329366159204,"NS","NS","Pericyte",1
5,14.1250391331522,-7.02631600633988,41,0.4388427579926,0.312013872422759,0.831348721464687,"NS","NS","Venous",1
6,-11.6620732101685,-0.15362612343543,31,1.1265573771816,0.0171044708785598,0.132888581441118,"NS","NS","Pericyte",1
7,-5.12188469613585,3.27707971177815,40,0.338928960543527,0.406840764365277,0.861410911511745,"NS","NS","Venous",0.975
8,-7.21430498301714,5.35318102225089,38,0.465420188657591,0.29302131643271,0.822087582213992,"NS","NS","Capillary",1
9,13.8155169255465,-7.01784880871399,56,-0.0155430555433904,0.9947567671668,0.996292457218056,"NS","NS","Venous",1
10,-5.02938608638107,3.53115227363824,45,-0.0504281546331359,0.895985577398297,0.974086277848796,"NS","NS","Venous",0.933333333333333
11,6.61337088533217,12.9316982744542,91,-2.44665502152413,0.000158488368913978,0.00408593641906548,"FDR<0.01","CN-enriched","SMC",1
12,-7.42197606064503,2.86179618810173,38,0.845217336814393,0.0543956106586066,0.282811331769109,"NS","NS","Capillary",0.973684210526316
13,14.0948277390854,-7.17954392291785,118,-0.177231073940617,0.653155046673302,0.9233569293266,"NS","NS","Venous",1
14,1.77304996196624,21.0934520580924,37,-3.2148218060432,0.000553136668122578,0.00615864547166927,"FDR<0.01","CN-enriched","SMC",1
15,4.51677021481459,-8.91612278479021,21,0.0510006250531507,0.970838215134277,0.996292457218056,"NS","NS","Pericyte",0.80952380952381
16,-7.50084758138559,5.09943927125995,55,0.409923393997011,0.31374132733499,0.831348721464687,"NS","NS","Capillary",1
17,-8.68722566896559,5.37722981029183,54,-0.0454358291964059,0.921024919882256,0.982783038795893,"NS","NS","Capillary",1
18,1.60280547932471,-6.7574348403241,59,0.311737732904102,0.447281399043148,0.861410911511745,"NS","NS","Pericyte",1
19,1.39144270510651,-4.01807953104715,47,-0.698920827780565,0.0840869423537805,0.404418151320564,"NS","NS","Pericyte",1
20,12.7570790127417,-5.95504609602373,30,0.304715531569924,0.524897931517211,0.914046397986868,"NS","NS","Venous",0.9
21,-9.70253825232379,3.20125088889859,42,0.480284718266779,0.249128788850493,0.760759996476637,"NS","NS","Capillary",1
22,14.2433623552036,-6.09415412058743,76,-0.387770494395483,0.336833560570825,0.831348721464687,"NS","NS","Venous",1
23,1.85418494497744,-7.66838574654728,37,0.214035861146622,0.632341563608915,0.9233569293266,"NS","NS","Pericyte",1
24,-10.6054146049763,0.131959701912256,26,1.20666235804431,0.00981029397267777,0.0900763355673141,"FDR<0.1","AD-enriched","Pericyte",0.807692307692308
25,-7.58940321941048,6.38291595950695,49,-0.661156619538131,0.111495568453947,0.523769879713892,"NS","NS","Capillary",1
26,-7.79147848473161,4.53062103777506,68,0.499874157272348,0.199873306530431,0.723285451428155,"NS","NS","Capillary",1
27,-8.44832307542357,4.61527268844549,65,0.25111330199123,0.524793414526576,0.914046397986868,"NS","NS","Capillary",1
28,6.52951838528124,13.1042183333866,48,-2.97946403808312,4.4725280631556e-06,0.000851588407963181,"FDR<0.01","CN-enriched","SMC",1
29,1.33290437540446,-7.2772338291296,73,0.0881843176190924,0.829213912623026,0.968055723352165,"NS","NS","Pericyte",1
30,-7.49739285354806,6.13787689085456,36,0.40430213610773,0.36030671192812,0.846301811738143,"NS","NS","Capillary",1
31,-9.58694310722053,1.87825890238862,39,0.926522585259734,0.0358568508914759,0.223997520664751,"NS","NS","Capillary",1
32,-10.0835242625574,2.06727465115308,50,0.485720347911528,0.254436891456858,0.760759996476637,"NS","NS","Capillary",0.98
33,-6.97960666099226,4.0318094501024,47,0.147314313012502,0.720191251861731,0.9233569293266,"NS","NS","Capillary",1
34,-7.07557683842314,6.34430238665861,67,-0.150556603389808,0.698105795556856,0.9233569293266,"NS","NS","Capillary",1
35,-9.03138936362415,2.80811772713409,37,-0.207134897981848,0.638505230805993,0.9233569293266,"NS","NS","Capillary",1
36,13.2835619974965,-6.27379466816135,36,-0.356836380534958,0.420752714187083,0.861410911511745,"NS","NS","Venous",1
37,-7.78863873980577,3.67176912312881,42,-0.115915246152956,0.775820790858692,0.94979272577852,"NS","NS","Capillary",1
38,11.1710336499587,-5.15542733472454,43,0.191811370320155,0.717943155804928,0.9233569293266,"NS","NS","Pericyte",1
39,-9.38256366401256,3.30587348284641,69,0.293441767544683,0.453751196944485,0.862601273379847,"NS","NS","Capillary",1
40,-7.5764793278919,7.99527497853685,68,-0.453398244874059,0.248629101415645,0.760759996476637,"NS","NS","Capillary",1
41,-11.5118891341449,0.257523326537661,39,0.925585384710963,0.0391808933111469,0.23077897508518,"NS","NS","Pericyte",1
42,-12.3102169094317,-0.780962269746737,45,0.140163356568828,0.726800751301631,0.9233569293266,"NS","NS","Pericyte",1
43,0.722231150272195,-7.20988061663139,57,-0.0675526325416674,0.889381914606321,0.974086277848796,"NS","NS","Pericyte",1
44,1.57071921085325,-6.29182613946677,40,0.137665234514589,0.755997542279425,0.942663602101505,"NS","NS","Pericyte",1
45,13.4166575035805,-8.4693221147867,41,-0.0522587269340713,0.898655490456221,0.974086277848796,"NS","NS","Venous",1
46,-12.432000857062,-0.407971298695146,59,0.0755960487942945,0.852436761857482,0.968055723352165,"NS","NS","Pericyte",1
47,14.5921400129975,-6.64998519837243,47,-0.272273923060154,0.521121255629064,0.914046397986868,"NS","NS","Venous",1
48,0.865256989166595,-8.27096745276287,39,-0.546690847826374,0.214969051893621,0.723761230633037,"NS","NS","Pericyte",1
49,-12.3774052184966,-0.286954928251211,51,0.60838066744347,0.154815314482269,0.638218235212621,"NS","NS","Pericyte",1
50,13.9602554515502,-7.94103334404708,80,-0.197849694432573,0.621585345437411,0.9233569293266,"NS","NS","Venous",1
51,0.706251548449083,-8.06433357421278,53,-0.592755955086949,0.166321004866072,0.649151414211266,"NS","NS","Pericyte",1
52,-0.0331120361662956,-7.27181866822323,54,0.214875653362231,0.616142402836208,0.9233569293266,"NS","NS","Pericyte",1
53,-7.83534094904088,4.55732505646283,65,0.481636063359651,0.214978583356348,0.723761230633037,"NS","NS","Capillary",1
54,0.66590748279638,-6.84816643015714,53,0.331541646837526,0.435593544149094,0.861410911511745,"NS","NS","Pericyte",1
55,-8.75422665229316,5.33292770153134,51,-0.0874782894629077,0.883681772983789,0.974086277848796,"NS","NS","Capillary",1
56,-11.8918201708605,0.240611356677424,29,0.158654002277641,0.722989206363074,0.9233569293266,"NS","NS","Pericyte",1
