source,target,ligand,receptor,communication_strength_AD,communication_strength_CN,delta_AD_vs_CN,source_n_AD,source_n_CN,target_n_AD,target_n_CN,min_group_cell_count,source_family,target_family,lr_pair,is_cross_family,direction,label,panel,ligand_eligible_NicheNet,AUPR_rank,ligand_displayed_Fig8A,exact_edge_eligible,strength_high,strength_low,delta_high_vs_low,group,target_clean,canonical_pair,in_original_spatial_pool,current_HoloNet_canonical_match
Astro_Intermediate,CapEC_ActMid,TGFB2,ACVR1C_TGFBR2,4.04703697732985,0.0,4.04703697732985,5602.0,5852.0,154.0,112.0,112.0,Astrocyte,Vascular,TGFB2 - ACVR1C/TGFBR2,,,Intermediate astro>Cap mid | TGFB2 - ACVR1C/TGFBR2,6C,True,184.0,False,True,,,,,,TGFB2:ACVR1C+TGFBR2,False,True
Cerebrovascular_Pericyte,Astro_Reactive,COL1A1,CD44,3.16870870219874,0.0,3.16870870219874,516.0,449.0,1387.0,1200.0,449.0,Vascular,Astrocyte,COL1A1 - CD44,,,Pericyte>Reactive astro | COL1A1 - CD44,6C,False,,False,False,,,,,,COL1A1:CD44,False,True
CapEC_ActLow,Astro_Reactive,HBEGF,CD44,2.98143160665996,0.0,2.98143160665996,129.0,129.0,1387.0,1200.0,129.0,Vascular,Astrocyte,HBEGF - CD44,,,Cap low>Reactive astro | HBEGF - CD44,6C,False,,False,False,,,,,,HBEGF:CD44,False,False
Inhibitory,CapEC_ActHigh,SLIT2,ROBO4,6.45571310265015,3.47642517811368,2.97928792453647,18727.0,18751.0,134.0,124.0,124.0,Neuron,Vascular,SLIT2 - ROBO4,,,Inhibitory>Cap high | SLIT2 - ROBO4,6C,False,,False,False,,,,,,SLIT2:ROBO4,False,False
CapEC_ActHigh,Excitatory,CXCL10,DPP4,2.95544913713073,0.0,2.95544913713073,134.0,124.0,62331.0,65392.0,124.0,Vascular,Neuron,CXCL10 - DPP4,,,Cap high>Excitatory | CXCL10 - DPP4,6C,False,,False,False,,,,,,CXCL10:DPP4,False,False
Micro_DAM,CapEC_ActMid,TGFB1,ACVR1C_TGFBR2,2.87124744157456,0.0,2.87124744157456,10413.0,8260.0,154.0,112.0,112.0,Microglia,Vascular,TGFB1 - ACVR1C/TGFBR2,,,DAM micro>Cap mid | TGFB1 - ACVR1C/TGFBR2,6C,True,29.0,False,True,,,,,,TGFB1:ACVR1C+TGFBR2,False,True
Astro_Reactive,CapEC_ActMid,TGFB2,ACVR1C_TGFBR2,2.74952752953763,0.0,2.74952752953763,1387.0,1200.0,154.0,112.0,112.0,Astrocyte,Vascular,TGFB2 - ACVR1C/TGFBR2,,,Reactive astro>Cap mid | TGFB2 - ACVR1C/TGFBR2,6C,True,184.0,False,True,,,,,,TGFB2:ACVR1C+TGFBR2,False,True
CapEC_ActHigh,OPCs,VWF,TNFRSF11B,2.72706147204294,0.0,2.72706147204294,134.0,124.0,9583.0,11259.0,124.0,Vascular,Oligo/OPC,VWF - TNFRSF11B,,,Cap high>OPCs | VWF - TNFRSF11B,6C,False,,False,False,,,,,,VWF:TNFRSF11B,False,False
Oligodendrocytes,CapEC_ActMid,COL4A5,CD93,2.68916640233145,0.0,2.68916640233145,80232.0,64998.0,154.0,112.0,112.0,Oligo/OPC,Vascular,COL4A5 - CD93,,,Oligodendrocytes>Cap mid | COL4A5 - CD93,6C,True,72.0,False,False,,,,,,COL4A5:CD93,False,False
Astro_Homeostatic,CapEC_ActMid,TGFB2,ACVR1C_TGFBR2,2.67395091452075,0.0,2.67395091452075,7441.0,10219.0,154.0,112.0,112.0,Astrocyte,Vascular,TGFB2 - ACVR1C/TGFBR2,,,Homeostatic astro>Cap mid | TGFB2 - ACVR1C/TGFBR2,6C,True,184.0,False,True,,,,,,TGFB2:ACVR1C+TGFBR2,False,True
