target_clean,n_receivers,mean_target_rank,max_regulatory_potential,rank_recurrence,logFC,target_rank
NAMPT,2,2.0,0.2437762978761511,1,0.61907896969327,2.0
GEM,2,4.5,0.2258181247509402,2,0.971925701436794,4.0
GBP2,2,16.5,0.1865035471342518,3,0.731063949134791,13.0
DUSP1,2,17.0,0.1885301858790989,4,,
SELENOP,2,18.0,0.1532897327779133,5,0.493176585563087,16.0
GPNMB,2,20.0,0.1484018717916914,6,,
KLF2,2,22.0,0.1747263431282619,7,,
CTPS1,2,28.5,0.1848087866920587,8,,
COLEC12,2,29.0,0.144404281615489,9,,
ST6GAL1,2,31.0,0.145039723167637,10,0.384495366151084,19.0
NFIL3,2,32.0,0.1504649103072968,11,0.805874041541184,17.0
SPP1,2,32.0,0.1331098197599489,12,,
SCARB2,2,39.0,0.0797547262294067,13,0.334754068729408,44.0
STEAP3,2,40.5,0.121976189818264,14,,
TIMP1,2,42.0,0.1272757470090837,15,0.762336431429073,33.0
CD9,2,55.0,0.1480153974337494,16,,
SAMHD1,2,57.0,0.1191641144687314,17,0.776846652582419,55.0
FABP5,2,59.5,0.1173821388571346,18,,
TGFB2,2,63.5,0.1134515593697958,19,,
B3GNT2,2,64.0,0.0677303777209778,20,0.439389648837141,51.0
CDK2AP2,2,67.0,0.0608415590329553,21,0.492011250926225,53.0
S1PR3,2,91.5,0.0695759151557538,22,0.563718400364215,47.0
LITAF,2,98.0,0.0492419149216638,23,0.88250113653302,69.0
STARD4,2,101.0,0.0880960189039977,24,0.547880999289429,36.0
RASSF8,2,112.0,0.066934062477085,25,0.306683888836472,63.0
CYTH1,2,127.5,0.1073441112998483,26,0.35490553062708,31.0
AZI2,2,136.5,0.0092666854767848,27,0.4203044165326,93.0
RBM47,2,141.0,0.0648612591355557,28,,
BST2,2,142.5,0.0608801397756076,29,,
GALNT15,2,143.5,0.0563789134242858,30,0.376370840273744,77.0
GPR37,2,151.0,0.0587261507731246,31,,
LGALS1,2,151.0,0.0582472461152895,32,,
CARHSP1,2,159.0,0.0076759520173282,33,0.482943768709532,102.0
DBI,2,166.5,0.05308481241534,34,0.555174463509193,67.0
TSPO,3,177.66666666666666,0.0563738793054883,35,0.545687299754978,57.0
ITPRIP,2,183.0,0.0857733490208168,36,,
PLP1,2,192.5,0.065224265648076,37,0.847223085650702,52.0
ZC3H13,2,219.0,0.0448367725810661,38,0.241963123528947,75.0
PADI2,2,222.0,0.0662951962940678,39,,
ATP1B3,3,223.66666666666666,0.0092810665747329,40,1.19881790161843,92.0
VASP,2,235.5,0.0122488570850007,41,,
RAP2B,2,245.0,0.0164062770470536,42,,
ZNF385D,2,246.0,0.0665997760398683,43,,
CHSY3,2,252.0,0.0563926935642494,44,,
ASTN2,2,269.0,0.0544996046220844,45,,
PLXNC1,2,274.5,0.0091102900000243,46,,
MRPS6,2,285.0,0.0534226762672431,47,,
PAX8,2,297.5,0.0469831062380496,48,,
SLC25A43,2,308.5,0.0546153936071443,49,,
NELFE,2,423.0,0.0049893821930837,50,,
C11ORF80,2,482.5,0.0023090415599179,51,,
