model,selector,region,cohort,n_AD,n_CN,auc,ci_low,ci_high
Logistic_L2,all,TC,GSE118553,45,25,0.8186666666666665,0.7137777777777777,0.9057777777777778
Logistic_L2,top3,TC,GSE118553,45,25,0.8320000000000001,,
Logistic_L2,top5,TC,GSE118553,45,25,0.8355555555555555,,
Logistic_L2,top8,TC,GSE118553,45,25,0.6924444444444444,,
Logistic_L2,top12,TC,GSE118553,45,25,0.8026666666666668,,
Logistic_L2,top16,TC,GSE118553,45,25,0.816,,
Logistic_L1,all,TC,GSE118553,45,25,0.7999999999999999,,
Logistic_L1,top3,TC,GSE118553,45,25,0.8275555555555556,,
Logistic_L1,top5,TC,GSE118553,45,25,0.8275555555555556,,
Logistic_L1,top8,TC,GSE118553,45,25,0.7075555555555556,,
Logistic_L1,top12,TC,GSE118553,45,25,0.8124444444444445,,
Logistic_L1,top16,TC,GSE118553,45,25,0.8097777777777778,,
ElasticNet_logistic,all,TC,GSE118553,45,25,0.8088888888888889,,
ElasticNet_logistic,top3,TC,GSE118553,45,25,0.8275555555555556,,
ElasticNet_logistic,top5,TC,GSE118553,45,25,0.8275555555555556,,
ElasticNet_logistic,top8,TC,GSE118553,45,25,0.6986666666666667,,
ElasticNet_logistic,top12,TC,GSE118553,45,25,0.8079999999999999,,
ElasticNet_logistic,top16,TC,GSE118553,45,25,0.8071111111111112,,
Linear_SVM,all,TC,GSE118553,45,25,0.5,,
Linear_SVM,top3,TC,GSE118553,45,25,0.7991111111111111,,
Linear_SVM,top5,TC,GSE118553,45,25,0.8382222222222222,,
Linear_SVM,top8,TC,GSE118553,45,25,0.5,,
Linear_SVM,top12,TC,GSE118553,45,25,0.5,,
Linear_SVM,top16,TC,GSE118553,45,25,0.5,,
RBF_SVM,all,TC,GSE118553,45,25,0.5,,
RBF_SVM,top3,TC,GSE118553,45,25,0.3137777777777778,,
RBF_SVM,top5,TC,GSE118553,45,25,0.5,,
RBF_SVM,top8,TC,GSE118553,45,25,0.5,,
RBF_SVM,top12,TC,GSE118553,45,25,0.5,,
RBF_SVM,top16,TC,GSE118553,45,25,0.5,,
RandomForest,all,TC,GSE118553,45,25,0.5111111111111112,,
RandomForest,top3,TC,GSE118553,45,25,0.5,,
RandomForest,top5,TC,GSE118553,45,25,0.5,,
RandomForest,top8,TC,GSE118553,45,25,0.5,,
RandomForest,top12,TC,GSE118553,45,25,0.5,,
RandomForest,top16,TC,GSE118553,45,25,0.4444444444444444,,
ExtraTrees,all,TC,GSE118553,45,25,0.5111111111111112,,
ExtraTrees,top3,TC,GSE118553,45,25,0.5,,
ExtraTrees,top5,TC,GSE118553,45,25,0.5,,
ExtraTrees,top8,TC,GSE118553,45,25,0.5,,
ExtraTrees,top12,TC,GSE118553,45,25,0.5,,
ExtraTrees,top16,TC,GSE118553,45,25,0.4444444444444444,,
GradientBoosting,all,TC,GSE118553,45,25,0.4444444444444444,,
GradientBoosting,top3,TC,GSE118553,45,25,0.5,,
GradientBoosting,top5,TC,GSE118553,45,25,0.5,,
GradientBoosting,top8,TC,GSE118553,45,25,0.5,,
GradientBoosting,top12,TC,GSE118553,45,25,0.5,,
GradientBoosting,top16,TC,GSE118553,45,25,0.4444444444444444,,
DecisionTree,all,TC,GSE118553,45,25,0.4444444444444444,,
DecisionTree,top3,TC,GSE118553,45,25,0.5,,
DecisionTree,top5,TC,GSE118553,45,25,0.5,,
DecisionTree,top8,TC,GSE118553,45,25,0.5,,
DecisionTree,top12,TC,GSE118553,45,25,0.5,,
DecisionTree,top16,TC,GSE118553,45,25,0.4444444444444444,,
KNN_3,all,TC,GSE118553,45,25,0.5111111111111111,,
KNN_3,top3,TC,GSE118553,45,25,0.5,,
KNN_3,top5,TC,GSE118553,45,25,0.5,,
KNN_3,top8,TC,GSE118553,45,25,0.5,,
KNN_3,top12,TC,GSE118553,45,25,0.5,,
KNN_3,top16,TC,GSE118553,45,25,0.5,,
KNN_5,all,TC,GSE118553,45,25,0.6262222222222223,,
KNN_5,top3,TC,GSE118553,45,25,0.5,,
KNN_5,top5,TC,GSE118553,45,25,0.5577777777777777,,
KNN_5,top8,TC,GSE118553,45,25,0.5,,
KNN_5,top12,TC,GSE118553,45,25,0.5222222222222223,,
KNN_5,top16,TC,GSE118553,45,25,0.5444444444444444,,
GaussianNB,all,TC,GSE118553,45,25,0.41777777777777775,,
GaussianNB,top3,TC,GSE118553,45,25,0.5084444444444445,,
GaussianNB,top5,TC,GSE118553,45,25,0.5,,
GaussianNB,top8,TC,GSE118553,45,25,0.5,,
GaussianNB,top12,TC,GSE118553,45,25,0.6008888888888888,,
GaussianNB,top16,TC,GSE118553,45,25,0.4471111111111111,,
