model,selector,pipeline,auc,cv
Logistic_L2,all,all+Logistic_L2,0.8950136755733221,10fold_labelblind_probe_mean
Logistic_L2,top3,top3+Logistic_L2,0.8347359562381654,10fold_labelblind_probe_mean
Logistic_L2,top5,top5+Logistic_L2,0.8295813170629077,10fold_labelblind_probe_mean
Logistic_L2,top8,top8+Logistic_L2,0.841678939617084,10fold_labelblind_probe_mean
Logistic_L2,top12,top12+Logistic_L2,0.9125815274563434,10fold_labelblind_probe_mean
Logistic_L2,top16,top16+Logistic_L2,0.9019566589522406,10fold_labelblind_probe_mean
Logistic_L1,all,all+Logistic_L1,0.8980643803913317,10fold_labelblind_probe_mean
Logistic_L1,top3,top3+Logistic_L1,0.8372606774668631,10fold_labelblind_probe_mean
Logistic_L1,top5,top5+Logistic_L1,0.8332632021880917,10fold_labelblind_probe_mean
Logistic_L1,top8,top8+Logistic_L1,0.8423101199242584,10fold_labelblind_probe_mean
Logistic_L1,top12,top12+Logistic_L1,0.9097412160740586,10fold_labelblind_probe_mean
Logistic_L1,top16,top16+Logistic_L1,0.9040605933094887,10fold_labelblind_probe_mean
ElasticNet_logistic,all,all+ElasticNet_logistic,0.8959604460340838,10fold_labelblind_probe_mean
ElasticNet_logistic,top3,top3+ElasticNet_logistic,0.8361035135703766,10fold_labelblind_probe_mean
ElasticNet_logistic,top5,top5+ElasticNet_logistic,0.8312644645487061,10fold_labelblind_probe_mean
ElasticNet_logistic,top8,top8+ElasticNet_logistic,0.8419945297706712,10fold_labelblind_probe_mean
ElasticNet_logistic,top12,top12+ElasticNet_logistic,0.9114243635598569,10fold_labelblind_probe_mean
ElasticNet_logistic,top16,top16+ElasticNet_logistic,0.9026930359772776,10fold_labelblind_probe_mean
Linear_SVM,all,all+Linear_SVM,0.8890700610140964,10fold_labelblind_probe_mean
Linear_SVM,top3,top3+Linear_SVM,0.834630759520303,10fold_labelblind_probe_mean
Linear_SVM,top5,top5+Linear_SVM,0.8274773827056596,10fold_labelblind_probe_mean
Linear_SVM,top8,top8+Linear_SVM,0.8378918577740375,10fold_labelblind_probe_mean
Linear_SVM,top12,top12+Linear_SVM,0.9051125604881127,10fold_labelblind_probe_mean
Linear_SVM,top16,top16+Linear_SVM,0.8946980854197348,10fold_labelblind_probe_mean
RBF_SVM,all,all+RBF_SVM,0.8653482011361245,10fold_labelblind_probe_mean
RBF_SVM,top3,top3+RBF_SVM,0.8112770881548497,10fold_labelblind_probe_mean
RBF_SVM,top5,top5+RBF_SVM,0.8269513991163476,10fold_labelblind_probe_mean
RBF_SVM,top8,top8+RBF_SVM,0.8147485798443089,10fold_labelblind_probe_mean
RBF_SVM,top12,top12+RBF_SVM,0.8873343151693668,10fold_labelblind_probe_mean
RBF_SVM,top16,top16+RBF_SVM,0.8734483484115296,10fold_labelblind_probe_mean
RandomForest,all,all+RandomForest,0.851883021249737,10fold_labelblind_probe_mean
RandomForest,top3,top3+RandomForest,0.791026719966337,10fold_labelblind_probe_mean
RandomForest,top5,top5+RandomForest,0.8142751946139282,10fold_labelblind_probe_mean
RandomForest,top8,top8+RandomForest,0.8014411950347149,10fold_labelblind_probe_mean
RandomForest,top12,top12+RandomForest,0.8562486850410267,10fold_labelblind_probe_mean
RandomForest,top16,top16+RandomForest,0.85945718493583,10fold_labelblind_probe_mean
ExtraTrees,all,all+ExtraTrees,0.8779192089206816,10fold_labelblind_probe_mean
ExtraTrees,top3,top3+ExtraTrees,0.7907111298127499,10fold_labelblind_probe_mean
ExtraTrees,top5,top5+ExtraTrees,0.8276351777824532,10fold_labelblind_probe_mean
ExtraTrees,top8,top8+ExtraTrees,0.8225331369661266,10fold_labelblind_probe_mean
ExtraTrees,top12,top12+ExtraTrees,0.8813381022512097,10fold_labelblind_probe_mean
ExtraTrees,top16,top16+ExtraTrees,0.8790763728171682,10fold_labelblind_probe_mean
GradientBoosting,all,all+GradientBoosting,0.8343151693667158,10fold_labelblind_probe_mean
GradientBoosting,top3,top3+GradientBoosting,0.8076478013885967,10fold_labelblind_probe_mean
GradientBoosting,top5,top5+GradientBoosting,0.8020197769829582,10fold_labelblind_probe_mean
GradientBoosting,top8,top8+GradientBoosting,0.7790342941300231,10fold_labelblind_probe_mean
GradientBoosting,top12,top12+GradientBoosting,0.8535661687355355,10fold_labelblind_probe_mean
GradientBoosting,top16,top16+GradientBoosting,0.8440984641279192,10fold_labelblind_probe_mean
DecisionTree,all,all+DecisionTree,0.6974016410687987,10fold_labelblind_probe_mean
DecisionTree,top3,top3+DecisionTree,0.6770460761624237,10fold_labelblind_probe_mean
DecisionTree,top5,top5+DecisionTree,0.6767830843677677,10fold_labelblind_probe_mean
DecisionTree,top8,top8+DecisionTree,0.6512202819272038,10fold_labelblind_probe_mean
DecisionTree,top12,top12+DecisionTree,0.6515884704397223,10fold_labelblind_probe_mean
DecisionTree,top16,top16+DecisionTree,0.687039764359352,10fold_labelblind_probe_mean
KNN_3,all,all+KNN_3,0.8176414895855248,10fold_labelblind_probe_mean
KNN_3,top3,top3+KNN_3,0.7388491479065853,10fold_labelblind_probe_mean
KNN_3,top5,top5+KNN_3,0.7973385230380813,10fold_labelblind_probe_mean
KNN_3,top8,top8+KNN_3,0.7828739743320008,10fold_labelblind_probe_mean
KNN_3,top12,top12+KNN_3,0.8289501367557333,10fold_labelblind_probe_mean
KNN_3,top16,top16+KNN_3,0.8123290553334735,10fold_labelblind_probe_mean
KNN_5,all,all+KNN_5,0.8389438249526615,10fold_labelblind_probe_mean
KNN_5,top3,top3+KNN_5,0.7786135072585736,10fold_labelblind_probe_mean
KNN_5,top5,top5+KNN_5,0.8206395960446033,10fold_labelblind_probe_mean
KNN_5,top8,top8+KNN_5,0.7944456132968651,10fold_labelblind_probe_mean
KNN_5,top12,top12+KNN_5,0.8596675783715548,10fold_labelblind_probe_mean
KNN_5,top16,top16+KNN_5,0.8288449400378708,10fold_labelblind_probe_mean
GaussianNB,all,all+GaussianNB,0.8141173995371345,10fold_labelblind_probe_mean
GaussianNB,top3,top3+GaussianNB,0.8294761203450451,10fold_labelblind_probe_mean
GaussianNB,top5,top5+GaussianNB,0.8253734483484115,10fold_labelblind_probe_mean
GaussianNB,top8,top8+GaussianNB,0.803808121186619,10fold_labelblind_probe_mean
GaussianNB,top12,top12+GaussianNB,0.8136966126656848,10fold_labelblind_probe_mean
GaussianNB,top16,top16+GaussianNB,0.8148537765621712,10fold_labelblind_probe_mean
