"probe_id","symbol","logFC_all195","archived_selected"
"ILMN_1662731","COL4A3",0.0098222190308224,TRUE
"ILMN_1666775","CACNA1C",-0.0144040768709239,FALSE
"ILMN_1679532","GRM3",-0.18290051855365,TRUE
"ILMN_1687023","GJC1",0.0611837966010938,TRUE
"ILMN_1688475","DGKB",-0.0330809719335159,FALSE
"ILMN_1688886","GPC5",-0.342189273332738,TRUE
"ILMN_1691717","RHBDF2",0.545489303777614,TRUE
"ILMN_1697914","DGKB",0.0243883961030925,FALSE
"ILMN_1698313","CPM",0.00936978209688604,FALSE
"ILMN_1709440","CPM",0.18130437956985,TRUE
"ILMN_1709471","CNTN4",0.0169288897140749,FALSE
"ILMN_1709635","SLC38A11",0.112781276053124,TRUE
"ILMN_1729212","GRM8",-0.457431247017779,TRUE
"ILMN_1735792","RHBDF2",0.0476375563647167,FALSE
"ILMN_1771148","CNTN4",-0.122229067022302,TRUE
"ILMN_1780831","SLC6A12",0.832867065895118,TRUE
"ILMN_1784447","PLCE1",0.402111141353671,TRUE
"ILMN_1788362","CACNA1C",0.00130288429213132,FALSE
"ILMN_1795166","PTH1R",0.877513722252367,TRUE
"ILMN_1797715","GRM8",-0.000931937113612775,FALSE
"ILMN_1806533","PDE7B",-0.016706803665159,TRUE
"ILMN_1806868","CACNA1C",0.0142977751618977,FALSE
"ILMN_1810335","DGKB",-0.640570168299916,TRUE
"ILMN_1815057","PDGFRB",0.691473879228802,TRUE
"ILMN_1861819","CACNA1C",-0.0952194466201348,TRUE
"ILMN_1892506","CACNA1C",0.022681574252472,FALSE
"ILMN_1898404","CACNA1C",-0.0695609329258366,FALSE
"ILMN_2071826","RNF152",0.0195214600389226,TRUE
"ILMN_2078975","GRM3",-0.0150880438365246,FALSE
"ILMN_2198878","INPP4B",-0.178637793084158,TRUE
"ILMN_2272270","COL4A3",-0.00220476635419763,FALSE
"ILMN_2275126","RHBDF2",0.0121664814871659,FALSE
"ILMN_2299795","CPM",0.00865728867462637,FALSE
"ILMN_2352953","CPM",0.0358212969007991,FALSE
"ILMN_2373062","RHBDF2",0.451158996048285,FALSE
"ILMN_2397484","GJC1",0.0575180752998103,FALSE
"ILMN_3246328","PTH1R",0.119450519331054,FALSE
