pipeline,auc,archived_auc,max_probability_difference,n,pairwise_AUC_abs_error
all+Logistic_L2,0.8969072164948453,0.8969072164948453,1.1102230246251565e-16,195.0,1.1102230246251565e-16
top3+Logistic_L2,0.8285293498842836,0.8285293498842836,1.1102230246251565e-16,195.0,0.0
top5+Logistic_L2,0.8354723332632022,0.8354723332632022,1.1102230246251565e-16,195.0,1.1102230246251565e-16
top8+Logistic_L2,0.8250578581948242,0.8250578581948242,1.1102230246251565e-16,195.0,1.1102230246251565e-16
top12+Logistic_L2,0.9046917736166632,0.9046917736166632,1.1102230246251565e-16,195.0,0.0
top16+Logistic_L2,0.8992215442878182,0.8992215442878182,1.1102230246251565e-16,195.0,0.0
all+Logistic_L1,0.8941721018304228,0.8941721018304228,1.1102230246251565e-16,195.0,0.0
top3+Logistic_L1,0.8304228908058068,0.8304228908058068,1.1102230246251565e-16,195.0,1.1102230246251565e-16
top5+Logistic_L1,0.8366294971596886,0.8366294971596886,1.1102230246251565e-16,195.0,0.0
top8+Logistic_L1,0.8241110877340626,0.8241110877340626,1.1102230246251565e-16,195.0,1.1102230246251565e-16
top12+Logistic_L1,0.904902167052388,0.904902167052388,1.1102230246251565e-16,195.0,0.0
top16+Logistic_L1,0.8979591836734694,0.8979591836734694,1.1102230246251565e-16,195.0,0.0
all+ElasticNet_logistic,0.8958552493162213,0.8958552493162213,1.1102230246251565e-16,195.0,0.0
top3+ElasticNet_logistic,0.8297917104986324,0.8297917104986324,1.1102230246251565e-16,195.0,0.0
top5+ElasticNet_logistic,0.8375762676204502,0.8375762676204502,1.1102230246251565e-16,195.0,0.0
top8+ElasticNet_logistic,0.8261098253734483,0.8261098253734483,1.1102230246251565e-16,195.0,0.0
top12+ElasticNet_logistic,0.905954134231012,0.905954134231012,1.1102230246251565e-16,195.0,0.0
top16+ElasticNet_logistic,0.8984851672627814,0.8984851672627814,1.1102230246251565e-16,195.0,0.0
all+Linear_SVM,0.8921733641910373,0.8921733641910373,1.1102230246251565e-16,195.0,1.1102230246251565e-16
top3+Linear_SVM,0.8281085630128341,0.8281085630128341,1.1102230246251565e-16,195.0,1.1102230246251565e-16
top5+Linear_SVM,0.8261098253734482,0.8261098253734482,1.1102230246251565e-16,195.0,1.1102230246251565e-16
top8+Linear_SVM,0.8080159899011151,0.8080159899011151,1.1102230246251565e-16,195.0,0.0
top12+Linear_SVM,0.8998527245949925,0.8998527245949925,1.1102230246251565e-16,195.0,1.1102230246251565e-16
top16+Linear_SVM,0.8904902167052388,0.8904902167052388,1.1102230246251565e-16,195.0,0.0
all+RBF_SVM,0.8761834630759521,0.8761834630759521,1.1102230246251565e-16,195.0,0.0
top3+RBF_SVM,0.8127498422049232,0.8127498422049232,8.326672684688674e-17,195.0,0.0
top5+RBF_SVM,0.8141173995371345,0.8141173995371345,8.326672684688674e-17,195.0,0.0
top8+RBF_SVM,0.800126236061435,0.800126236061435,1.1102230246251565e-16,195.0,1.1102230246251565e-16
top12+RBF_SVM,0.8817588891226594,0.8817588891226594,1.1102230246251565e-16,195.0,0.0
top16+RBF_SVM,0.886387544708605,0.886387544708605,1.1102230246251565e-16,195.0,1.1102230246251565e-16
all+RandomForest,0.8637176520092573,0.8637176520092573,1.1102230246251565e-16,195.0,0.0
top3+RandomForest,0.7909741216074059,0.7909741216074059,1.1102230246251565e-16,195.0,0.0
top5+RandomForest,0.8050178834420365,0.8050178834420365,1.1102230246251565e-16,195.0,1.1102230246251565e-16
top8+RandomForest,0.8095939406690512,0.8095939406690512,1.1102230246251565e-16,195.0,1.1102230246251565e-16
top12+RandomForest,0.8655059962129181,0.8655059962129181,1.1102230246251565e-16,195.0,0.0
top16+RandomForest,0.8547759309909532,0.8547759309909532,1.1102230246251565e-16,195.0,1.1102230246251565e-16
all+ExtraTrees,0.884231011992426,0.884231011992426,1.1102230246251565e-16,195.0,2.220446049250313e-16
top3+ExtraTrees,0.7898169577109194,0.7898169577109194,1.1102230246251565e-16,195.0,0.0
top5+ExtraTrees,0.8128024405638544,0.8128024405638544,1.1102230246251565e-16,195.0,0.0
top8+ExtraTrees,0.8193772354302545,0.8193772354302545,1.1102230246251565e-16,195.0,0.0
top12+ExtraTrees,0.8820744792762466,0.8820744792762466,1.1102230246251565e-16,195.0,0.0
top16+ExtraTrees,0.8723963812329055,0.8723963812329055,1.1102230246251565e-16,195.0,0.0
all+GradientBoosting,0.85945718493583,0.85945718493583,1.1102230246251565e-16,195.0,0.0
top3+GradientBoosting,0.8118556701030928,0.8118556701030928,1.1102230246251565e-16,195.0,0.0
top5+GradientBoosting,0.8013885966757837,0.8013885966757837,1.1102230246251565e-16,195.0,1.1102230246251565e-16
top8+GradientBoosting,0.7915001051967179,0.7915001051967179,1.1102230246251565e-16,195.0,0.0
top12+GradientBoosting,0.8699768567220703,0.8699768567220703,1.1102230246251565e-16,195.0,0.0
top16+GradientBoosting,0.851883021249737,0.851883021249737,1.1102230246251565e-16,195.0,0.0
all+DecisionTree,0.7179675994108984,0.7179675994108984,0.0,195.0,0.0
top3+DecisionTree,0.6873553545129393,0.6873553545129393,0.0,195.0,1.1102230246251565e-16
top5+DecisionTree,0.6822533136966127,0.6822533136966127,0.0,195.0,0.0
top8+DecisionTree,0.6563749211024617,0.6563749211024617,0.0,195.0,0.0
top12+DecisionTree,0.7232800336629497,0.7232800336629497,0.0,195.0,0.0
top16+DecisionTree,0.7078687144961078,0.7078687144961078,0.0,195.0,0.0
all+KNN_3,0.8100147275405007,0.8100147275405007,0.0,195.0,0.0
top3+KNN_3,0.7379549758047549,0.7379549758047549,0.0,195.0,0.0
top5+KNN_3,0.7739848516726278,0.7739848516726278,0.0,195.0,0.0
top8+KNN_3,0.7717231222385861,0.7717231222385861,0.0,195.0,1.1102230246251565e-16
top12+KNN_3,0.8257416368609298,0.8257416368609298,0.0,195.0,1.1102230246251565e-16
top16+KNN_3,0.813223227435304,0.813223227435304,0.0,195.0,1.1102230246251565e-16
all+KNN_5,0.8276877761413844,0.8276877761413844,0.0,195.0,1.1102230246251565e-16
top3+KNN_5,0.7661476961918787,0.7661476961918787,0.0,195.0,1.1102230246251565e-16
top5+KNN_5,0.8202188091731539,0.8202188091731539,0.0,195.0,1.1102230246251565e-16
top8+KNN_5,0.7958657689880075,0.7958657689880075,0.0,195.0,0.0
top12+KNN_5,0.8473595623816537,0.8473595623816537,0.0,195.0,0.0
top16+KNN_5,0.8149589732800336,0.8149589732800336,0.0,195.0,0.0
all+GaussianNB,0.8144329896907216,0.8144329896907216,1.1102230246251565e-16,195.0,0.0
top3+GaussianNB,0.8232695139911634,0.8232695139911634,1.1102230246251565e-16,195.0,0.0
top5+GaussianNB,0.8204292026088786,0.8204292026088786,1.1102230246251565e-16,195.0,0.0
top8+GaussianNB,0.8040185146223437,0.8040185146223437,1.1102230246251565e-16,195.0,0.0
top12+GaussianNB,0.8160109404586576,0.8160109404586576,1.1102230246251565e-16,195.0,1.1102230246251565e-16
top16+GaussianNB,0.8161161371765201,0.8161161371765201,1.1102230246251565e-16,195.0,0.0
