"logFC","logCPM","F","PValue","FDR","Nhood","Subtype","model","compartment"
0.670767995264485,11.2487148585234,2.29515641774137,0.129781325839775,0.874244748762817,1,"DAM","D1_APOE_sex_adjusted","Microglia"
0.25117866759024,10.9234255247455,0.300786460007792,0.583391036137088,0.999022457841217,2,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.182378015328591,10.949060453719,0.154326372223616,0.694435583532716,0.999022457841217,3,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
0.0649276909526617,10.9547696290544,0.0190318764512074,0.890275419142779,0.999440338143846,4,"DAM","D1_APOE_sex_adjusted","Microglia"
0.0661939701351898,11.2213712869427,0.0253961918410266,0.873384137101061,0.999440338143846,5,"DAM","D1_APOE_sex_adjusted","Microglia"
0.0458884523746077,11.027593221546,0.0101984707175085,0.919560604758656,0.999440338143846,6,"DAM","D1_APOE_sex_adjusted","Microglia"
0.879442579763333,11.2938688604853,4.06063997797084,0.0438966701733,0.757133964169214,7,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.534749616197527,10.9255826433408,1.29389005634034,0.255335048955537,0.936759949271347,8,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
1.16364978331236,10.9892502702957,5.79064670747666,0.016113479540234,0.570097954547715,9,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.16199739902174,10.8956390916092,0.117808825055318,0.731423982326411,0.999022457841217,10,"DAM","D1_APOE_sex_adjusted","Microglia"
1.0201998580405,10.9277241475137,4.26527233365907,0.0389016080520137,0.736210317696892,11,"DAM","D1_APOE_sex_adjusted","Microglia"
0.0544444603894056,11.0481881039214,0.0137399375810235,0.906687953053506,0.999440338143846,12,"DAM","D1_APOE_sex_adjusted","Microglia"
0.792883035038401,10.9575125761764,2.75327572677436,0.0970585661121108,0.874244748762817,13,"DAM","D1_APOE_sex_adjusted","Microglia"
0.095111628959471,11.039693546231,0.0447091356992717,0.832540207867706,0.999440338143846,14,"DAM","D1_APOE_sex_adjusted","Microglia"
0.324811691111528,11.1035391542215,0.513382951710143,0.473679746469461,0.999022457841217,15,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.114936108484349,10.8802480029137,0.065286662634473,0.798327782923519,0.999022457841217,16,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.188078554774794,10.8444046998016,0.159859158975679,0.689287080536153,0.999022457841217,17,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
-0.866546816020202,10.9680513394598,3.41446469334735,0.0646303489382309,0.83724232210299,18,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
0.129189881329163,10.9781242171537,0.0884050446614689,0.766215311414797,0.999022457841217,19,"DAM","D1_APOE_sex_adjusted","Microglia"
0.185268277760623,10.9458639600651,0.160448648063745,0.688744656557099,0.999022457841217,20,"DAM","D1_APOE_sex_adjusted","Microglia"
0.0345409024414758,11.2090454312143,0.00430462170251727,0.947688765559309,0.999440338143846,21,"DAM","D1_APOE_sex_adjusted","Microglia"
0.121432620390762,10.8225472767554,0.0756545009874307,0.79252618262991,0.999022457841217,22,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.0988192256696543,10.9195312569164,0.0371880360910498,0.943525064034955,0.999440338143846,23,"DAM","D1_APOE_sex_adjusted","Microglia"
0.852811677778864,11.1954972018019,3.54109502564734,0.0598688548179162,0.819191443036698,24,"DAM","D1_APOE_sex_adjusted","Microglia"
0.357889354178995,11.1327642951778,0.634037476517875,0.425880104662032,0.98870413731607,25,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.5470101431722,10.8675247648736,1.27498992253443,0.258835390349656,0.936759949271347,26,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
-0.211122728261076,11.0571643812911,0.211057779450845,0.645940595505641,0.999022457841217,27,"DAM","D1_APOE_sex_adjusted","Microglia"
0.319820935966105,10.8535940235569,0.448683093051265,0.502962557570211,0.999022457841217,28,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.674303646529595,11.2003771918092,2.42324924561248,0.119549930579183,0.874244748762817,29,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.0874030798910222,10.8241289365428,0.0358127916407522,0.936030459185483,0.999440338143846,30,"DAM","D1_APOE_sex_adjusted","Microglia"
0.698065962829077,10.9729098091492,2.16406453836613,0.141273745563787,0.874244748762817,31,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
0.423893918192306,11.1210306146505,0.901791099221323,0.342304221178303,0.955378151637088,32,"DAM","D1_APOE_sex_adjusted","Microglia"
0.873793269997989,10.9768524214935,3.42204855120103,0.0643341130855159,0.83724232210299,33,"DAM","D1_APOE_sex_adjusted","Microglia"
0.421495631508616,11.2687338362313,0.985004997002073,0.320968692339497,0.955378151637088,34,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.154429598205438,10.8907581929668,0.106574120746061,0.74407936754782,0.999022457841217,35,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
0.899213364224654,10.8851084638528,3.35085678653263,0.0671730450226824,0.842046622445625,36,"DAM","D1_APOE_sex_adjusted","Microglia"
0.417773079375445,10.9888021880759,0.808516861988048,0.368561289412328,0.958891132592014,37,"DAM","D1_APOE_sex_adjusted","Microglia"
0.518274069029863,10.8878204457885,1.06273914103162,0.307445683919233,0.95524324784296,38,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
-0.47718349424073,11.3078827124654,1.29258518350051,0.255574829558458,0.936759949271347,39,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.303268365378274,11.0352114993312,0.415890557362623,0.518996224467249,0.999022457841217,40,"DAM","D1_APOE_sex_adjusted","Microglia"
0.0340015555998805,10.9329607661762,0.00597588086708226,0.93838200671238,0.999440338143846,41,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.499046735919185,10.8933819798076,1.07238951113333,0.300408862036138,0.952523811457001,42,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.512350817600144,11.0552444204507,1.2498974267459,0.263574779463071,0.936759949271347,43,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
0.595384362298386,10.9598945942947,1.5253414239447,0.216815890967419,0.932142146103894,44,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
0.365284478213082,10.9559146091482,0.596865415667787,0.439778360084492,0.995732230399647,45,"DAM","D1_APOE_sex_adjusted","Microglia"
0.0371933011761975,11.1019261094105,0.00662713497686372,0.93511827425083,0.999440338143846,46,"DAM","D1_APOE_sex_adjusted","Microglia"
0.745498848979304,10.831427350398,2.3984491649307,0.130706683555243,0.874244748762817,47,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.770902915850358,10.8637609875481,2.60775772820719,0.106345212096047,0.874244748762817,48,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.352759762438054,11.2757589295872,0.682873527092476,0.408600977815127,0.976521156082155,49,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.38610908574361,11.0992290322571,0.731721632255825,0.392327777295276,0.97174685321199,50,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
0.570785884437045,10.9369575316483,1.46441768269569,0.226231413793551,0.932242227976456,51,"DAM","D1_APOE_sex_adjusted","Microglia"
0.052618119117521,10.9528423473966,0.0119908152085354,0.9128040966083,0.999440338143846,52,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.146137943846626,10.8928209587503,0.0888557198008398,0.76563756720091,0.999022457841217,53,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
1.3503127746294,10.916293472083,7.61520642571079,0.00578887585140716,0.489034164316701,54,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.757553715714659,10.7556403802948,2.57097874861613,0.150126026868842,0.874244748762817,55,"DAM","D1_APOE_sex_adjusted","Microglia"
1.09267023805946,10.9994057622794,5.25755351198597,0.0218537991836065,0.589749052968714,56,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.501125007909255,11.1731339445614,1.28657464290549,0.256682905084432,0.936759949271347,57,"DAM","D1_APOE_sex_adjusted","Microglia"
0.0228046115752228,11.2307762375908,0.00509663210677226,0.943086954785828,0.999440338143846,58,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.249401355629377,10.94723667225,0.284667928560965,0.593659082565004,0.999022457841217,59,"DAM","D1_APOE_sex_adjusted","Microglia"
0.166939024557482,11.2000608777928,0.136546068818155,0.711739911030567,0.999022457841217,60,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.0566335916774038,11.1461792242268,0.0150209106378903,0.902455918286885,0.999440338143846,61,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.295116403687477,10.9607875217911,0.399990422375039,0.527095662439312,0.999022457841217,62,"DAM","D1_APOE_sex_adjusted","Microglia"
0.153310186121503,10.8096870835941,0.10378559011412,0.747333900066519,0.999022457841217,63,"DAM","D1_APOE_sex_adjusted","Microglia"
0.54954026633771,11.5965232753733,2.09960754527151,0.147340116219165,0.874244748762817,64,"DAM","D1_APOE_sex_adjusted","Microglia"
0.394617841236056,10.8359657081671,0.746265857886639,0.430663505121272,0.991444538448615,65,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.537198200984623,10.7813855548963,1.22469354488077,0.268444191299546,0.936759949271347,66,"DAM","D1_APOE_sex_adjusted","Microglia"
1.22172707074963,10.9166466868935,6.11124431694715,0.0134341193687268,0.567445520292091,67,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.169435367171392,11.1055980960829,0.133766929792714,0.714558669921209,0.999022457841217,68,"DAM","D1_APOE_sex_adjusted","Microglia"
1.11806185728276,11.0819494959859,5.80590944784045,0.0159742159713143,0.570097954547715,69,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.272436665321698,10.8489400939653,0.32229544563826,0.570232706985756,0.999022457841217,70,"DAM","D1_APOE_sex_adjusted","Microglia"
0.010463226572239,11.079862523202,9.18143919388725e-05,0.992354820242774,0.999440338143846,71,"DAM","D1_APOE_sex_adjusted","Microglia"
1.03790732972708,10.9232179880998,4.63921716581256,0.031251657736755,0.722727647835914,72,"DAM","D1_APOE_sex_adjusted","Microglia"
0.0700812306005238,11.4561765496539,0.0310963522308059,0.86002595942219,0.999440338143846,73,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.338329064959623,11.391187132514,0.710716834258853,0.399207977822381,0.97174685321199,74,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
0.0603104307715924,11.1813446338446,0.023155451485559,0.879053831801509,0.999440338143846,75,"DAM","D1_APOE_sex_adjusted","Microglia"
0.121269467056789,10.9962548585156,0.0450803309984902,0.831856822253717,0.999440338143846,76,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.556267898113148,11.0943641335891,1.48846173266374,0.222458187646382,0.932242227976456,77,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
0.059710224655281,11.0332945940156,0.0208781876314476,0.8851115851884,0.999440338143846,78,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.390678163585261,10.9212887741808,0.679978508196501,0.409596109712824,0.977415854219835,79,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.733969437785068,11.118524918071,2.6154358308529,0.105831628522527,0.874244748762817,80,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
0.737100574905785,10.8715006500987,2.34178523243124,0.125948336555148,0.874244748762817,81,"DAM","D1_APOE_sex_adjusted","Microglia"
