"Nhood","UMAP1","UMAP2","Size","logFC","PValue","SpatialFDR","SigCat","Direction","Subtype","SubtypePurity"
1,1.96105413047315,3.70378738953773,72,0.879566764716917,0.0316744334193163,0.334475131161585,"NS","NS","DAM",1
2,-0.81407528129127,-5.30468708696701,38,0.139640385308196,0.741303589507746,0.939586500658481,"NS","NS","DAM",1
3,-1.20593350054707,-1.50621833550368,39,-0.232137775095401,0.583209677103827,0.887205021242493,"NS","NS","Homeostatic",0.871794871794872
4,4.93695778364312,2.98253873714545,41,0.157000629750933,0.705019651973694,0.928527840315839,"NS","NS","DAM",1
5,-1.17409690744241,-3.74872652578778,79,-0.0881247170812548,0.826647500869431,0.963471654878688,"NS","NS","DAM",0.708860759493671
6,2.29718140600262,-2.73097683547175,47,0.224114362430734,0.602089712614817,0.894871922821894,"NS","NS","DAM",1
7,-0.931070247652598,11.6079145138638,77,0.996562858695223,0.0137882293888396,0.255147901928719,"NS","NS","DAM",1
8,-3.57923457724333,-2.45431896822457,44,-0.753618558445392,0.079984753184497,0.487179860305573,"NS","NS","Homeostatic",0.954545454545455
9,-1.30003323020112,5.34178233639322,44,1.34414588351341,0.00246520744057443,0.136854230201032,"NS","NS","DAM",1
10,4.0949530143383,2.56889017396366,33,0.138452450537014,0.75956594828288,0.949701825941851,"NS","NS","DAM",1
11,0.958995826666102,3.92304912152564,35,1.14883593533906,0.0110537444936347,0.239258157599905,"NS","NS","DAM",1
12,-0.765519390993217,-4.10184201209717,52,0.0775442520723615,0.843498503421044,0.967019783182377,"NS","NS","DAM",0.980769230769231
13,-3.19725742619735,3.71009851081505,39,0.686787827452769,0.113962881318038,0.538761164841037,"NS","NS","DAM",0.948717948717949
14,-0.914305926659628,-2.65091896393852,49,-0.0301050420888249,0.946192892186688,0.97998549547907,"NS","NS","DAM",0.816326530612245
15,2.27701468203349,3.80235971054809,55,0.636879866001353,0.131362034582531,0.562194786770611,"NS","NS","DAM",1
16,-0.954526778718997,5.07124816207478,35,0.342281255905597,0.43202484034517,0.823772585663066,"NS","NS","DAM",1
17,-2.91243839081245,-1.0565887065445,32,-0.539377356104956,0.216786434941843,0.666902551781169,"NS","NS","Homeostatic",1
18,-3.53153686857109,-2.05629464510188,43,-0.932205505365476,0.0311924331866965,0.333316853059241,"NS","NS","Homeostatic",1
19,3.02744665250492,-3.42251669480867,42,0.142802387662108,0.738130861742252,0.939586500658481,"NS","NS","DAM",1
20,-0.412621149089348,-3.75668125509798,38,0.386147554904023,0.366584823096804,0.782719023381418,"NS","NS","DAM",0.894736842105263
21,1.01064380404265,-5.27109167185448,71,0.154754668686585,0.69485958735483,0.927933635439594,"NS","NS","DAM",1
22,-0.0521727194996367,0.2540904952,25,0.238003853371576,0.570030697381963,0.883950594588768,"NS","NS","DAM",1
23,2.66385729612361,-2.82609130143532,37,0.0859144165223164,0.838904821331011,0.965063391264745,"NS","NS","DAM",1
24,-0.956178918602772,11.6653338915899,65,0.989574596077177,0.0176892481072147,0.28414168238155,"NS","NS","DAM",1
25,2.95133645179842,2.05096100848068,66,0.312952090729058,0.447712741455292,0.830062840312626,"NS","NS","DAM",1
26,-2.64607077217561,-1.9312120946286,29,-0.479658126873135,0.268317748197798,0.708386640304677,"NS","NS","Homeostatic",1
27,0.352441111613895,-5.6135812479281,53,-0.236120804938224,0.57830953392836,0.886852555832722,"NS","NS","DAM",1
28,1.94091578855001,-4.54705690429504,30,0.494387468072654,0.259299021888738,0.700215453395713,"NS","NS","DAM",1
29,-0.73438528653102,-5.04589995707965,75,-0.518627070706977,0.199785728215837,0.652486046176291,"NS","NS","DAM",1
30,0.368918084846661,4.29882683773207,38,0.671576151024521,0.114257984000487,0.538761164841037,"NS","NS","DAM",1
31,-2.98821854463215,-0.176816335840615,41,0.83478993474846,0.0556779379477719,0.430181411484643,"NS","NS","Homeostatic",0.878048780487805
32,0.573562297334291,-2.03495217842366,59,0.369265125283647,0.369375880824227,0.785226845121962,"NS","NS","DAM",1
33,2.74711723063273,1.24431720303103,40,1.02201027214329,0.0198013670689406,0.293190074192253,"NS","NS","DAM",1
34,1.75151250384445,0.785081947658593,77,0.518487350352201,0.193492063638557,0.647082753269736,"NS","NS","DAM",1
35,-0.911513204140198,-1.21795367447928,32,-0.0869231753935163,0.836248519747934,0.963625550150857,"NS","NS","Homeostatic",0.96875
36,-0.245546135373333,3.42338938627744,30,1.00076119510269,0.0263646392035161,0.322179207373785,"NS","NS","DAM",1
37,1.80760269364267,-1.06696669279763,45,0.363092439217128,0.386568098283016,0.78978292505143,"NS","NS","DAM",1
38,-2.67049140444674,0.941638646783441,31,0.699329951236751,0.111960149600201,0.538761164841037,"NS","NS","Homeostatic",0.67741935483871
