compartment,Subtype,model,n_neighborhoods,n_AD_FDR10,n_CN_FDR10,min_FDR
Cerebrovascular,Arterial,diagnosis_only,2,0,2,0.0056724587163432
Cerebrovascular,Capillary,diagnosis_only,54,0,0,0.136684788649128
Cerebrovascular,Pericyte,diagnosis_only,78,1,0,0.0900763355673141
Cerebrovascular,SMC,diagnosis_only,23,0,19,0.0008515884079631
Cerebrovascular,Venous,diagnosis_only,45,0,0,0.23077897508518
Cerebrovascular,Arterial,cohort_adjusted,2,0,0,0.648699465454163
Cerebrovascular,Capillary,cohort_adjusted,54,0,0,0.370785973937296
Cerebrovascular,Pericyte,cohort_adjusted,78,0,0,0.326885496419566
Cerebrovascular,SMC,cohort_adjusted,23,0,8,0.0002787489337841
Cerebrovascular,Venous,cohort_adjusted,45,0,0,0.43416715736225
Cerebrovascular,Arterial,D1_APOE_sex_adjusted,2,0,0,1.0
Cerebrovascular,Capillary,D1_APOE_sex_adjusted,54,0,0,0.536553387407494
Cerebrovascular,Pericyte,D1_APOE_sex_adjusted,78,0,0,0.536553387407494
Cerebrovascular,SMC,D1_APOE_sex_adjusted,23,0,0,0.536553387407494
Cerebrovascular,Venous,D1_APOE_sex_adjusted,45,0,0,0.536553387407494
Astrocytes,Homeostatic,diagnosis_only,1597,1,10,0.0001650913354369
Astrocytes,Intermediate,diagnosis_only,910,1,0,0.0896770301548071
Astrocytes,Reactive,diagnosis_only,199,1,0,0.0506535104672991
Astrocytes,Homeostatic,cohort_adjusted,1597,0,2,0.0048415643845509
Astrocytes,Intermediate,cohort_adjusted,910,0,0,0.112977836435067
Astrocytes,Reactive,cohort_adjusted,199,1,0,0.0590942119477179
Astrocytes,Homeostatic,D1_APOE_sex_adjusted,1597,0,0,0.106586777901372
Astrocytes,Intermediate,D1_APOE_sex_adjusted,910,0,0,0.38720735917358
Astrocytes,Reactive,D1_APOE_sex_adjusted,199,0,0,0.214757524658712
Microglia,DAM,diagnosis_only,1491,26,2,0.0456629014421446
Microglia,Homeostatic,diagnosis_only,452,0,0,0.196670727730185
Microglia,DAM,cohort_adjusted,1491,27,2,0.0454827760513688
Microglia,Homeostatic,cohort_adjusted,452,0,0,0.18420467292277
Microglia,DAM,D1_APOE_sex_adjusted,1491,0,0,0.153774280730995
Microglia,Homeostatic,D1_APOE_sex_adjusted,452,0,0,0.440395119484581
