metric,receiver_context,target_clean,max_regulatory_potential,sum_regulatory_potential,n_supporting_top_ligands,best_ligand,top_ligands,logFC,PValue,FDR,direction,rank_in_receiver
aupr,Astrocytes,COLEC12,0.1124852321797075,0.4068929568392687,20,BMP2,BMP2;ICAM1;EGF;IL1B;S100A4;LAMA4;FGF1;ADAM17;COL7A1;PDGFB;COL15A1;FN1;TGFB1;BCAN;TNFSF13B;EFEMP2;FGF2;MELTF;CALM1;NDP,0.545958439312536,0.0281255029266765,0.477256488945378,AD-enriched_nominal,66
aupr,Microglia,COLEC12,0.144404281615489,0.2908825469845659,20,CSF1,CSF1;FGF2;SEMA3F;FBN1;MFGE8;SEMA3D;SEMA3E;BGN;C3;LAMA1;HSPG2;SEMA3G;VEGFD;SEMA3C;LAMB2;LGALS1;COL6A2;EFNB2;NRG2;VEGFA,0.89166426457444,0.0105710978199771,0.420603940398569,AD-enriched_nominal,20
aupr,Microglia,FLT1,0.1531824289847144,0.3106171417477059,20,VEGFA,CSF1;FGF2;SEMA3F;FBN1;MFGE8;SEMA3D;SEMA3E;BGN;C3;LAMA1;HSPG2;SEMA3G;VEGFD;SEMA3C;LAMB2;LGALS1;COL6A2;EFNB2;NRG2;VEGFA,0.829464934934819,0.0434180501612333,0.583687437307097,AD-enriched_nominal,8
aupr,Astrocytes,GEM,0.2258181247509402,1.058124927278352,20,EGF,BMP2;ICAM1;EGF;IL1B;S100A4;LAMA4;FGF1;ADAM17;COL7A1;PDGFB;COL15A1;FN1;TGFB1;BCAN;TNFSF13B;EFEMP2;FGF2;MELTF;CALM1;NDP,0.813117901960231,7.3646741299822e-05,0.0666761155218928,AD-enriched_nominal,4
aupr,Cerebrovascular cells,GEM,0.2258181247509402,1.2964292112026397,20,EGF,EGF;FGF1;IL6;PDGFB;SELPLG;VEGFA;B2M;FGF2;NGF;ANGPT1;PDGFC;IL1B;TNFSF10;IL18;CXCL1;LRIG1;ICAM1;HGF;IGF1;TIMP1,0.971925701436794,0.0333408322781704,0.908262525040509,AD-enriched_nominal,4
aupr,Cerebrovascular cells,JUNB,0.2752747329830635,1.7795395759459522,20,EGF,EGF;FGF1;IL6;PDGFB;SELPLG;VEGFA;B2M;FGF2;NGF;ANGPT1;PDGFC;IL1B;TNFSF10;IL18;CXCL1;LRIG1;ICAM1;HGF;IGF1;TIMP1,0.598591275538839,0.0369158852380014,0.908262525040509,AD-enriched_nominal,1
aupr,Astrocytes,NAMPT,0.2437762978761511,0.5395245789025371,20,IL1B,BMP2;ICAM1;EGF;IL1B;S100A4;LAMA4;FGF1;ADAM17;COL7A1;PDGFB;COL15A1;FN1;TGFB1;BCAN;TNFSF13B;EFEMP2;FGF2;MELTF;CALM1;NDP,0.935919200015355,0.0207693436154748,0.446819406989067,AD-enriched_nominal,2
aupr,Cerebrovascular cells,NAMPT,0.2437762978761511,0.7266204195968443,20,IL1B,EGF;FGF1;IL6;PDGFB;SELPLG;VEGFA;B2M;FGF2;NGF;ANGPT1;PDGFC;IL1B;TNFSF10;IL18;CXCL1;LRIG1;ICAM1;HGF;IGF1;TIMP1,0.61907896969327,0.0113745565149654,0.908262525040509,AD-enriched_nominal,2
aupr,Astrocytes,NFKB1,0.2804316984569951,0.5940162577405258,20,IL1B,BMP2;ICAM1;EGF;IL1B;S100A4;LAMA4;FGF1;ADAM17;COL7A1;PDGFB;COL15A1;FN1;TGFB1;BCAN;TNFSF13B;EFEMP2;FGF2;MELTF;CALM1;NDP,0.217881225586701,0.0077100747856691,0.330642671451494,AD-enriched_nominal,1
aupr,Cerebrovascular cells,PLAT,0.1950577514713471,1.0743135348696518,20,VEGFA,EGF;FGF1;IL6;PDGFB;SELPLG;VEGFA;B2M;FGF2;NGF;ANGPT1;PDGFC;IL1B;TNFSF10;IL18;CXCL1;LRIG1;ICAM1;HGF;IGF1;TIMP1,0.535674920766635,0.0323490125970486,0.908262525040509,AD-enriched_nominal,7
