top_n_ligands,receiver_context,target_clean,max_regulatory_potential,sum_regulatory_potential,n_supporting_top_ligands,best_ligand,logFC,PValue,FDR,direction,rank_in_receiver
5,Astrocytes,GEM,0.2258181247509402,0.4890347742849966,5,EGF,0.813117901960231,7.3646741299822e-05,0.0666761155218928,AD-enriched_nominal,3
5,Cerebrovascular cells,GEM,0.2258181247509402,0.3722479046552675,5,EGF,0.971925701436794,0.0333408322781704,0.908262525040509,AD-enriched_nominal,3
10,Astrocytes,GEM,0.2258181247509402,0.6333918247605446,10,EGF,0.813117901960231,7.3646741299822e-05,0.0666761155218928,AD-enriched_nominal,3
10,Cerebrovascular cells,GEM,0.2258181247509402,0.742689351092481,10,EGF,0.971925701436794,0.0333408322781704,0.908262525040509,AD-enriched_nominal,3
20,Astrocytes,GEM,0.2258181247509402,1.058124927278352,20,EGF,0.813117901960231,7.3646741299822e-05,0.0666761155218928,AD-enriched_nominal,4
20,Cerebrovascular cells,GEM,0.2258181247509402,1.2964292112026397,20,EGF,0.971925701436794,0.0333408322781704,0.908262525040509,AD-enriched_nominal,4
30,Astrocytes,GEM,0.2258181247509402,1.3074459304217565,30,EGF,0.813117901960231,7.3646741299822e-05,0.0666761155218928,AD-enriched_nominal,5
30,Cerebrovascular cells,GEM,0.2258181247509402,1.424808421885919,30,EGF,0.971925701436794,0.0333408322781704,0.908262525040509,AD-enriched_nominal,4
50,Astrocytes,GEM,0.2258181247509402,1.4250808325742392,50,EGF,0.813117901960231,7.3646741299822e-05,0.0666761155218928,AD-enriched_nominal,5
50,Cerebrovascular cells,GEM,0.2258181247509402,1.9165539705637935,50,EGF,0.971925701436794,0.0333408322781704,0.908262525040509,AD-enriched_nominal,4
5,Astrocytes,NAMPT,0.2437762978761511,0.3321634351442746,5,IL1B,0.935919200015355,0.0207693436154748,0.446819406989067,AD-enriched_nominal,2
5,Cerebrovascular cells,NAMPT,0.1486879287296462,0.2391731669369552,5,IL6,0.61907896969327,0.0113745565149654,0.908262525040509,AD-enriched_nominal,10
10,Astrocytes,NAMPT,0.2437762978761511,0.4277407530478211,10,IL1B,0.935919200015355,0.0207693436154748,0.446819406989067,AD-enriched_nominal,2
10,Cerebrovascular cells,NAMPT,0.1486879287296462,0.3455570472690881,10,IL6,0.61907896969327,0.0113745565149654,0.908262525040509,AD-enriched_nominal,11
20,Astrocytes,NAMPT,0.2437762978761511,0.5395245789025371,20,IL1B,0.935919200015355,0.0207693436154748,0.446819406989067,AD-enriched_nominal,2
20,Cerebrovascular cells,NAMPT,0.2437762978761511,0.7266204195968443,20,IL1B,0.61907896969327,0.0113745565149654,0.908262525040509,AD-enriched_nominal,2
30,Astrocytes,NAMPT,0.2437762978761511,0.8667827585698944,30,IL1B,0.935919200015355,0.0207693436154748,0.446819406989067,AD-enriched_nominal,2
30,Cerebrovascular cells,NAMPT,0.2437762978761511,0.8535432505559593,30,IL1B,0.61907896969327,0.0113745565149654,0.908262525040509,AD-enriched_nominal,2
50,Astrocytes,NAMPT,0.2437762978761511,1.0373743650570568,50,IL1B,0.935919200015355,0.0207693436154748,0.446819406989067,AD-enriched_nominal,2
50,Cerebrovascular cells,NAMPT,0.2437762978761511,1.212371309786654,50,IL1B,0.61907896969327,0.0113745565149654,0.908262525040509,AD-enriched_nominal,2
5,Cerebrovascular cells,PLAT,0.1705397914188824,0.3485412969482236,5,EGF,0.535674920766635,0.0323490125970486,0.908262525040509,AD-enriched_nominal,7
10,Cerebrovascular cells,PLAT,0.1950577514713471,0.6912857758136528,10,VEGFA,0.535674920766635,0.0323490125970486,0.908262525040509,AD-enriched_nominal,5
20,Cerebrovascular cells,PLAT,0.1950577514713471,1.0743135348696518,20,VEGFA,0.535674920766635,0.0323490125970486,0.908262525040509,AD-enriched_nominal,7
30,Cerebrovascular cells,PLAT,0.1950577514713471,1.2613013267087891,30,VEGFA,0.535674920766635,0.0323490125970486,0.908262525040509,AD-enriched_nominal,7
50,Cerebrovascular cells,PLAT,0.1950577514713471,1.6747645363457235,50,VEGFA,0.535674920766635,0.0323490125970486,0.908262525040509,AD-enriched_nominal,8
