subset1,subset2,shared_donors,n1,n2
DLPFC_Endothelial,DLPFC_Endothelial,80,80,80
DLPFC_Endothelial,DLPFC_VLMC,80,80,80
DLPFC_Endothelial,MTG_Endothelial,76,80,79
DLPFC_Endothelial,MTG_VLMC,80,80,84
DLPFC_VLMC,DLPFC_Endothelial,80,80,80
DLPFC_VLMC,DLPFC_VLMC,80,80,80
DLPFC_VLMC,MTG_Endothelial,76,80,79
DLPFC_VLMC,MTG_VLMC,80,80,84
MTG_Endothelial,DLPFC_Endothelial,76,79,80
MTG_Endothelial,DLPFC_VLMC,76,79,80
MTG_Endothelial,MTG_Endothelial,79,79,79
MTG_Endothelial,MTG_VLMC,79,79,84
MTG_VLMC,DLPFC_Endothelial,80,84,80
MTG_VLMC,DLPFC_VLMC,80,84,80
MTG_VLMC,MTG_Endothelial,79,84,79
MTG_VLMC,MTG_VLMC,84,84,84
