dataset,model,status,term,n_dementia,n_normal,coefficient,SE_HC3,CI_low,CI_high,PValue,design_rank,n_columns,q_BH_4_subsets
DLPFC_Endothelial,diagnosis_only,estimated,diagnosis,39,41,0.017350388226454034,0.008444768819671112,0.000538144975019441,0.03416263147788863,0.04326925700966624,2,2,0.06105396154517317
DLPFC_Endothelial,base,estimated,diagnosis,39,41,0.012729491284480888,0.008269758894037268,-0.003748363006547727,0.029207345575509504,0.12800084938119702,6,6,0.17066779917492936
DLPFC_Endothelial,APOE_dosage,estimated,diagnosis,39,41,0.009705879785417596,0.00795289555221111,-0.006147927747382501,0.025559687318217693,0.22628739600357195,8,8,0.3017165280047626
DLPFC_Endothelial,APOE4_carrier,estimated,diagnosis,39,41,0.012475857771737934,0.007709052587952737,-0.0028882618793856178,0.027839977422861484,0.10990259793483813,7,7,0.14653679724645083
DLPFC_Endothelial,interaction,estimated,diagnosis:carrier,39,41,0.03677648707245859,0.01702715373118382,0.0028334764653928923,0.07071949767952429,0.034113001912245075,8,8,0.11812556915517426
DLPFC_Endothelial,noncarrier,estimated,diagnosis,24,33,0.0024765796156531717,0.008523955912238715,-0.014635975932644986,0.01958913516395133,0.7725787261383851,6,6,0.9607597129807267
DLPFC_Endothelial,carrier,estimated,diagnosis,15,8,0.03632774849604874,0.016624115087570335,0.0012539315165989925,0.07140156547549847,0.04315806353672858,6,6,0.17263225414691433
DLPFC_VLMC,diagnosis_only,estimated,diagnosis,39,41,0.030266183379299587,0.031870572665237094,-0.03318325279263767,0.09371561955123683,0.34521867359492664,2,2,0.34521867359492664
DLPFC_VLMC,base,estimated,diagnosis,39,41,0.014286428542615342,0.03591699992326302,-0.05727975602089641,0.0858526131061271,0.6919505485751853,6,6,0.6919505485751853
DLPFC_VLMC,APOE_dosage,estimated,diagnosis,39,41,0.013714422083187584,0.03647235771255529,-0.058991894207050505,0.08642073837342568,0.7080059675027001,8,8,0.7080059675027001
DLPFC_VLMC,APOE4_carrier,estimated,diagnosis,39,41,0.014280919231130566,0.03479192627515449,-0.055059289839424055,0.08362112830168518,0.6826660731316427,7,7,0.6826660731316427
DLPFC_VLMC,interaction,estimated,diagnosis:carrier,39,41,0.1263287769958108,0.06586100866747123,-0.004962744246394868,0.25762029823801647,0.05906278457758713,8,8,0.11812556915517426
DLPFC_VLMC,noncarrier,estimated,diagnosis,24,33,-0.0021722654843419854,0.04393510299457641,-0.09037566520340827,0.08603113423472429,0.9607597129807267,6,6,0.9607597129807267
DLPFC_VLMC,carrier,estimated,diagnosis,15,8,0.11007752122710188,0.06597675969716567,-0.029121274156943516,0.24927631661114727,0.11354260870777848,6,6,0.22708521741555696
MTG_Endothelial,diagnosis_only,estimated,diagnosis,40,39,0.0062243493948717955,0.002675184425640398,0.0008973766488408015,0.011551322140902789,0.022612452045070047,2,2,0.06105396154517317
MTG_Endothelial,base,estimated,diagnosis,40,39,0.006245585368006335,0.0031181084018053378,3.120428499528861e-05,0.012459966451017383,0.04889021722147026,6,6,0.17066779917492936
MTG_Endothelial,APOE_dosage,estimated,diagnosis,40,39,0.006511655646373932,0.003334248315943789,-0.00013664666995263225,0.013159957962700496,0.0547664581449527,8,8,0.21702033314838226
MTG_Endothelial,APOE4_carrier,estimated,diagnosis,40,39,0.005965759794837998,0.0030754034632544053,-0.000164944961945402,0.012096464551621397,0.056317848259442006,7,7,0.14653679724645083
MTG_Endothelial,interaction,estimated,diagnosis:carrier,40,39,0.0014368721537220527,0.006071169885691289,-0.010668696774916176,0.013542441082360282,0.8135932358823177,8,8,0.8135932358823177
MTG_Endothelial,noncarrier,estimated,diagnosis,24,31,0.006058711599801047,0.003733739040432155,-0.0014445179177540986,0.013561941117356192,0.11107233876048746,6,6,0.2378373443910942
MTG_Endothelial,carrier,estimated,diagnosis,16,8,0.007890501599793992,0.006816627920455894,-0.006430702238414231,0.022211705438002216,0.2621827783313297,6,6,0.34957703777510624
MTG_VLMC,diagnosis_only,estimated,diagnosis,42,42,0.07013344192857139,0.03457984498494424,0.0013431145971157937,0.13892376926002697,0.045790471158879874,2,2,0.06105396154517317
MTG_VLMC,base,estimated,diagnosis,42,42,0.05437880107958639,0.03399828392820171,-0.01330658282350159,0.12206418498267438,0.11376211580544313,6,6,0.17066779917492936
MTG_VLMC,APOE_dosage,estimated,diagnosis,42,42,0.06008278516164704,0.03699611730327099,-0.013601368334478794,0.1337669386577729,0.10851016657419113,8,8,0.21702033314838226
MTG_VLMC,APOE4_carrier,estimated,diagnosis,42,42,0.06225002806931386,0.03594706487798511,-0.009329722870285412,0.13382977900891313,0.08732917327572182,7,7,0.14653679724645083
MTG_VLMC,interaction,estimated,diagnosis:carrier,42,42,-0.04858994192186432,0.06394207191785192,-0.17594161516457923,0.07876173132085061,0.44966185242199364,8,8,0.5995491365626582
MTG_VLMC,noncarrier,estimated,diagnosis,26,33,0.08022760813706152,0.050617219446580944,-0.021297677062043954,0.181752893336167,0.1189186721955471,6,6,0.2378373443910942
MTG_VLMC,carrier,estimated,diagnosis,16,9,0.03321483775322698,0.04408680592993442,-0.059059907540156636,0.1254895830466106,0.46044642346933845,6,6,0.46044642346933845
