sample,group,LR_Pair,source,target,ligand,receptor,communication_strength,nvu_priority_score,n_source_target_edges,holonet_db_exact,support_status,support_reason,ligand_in_var,receptor_in_var,ligand_detected_frac,receptor_detected_frac,spatial_score_mean,spatial_score_max,official_ce_mean,official_ce_hotspot_mean,official_ce_hotspot_max,top_ce_contributor
1-1,CN,ANGPT2:TEK,CapEC_ActHigh,CapEC_ActMid,ANGPT2,TEK,4.54361491584708,4,,True,official_CE,official_CE_computed,True,True,0.0043126684636118,0.0423180592991913,1.1917256287692187e-05,0.0215039430884582,1.0,7420.000304655486,2943809.2573393527,OPCs
1-1,CN,ANGPT2:TEK,CapEC_ActHigh,CapEC_ActHigh,ANGPT2,TEK,4.37288432730355,4,,True,official_CE,official_CE_computed,True,True,0.0043126684636118,0.0423180592991913,1.1917256287692187e-05,0.0215039430884582,1.0,7420.000304655486,2943809.2573393527,OPCs
1-1,CN,DLL4:NOTCH3,CapEC_ActHigh,Endothelial,DLL4,NOTCH3,3.97571022943378,4,,True,official_CE,official_CE_computed,True,True,0.01455525606469,0.1,0.0002464261655957,0.1619250149288394,1.0,7419.999882075472,1818769.40625,Inhibitory
1-1,CN,ANGPT2:ITGA5_ITGB1,CapEC_ActHigh,CapEC_ActHigh,ANGPT2,ITGA5_ITGB1,4.20261655015507,5,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,False,0.0043126684636118,0.0,0.0,0.0,,,,
1-1,CN,EDN1:ADGRL4,CapEC_ActHigh,CapEC_ActHigh,EDN1,ADGRL4,5.53000649543383,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.012398921832884,0.0237196765498652,2.0971388261927884e-05,0.0287123412925775,,,,
1-1,CN,TGM2:SDC4,CapEC_ActHigh,Astrocytes,TGM2,SDC4,5.30562680132779,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0789757412398921,0.3137466307277628,0.1247077683839566,1.0,,,,
1-1,CN,EDN1:ADGRL4,CapEC_ActHigh,CapEC_ActMid,EDN1,ADGRL4,4.93295337198607,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.012398921832884,0.0237196765498652,2.0971388261927884e-05,0.0287123412925775,,,,
1-1,CN,TGM2:SDC4,CapEC_ActMid,Astrocytes,TGM2,SDC4,4.7448514396223,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0789757412398921,0.3137466307277628,0.1247077683839566,1.0,,,,
1-1,CN,ANGPT2:TIE1,CapEC_ActHigh,CapEC_ActHigh,ANGPT2,TIE1,4.67077082937509,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0043126684636118,0.030188679245283,1.2898625917599966e-05,0.0287123412925775,,,,
1-1,CN,VWF:ITGB1,CapEC_ActHigh,CapEC_ActHigh,VWF,ITGB1,4.61033774738797,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.2185983827493261,0.125427095795713,1.0,,,,
1-1,CN,VWF:ITGB1,CapEC_ActMid,CapEC_ActHigh,VWF,ITGB1,4.5039011398043,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.2185983827493261,0.125427095795713,1.0,,,,
1-1,CN,VWF:LRP1,CapEC_ActHigh,OPCs,VWF,LRP1,4.4793671420588,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.5380053908355795,0.1485047555483771,1.0,,,,
1-1,CN,SPARC:ENG,CapEC_ActHigh,CapEC_ActHigh,SPARC,ENG,4.46727274052437,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.4207547169811321,0.0776280323450134,0.107245859773802,1.0,,,,
1-1,CN,VEGFC:FLT1,CapEC_ActLow,CapEC_ActHigh,VEGFC,FLT1,4.39084021559002,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0043126684636118,0.0800539083557951,9.568983526332295e-06,0.0193641430269233,,,,
1-1,CN,VWF:ITGB1,CapEC_ActHigh,CapEC_ActMid,VWF,ITGB1,4.36046463986151,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.2185983827493261,0.125427095795713,1.0,,,,
1-1,CN,EDN1:ADGRL4,CapEC_ActMid,CapEC_ActHigh,EDN1,ADGRL4,4.35835110876904,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.012398921832884,0.0237196765498652,2.0971388261927884e-05,0.0287123412925775,,,,
1-1,CN,VEGFC:FLT1,CapEC_ActLow,CapEC_ActMid,VEGFC,FLT1,4.35226555679961,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0043126684636118,0.0800539083557951,9.568983526332295e-06,0.0193641430269233,,,,
1-1,CN,VWF:LRP1,CapEC_ActMid,OPCs,VWF,LRP1,4.34668604700358,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.5380053908355795,0.1485047555483771,1.0,,,,
1-1,CN,VEGFC:FLT1,CapEC_ActMid,CapEC_ActHigh,VEGFC,FLT1,4.33360333036573,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0043126684636118,0.0800539083557951,9.568983526332295e-06,0.0193641430269233,,,,
1-1,CN,VEGFC:FLT1,CapEC_ActHigh,CapEC_ActHigh,VEGFC,FLT1,4.31533439774322,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0043126684636118,0.0800539083557951,9.568983526332295e-06,0.0193641430269233,,,,
1-1,CN,ANGPT2:TIE1,CapEC_ActHigh,CapEC_ActMid,ANGPT2,TIE1,4.30796734573952,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0043126684636118,0.030188679245283,1.2898625917599966e-05,0.0287123412925775,,,,
1-1,CN,FN1:ITGA6,CapEC_ActHigh,CapEC_ActMid,FN1,ITGA6,4.26439504314963,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1873315363881401,0.0940700808625337,0.0922382139269191,1.0,,,,
1-1,CN,VWF:ITGB1,CapEC_ActMid,CapEC_ActMid,VWF,ITGB1,4.26182597876555,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.2185983827493261,0.125427095795713,1.0,,,,
1-1,CN,VEGFC:FLT1,CapEC_ActMid,CapEC_ActMid,VEGFC,FLT1,4.24588149208192,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0043126684636118,0.0800539083557951,9.568983526332295e-06,0.0193641430269233,,,,
1-1,CN,SPARC:ENG,CapEC_ActHigh,CapEC_ActMid,SPARC,ENG,4.2313900266333,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.4207547169811321,0.0776280323450134,0.107245859773802,1.0,,,,
1-1,CN,EDN1:ADGRL4,CapEC_ActHigh,CapEC_ActLow,EDN1,ADGRL4,4.22032329726955,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.012398921832884,0.0237196765498652,2.0971388261927884e-05,0.0287123412925775,,,,
1-1,CN,VEGFC:FLT1,CapEC_ActHigh,CapEC_ActMid,VEGFC,FLT1,4.21313631423109,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0043126684636118,0.0800539083557951,9.568983526332295e-06,0.0193641430269233,,,,
1-1,CN,FN1:ITGA6,CapEC_ActHigh,CapEC_ActHigh,FN1,ITGA6,4.20410799381511,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1873315363881401,0.0940700808625337,0.0922382139269191,1.0,,,,
1-1,CN,PDGFC:FLT1,CapEC_ActHigh,CapEC_ActHigh,PDGFC,FLT1,4.08019529361381,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0619946091644204,0.0800539083557951,0.0532230356430782,1.0,,,,
1-1,CN,ANGPT2:TIE1,CapEC_ActHigh,CapEC_ActLow,ANGPT2,TIE1,4.04859840853247,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0043126684636118,0.030188679245283,1.2898625917599966e-05,0.0287123412925775,,,,
1-1,CN,VEGFC:FLT1,CapEC_ActLow,CapEC_ActLow,VEGFC,FLT1,4.02600600071754,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0043126684636118,0.0800539083557951,9.568983526332295e-06,0.0193641430269233,,,,
1-1,CN,PDGFC:FLT1,CapEC_ActHigh,CapEC_ActMid,PDGFC,FLT1,4.02350804712969,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0619946091644204,0.0800539083557951,0.0532230356430782,1.0,,,,
1-1,CN,TGM2:SDC4,CapEC_ActLow,Astrocytes,TGM2,SDC4,4.01077358387843,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0789757412398921,0.3137466307277628,0.1247077683839566,1.0,,,,
1-1,CN,VWF:ITGB1,CapEC_ActLow,CapEC_ActHigh,VWF,ITGB1,3.97536257725821,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.2185983827493261,0.125427095795713,1.0,,,,
1-1,CN,TGM2:ITGB1,CapEC_ActHigh,CapEC_ActHigh,TGM2,ITGB1,3.89763193889997,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0789757412398921,0.2185983827493261,0.0792029453534747,1.0,,,,
1-1,CN,PDGFC:FLT1,CapEC_ActHigh,CapEC_ActLow,PDGFC,FLT1,3.89569937689265,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0619946091644204,0.0800539083557951,0.0532230356430782,1.0,,,,
1-1,CN,VEGFC:FLT1,CapEC_ActMid,CapEC_ActLow,VEGFC,FLT1,3.88311539457363,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0043126684636118,0.0800539083557951,9.568983526332295e-06,0.0193641430269233,,,,
1-1,CN,VEGFC:FLT1,CapEC_ActHigh,CapEC_ActLow,VEGFC,FLT1,3.87220743527883,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0043126684636118,0.0800539083557951,9.568983526332295e-06,0.0193641430269233,,,,
1-1,CN,VWF:LRP1,CapEC_ActLow,OPCs,VWF,LRP1,3.868944399429,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.5380053908355795,0.1485047555483771,1.0,,,,
1-1,CN,EDN1:ADGRL4,CapEC_ActMid,CapEC_ActMid,EDN1,ADGRL4,3.84909649065464,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.012398921832884,0.0237196765498652,2.0971388261927884e-05,0.0287123412925775,,,,
1-1,CN,TGM2:ITGA9,CapEC_ActHigh,Microglia,TGM2,ITGA9,3.80877750513831,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0789757412398921,0.0498652291105121,4.512904642819864e-05,0.0169964597932734,,,,
1-1,CN,SPARC:ENG,CapEC_ActHigh,CapEC_ActLow,SPARC,ENG,3.80619833605669,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.4207547169811321,0.0776280323450134,0.107245859773802,1.0,,,,
1-1,CN,PDGFC:FLT1,CapEC_ActMid,CapEC_ActHigh,PDGFC,FLT1,3.78122747656311,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0619946091644204,0.0800539083557951,0.0532230356430782,1.0,,,,
1-1,CN,VWF:ITGB1,CapEC_ActHigh,Endothelial,VWF,ITGB1,3.77418129832661,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.2185983827493261,0.1416654254014895,1.0,,,,
1-1,CN,VWF:ITGB1,CapEC_ActLow,CapEC_ActMid,VWF,ITGB1,3.7584674831426,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.2185983827493261,0.125427095795713,1.0,,,,
1-1,CN,VWF:LRP1,CapEC_ActHigh,Astrocytes,VWF,LRP1,3.74982005142202,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.5380053908355795,0.1386414164129486,1.0,,,,
1-1,CN,PDGFC:FLT1,CapEC_ActMid,CapEC_ActMid,PDGFC,FLT1,3.72422218612749,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0619946091644204,0.0800539083557951,0.0532230356430782,1.0,,,,
1-1,CN,FN1:ITGA6,CapEC_ActHigh,CapEC_ActLow,FN1,ITGA6,3.72253369425623,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1873315363881401,0.0940700808625337,0.0922382139269191,1.0,,,,
1-1,CN,FN1:ITGA6,CapEC_ActMid,CapEC_ActMid,FN1,ITGA6,3.70410558689883,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1873315363881401,0.0940700808625337,0.0922382139269191,1.0,,,,
1-1,CN,VWF:ITGB1,CapEC_ActHigh,CapEC_ActLow,VWF,ITGB1,3.69086778987713,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.2185983827493261,0.125427095795713,1.0,,,,
1-1,CN,FN1:ITGA2,CapEC_ActHigh,Oligodendrocytes,FN1,ITGA2,3.66284018683941,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1873315363881401,0.0304582210242587,0.0563942890815942,1.0,,,,
1-1,CN,VWF:ITGB1,CapEC_ActMid,Endothelial,VWF,ITGB1,3.65035964933864,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.2185983827493261,0.1416654254014895,1.0,,,,
1-1,CN,TGM2:ITGB1,CapEC_ActHigh,CapEC_ActMid,TGM2,ITGB1,3.63766296351018,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0789757412398921,0.2185983827493261,0.0792029453534747,1.0,,,,
1-1,CN,FN1:ITGA6,CapEC_ActMid,CapEC_ActHigh,FN1,ITGA6,3.63450836147113,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1873315363881401,0.0940700808625337,0.0922382139269191,1.0,,,,
