ligand,receptor,LR_Pair,n_contexts,original_exact_match,canonical_pair,current_exact_match,current_canonical_match,matching_db_interactions,in_current_Fig6_BCD_pair,in_S11_display13,in_Fig7D_display11
ANGPT2,ITGA5_ITGB1,ANGPT2:ITGA5_ITGB1,1,False,ANGPT2:ITGA5+ITGB1,False,True,ANGPT2_ITGA5_ITGB1,True,False,False
ANGPT2,TEK,ANGPT2:TEK,2,True,ANGPT2:TEK,True,True,ANGPT2_TEK,True,True,True
ANGPT2,TIE1,ANGPT2:TIE1,3,False,ANGPT2:TIE1,False,False,,True,True,True
ANXA1,GRM7,ANXA1:GRM7,1,False,ANXA1:GRM7,False,False,,False,False,False
ANXA2,TLR2,ANXA2:TLR2,1,False,ANXA2:TLR2,False,False,,False,False,True
CFH,ITGAM,CFH:ITGAM,1,False,CFH:ITGAM,False,False,,False,False,False
DLL4,NOTCH3,DLL4:NOTCH3,1,True,DLL4:NOTCH3,True,True,DLL4_NOTCH3,False,True,True
EDN1,ADGRL4,EDN1:ADGRL4,5,False,EDN1:ADGRL4,False,False,,True,False,False
FN1,ITGA2,FN1:ITGA2,1,False,FN1:ITGA2,False,False,,False,False,False
FN1,ITGA6,FN1:ITGA6,5,False,FN1:ITGA6,False,False,,False,True,False
FN1,MAG,FN1:MAG,2,False,FN1:MAG,False,False,,False,True,False
FN1,ROBO4,FN1:ROBO4,1,False,FN1:ROBO4,False,False,,False,False,False
GNAI2,P2RY12,GNAI2:P2RY12,1,False,GNAI2:P2RY12,False,False,,False,False,False
GNAI2,S1PR1,GNAI2:S1PR1,1,False,GNAI2:S1PR1,False,False,,False,False,False
ICAM2,ITGAM_ITGB2,ICAM2:ITGAM_ITGB2,1,False,ICAM2:ITGAM+ITGB2,False,True,ICAM2_ITGAM_ITGB2,False,False,False
LGALS3,ENG,LGALS3:ENG,1,False,LGALS3:ENG,False,False,,False,False,False
PDGFB,ADGRV1,PDGFB:ADGRV1,2,False,PDGFB:ADGRV1,False,False,,False,False,False
PDGFC,FLT1,PDGFC:FLT1,5,False,PDGFC:FLT1,False,False,,False,True,True
SORBS1,ITGA1,SORBS1:ITGA1,8,False,SORBS1:ITGA1,False,False,,False,False,False
SPARC,ENG,SPARC:ENG,3,False,SPARC:ENG,False,False,,False,True,True
SPARC,FGFR1,SPARC:FGFR1,1,False,SPARC:FGFR1,False,False,,False,True,True
TGM2,ITGA9,TGM2:ITGA9,1,False,TGM2:ITGA9,False,False,,False,False,False
TGM2,ITGB1,TGM2:ITGB1,2,False,TGM2:ITGB1,False,False,,False,True,True
TGM2,SDC4,TGM2:SDC4,3,False,TGM2:SDC4,False,False,,False,True,False
VEGFC,FLT1,VEGFC:FLT1,9,False,VEGFC:FLT1,False,False,,True,True,True
VWF,ITGB1,VWF:ITGB1,9,False,VWF:ITGB1,False,False,,False,True,True
VWF,LRP1,VWF:LRP1,5,False,VWF:LRP1,False,False,,False,True,True
VWF,SIRPA,VWF:SIRPA,4,False,VWF:SIRPA,False,False,,False,False,False
