LR_Pair,communication_strength_max,mean_score,max_score,holonet_db_exact,nvu_priority_score,n_source_target_edges,CN_mean,AD_mean,AD_minus_CN_mean,abs_AD_minus_CN,in_S11_display13,in_Fig7D_display11,n_AD_sections,AD_section_mean,n_CN_sections,CN_section_mean,abs_delta_rank,mean_score_rank,original_FULL02_top24,historical_P_FDR
DLL4:NOTCH3,3.97571022943378,0.0603725111352707,1.0,True,4,1,0.0645535381247812,0.0561914841457602,-0.0083620539790209,0.0083620539790209,True,True,3,0.05619148414576027,3,0.06455353812478122,21,18,True,Not calculated in FULL03/FULL07 or these plotting routines
ANGPT2:TEK,4.54361491584708,0.0568489280296992,1.0,True,4,1,0.0613971744354123,0.0523006816239861,-0.0090964928114261,0.0090964928114261,True,True,3,0.05230068162398612,3,0.06139717443541234,20,19,True,Not calculated in FULL03/FULL07 or these plotting routines
ANGPT2:ITGA5_ITGB1,4.20261655015507,0.0,0.0,False,5,1,0.0,0.0,0.0,0.0,False,False,3,0.0,3,0.0,27,27,False,Not calculated in FULL03/FULL07 or these plotting routines
VWF:LRP1,4.4793671420588,0.2254801894526847,1.0,False,4,3,0.2437175899784275,0.2072427889269417,-0.0364748010514857,0.0364748010514857,True,True,3,0.20724278892694178,3,0.24371758997842755,1,2,True,Not calculated in FULL03/FULL07 or these plotting routines
SPARC:ENG,4.46727274052437,0.1599694114584839,1.0,False,4,1,0.1465937167997235,0.1733451061172444,0.0267513893175208,0.0267513893175208,True,True,3,0.17334510611724438,3,0.14659371679972352,4,6,True,Not calculated in FULL03/FULL07 or these plotting routines
VWF:ITGB1,4.61033774738797,0.1574979347252123,1.0,False,4,3,0.1655665333757383,0.1494293360746864,-0.0161371973010518,0.0161371973010518,True,True,3,0.14942933607468645,3,0.1655665333757382,10,7,True,Not calculated in FULL03/FULL07 or these plotting routines
TGM2:SDC4,5.30562680132779,0.1447930402950853,1.0,False,4,3,0.150566273877139,0.1390198067130317,-0.0115464671641072,0.0115464671641072,True,False,3,0.13901980671303169,3,0.15056627387713895,16,9,True,Not calculated in FULL03/FULL07 or these plotting routines
FN1:ITGA6,4.26439504314963,0.1339731297016283,1.0,False,4,2,0.1330471505852152,0.1348991088180413,0.0018519582328261,0.0018519582328261,True,False,3,0.13489910881804135,3,0.13304715058521524,26,11,False,Not calculated in FULL03/FULL07 or these plotting routines
TGM2:ITGB1,3.89763193889997,0.1315839861501184,1.0,False,4,1,0.1255906229288737,0.1375773493713631,0.0119867264424893,0.0119867264424893,True,True,3,0.13757734937136307,3,0.1255906229288737,15,12,True,Not calculated in FULL03/FULL07 or these plotting routines
PDGFC:FLT1,4.08019529361381,0.1003298171815455,1.0,False,4,2,0.0931490682795452,0.1075105660835457,0.0143614978040005,0.0143614978040005,True,True,3,0.10751056608354577,3,0.09314906827954517,12,14,True,Not calculated in FULL03/FULL07 or these plotting routines
