LR_Pair,sample,group,spatial_score_mean
ANGPT2:ITGA5_ITGB1,1-1,CN,0.0
ANGPT2:ITGA5_ITGB1,18-64,CN,0.0
ANGPT2:ITGA5_ITGB1,2-3,AD,0.0
ANGPT2:ITGA5_ITGB1,2-5,CN,0.0
ANGPT2:ITGA5_ITGB1,2-8,AD,0.0
ANGPT2:ITGA5_ITGB1,T4857,AD,0.0
ANGPT2:TEK,1-1,CN,1.1917256287692187e-05
ANGPT2:TEK,18-64,CN,0.0801905643254389
ANGPT2:TEK,2-3,AD,0.0784056315867419
ANGPT2:TEK,2-5,CN,0.1039890417245104
ANGPT2:TEK,2-8,AD,8.646221426405001e-05
ANGPT2:TEK,T4857,AD,0.0784099510709524
ANGPT2:TIE1,1-1,CN,1.2898625917599966e-05
ANGPT2:TIE1,18-64,CN,0.0780947324234872
ANGPT2:TIE1,2-3,AD,0.085692140690751
ANGPT2:TIE1,2-5,CN,0.0801646982970994
ANGPT2:TIE1,2-8,AD,2.416007871408276e-05
ANGPT2:TIE1,T4857,AD,0.000221166967255
ANXA1:GRM7,1-1,CN,0.0539894875499269
ANXA1:GRM7,18-64,CN,0.1225003979841462
ANXA1:GRM7,2-3,AD,0.0928872722226094
ANXA1:GRM7,2-5,CN,0.1217656905887268
ANXA1:GRM7,2-8,AD,0.0786056647017717
ANXA1:GRM7,T4857,AD,0.1070289843739844
ANXA2:TLR2,1-1,CN,0.0
ANXA2:TLR2,18-64,CN,0.0001557680155034
ANXA2:TLR2,2-3,AD,0.0620317907915165
ANXA2:TLR2,2-5,CN,0.1116340014530875
ANXA2:TLR2,2-8,AD,0.0570049416680449
ANXA2:TLR2,T4857,AD,0.0866817276097982
CFH:ITGAM,1-1,CN,3.040049851333125e-06
CFH:ITGAM,18-64,CN,0.0001272756014527
CFH:ITGAM,2-3,AD,0.0001050296807873
CFH:ITGAM,2-5,CN,0.0002918837358726
CFH:ITGAM,2-8,AD,4.628574750444036e-05
CFH:ITGAM,T4857,AD,0.0596252770063542
DLL4:NOTCH3,1-1,CN,0.0002464261655957
DLL4:NOTCH3,18-64,CN,0.0892983883988201
DLL4:NOTCH3,2-3,AD,0.111330375248166
DLL4:NOTCH3,2-5,CN,0.1041157998099279
DLL4:NOTCH3,2-8,AD,0.056728426975819
DLL4:NOTCH3,T4857,AD,0.0005156502132958
EDN1:ADGRL4,1-1,CN,2.0971388261927884e-05
EDN1:ADGRL4,18-64,CN,0.05459043426579511
EDN1:ADGRL4,2-3,AD,0.0659244952139132
EDN1:ADGRL4,2-5,CN,0.1048527126184982
EDN1:ADGRL4,2-8,AD,0.0711683354508256
EDN1:ADGRL4,T4857,AD,0.000101814952279
FN1:ITGA2,1-1,CN,0.0563942890815942
FN1:ITGA2,18-64,CN,2.612583898088973e-05
FN1:ITGA2,2-3,AD,0.0779577382549452
FN1:ITGA2,2-5,CN,0.0655294440229569
FN1:ITGA2,2-8,AD,0.0737235640321471
FN1:ITGA2,T4857,AD,8.411606811229348e-05
