sample_id,group,RHBDF2,SLC38A11,PDGFRB,PTH1R,DGKB,GPC5,RNF152,GRM8,SLC6A12,INPP4B,CPM,CNTN4,GJC1,PDE7B,PLCE1,GRM3,COL4A3,CACNA1C
GSM3895951,CN,8.197619119,7.41529004,9.253223148,9.330725164,9.5728583,8.737529954,6.20464403,8.419390488,8.464190823,6.798282524,6.594794318,6.248459098,6.231925108,8.749320978,7.038897904,9.372451241,6.188848102,6.20464403
GSM3895952,CN,9.476827189,6.836845841,10.175712,11.0837806,8.172978139,9.144360167,6.31205302,7.75221791,9.732202805,6.830691985,7.028816171,6.217229813,6.397017184,8.780921294,7.028816171,8.636332409,6.557597102,6.165223759
GSM3895953,CN,8.417085657,7.779150947,9.409175573,9.269916551,9.208292249,8.629919398,6.127199057,8.351157804,8.355325679,6.911155998,6.532883177,6.256080019,6.257657887,8.584264925,7.545209852,9.193753167,6.355716255,6.20394313
GSM3895954,CN,7.496351372,7.196724522,8.988412933,8.853709023,9.768976091,8.941955948,6.201537421,8.663003642,7.985542324,7.430388868,6.315534042,6.521191806,6.229217088,8.655984202,7.001924528,9.320753679,6.358166715,6.358166715
GSM3895955,CN,7.469011404,7.276766797,8.685612294,7.651109156,10.06487696,9.077587002,6.206204934,8.845967472,7.562967894,7.621531156,6.402492921,7.057165765,6.31245227,8.858709295,7.108070443,9.206420154,6.336434401,6.365779526
GSM3895956,CN,8.577170869,7.247435461,9.386145723,8.435219454,8.890671931,9.438789092,6.262083911,8.16374822,8.214285238,6.98046538,6.493770401,6.240432897,6.27521731,8.767142334,7.405425663,9.193203038,6.375937693,6.250593631
GSM3895957,CN,8.10734749,7.908714534,9.089570727,8.334129714,9.869513521,8.899238129,6.309452949,8.709810643,7.835986775,7.324970053,6.398800675,6.692585463,6.343952655,8.601084961,7.151598688,9.182832004,6.410497179,6.24880626
GSM3895958,CN,7.788134318,7.047588042,9.236214111,8.418406057,9.689078105,8.889019594,6.211098697,8.887273221,8.055166472,7.346909403,6.528102059,6.363999016,6.309372452,8.494441336,7.062124072,9.549169784,6.560089236,6.289233776
GSM3895959,CN,7.573700204,7.518923411,8.793749384,8.078476944,9.619369546,8.735622721,6.270546754,8.740937973,7.867935504,7.487904657,6.393135988,6.959543726,6.284939349,8.673971496,7.19298934,9.326273104,6.403633095,6.351492377
GSM3895960,CN,7.418805487,7.671808744,8.813856273,7.727445004,9.86093696,8.93968727,6.195556814,8.566898628,7.582369616,7.684522638,6.433866618,6.922228726,6.340122217,9.04109451,7.007244199,9.223315929,6.31732011,6.274376112
GSM3895961,CN,7.65147521,7.15982006,8.959385323,8.149990677,10.01575414,9.368629262,6.191855719,8.809440959,8.039450504,7.316750335,6.426466129,6.758981877,6.223613613,8.602581749,7.036319728,9.246333776,6.449986152,6.287342909
GSM3895962,CN,8.455475247,7.240757388,9.618336983,8.683595329,9.458294874,9.107554056,6.264020293,8.426055001,8.880503449,7.072621314,6.378452672,6.394263594,6.254027837,8.584264925,7.15329129,8.843188545,6.450265146,6.34193593
GSM3895963,CN,8.717906537,7.221823726,9.679101405,8.991328785,9.079212051,9.032806453,6.229155253,7.71305911,9.123069665,6.782080908,6.410824509,6.328149211,6.194651727,8.916806601,7.044089989,8.405961044,6.668029519,6.291871818
GSM3895964,CN,8.450603431,6.989197638,9.790107241,8.816422893,8.359600406,9.199950117,6.225621632,7.781297754,9.125975561,6.450449136,6.4330366,6.310380894,6.216802436,8.75088487,6.957134566,9.819304174,6.644640168,6.291877273
GSM3895965,CN,7.889819199,6.931034749,9.307714822,8.121398934,8.855462719,9.682883143,6.189027209,8.40865723,8.490391323,6.988880847,6.389118859,6.357525201,6.20928596,8.552433372,7.064577262,9.284772203,6.460022858,6.347501531
GSM3895966,CN,8.347220651,7.026786137,9.235414954,8.681130995,9.118290608,9.494393528,6.161808776,8.16235357,8.466116361,6.980061522,6.398749549,6.364290215,6.185305944,8.982538748,7.223504723,8.763960914,6.47042485,6.411329644
GSM3895967,CN,7.801614905,6.915080251,9.5385112,8.445786662,8.718642812,9.515246319,6.173325328,8.199445739,8.636906224,6.615707916,6.415445032,6.367431195,6.177100907,8.791529665,7.38654849,9.445300288,6.64223752,6.337412348
GSM3895968,CN,7.848741814,6.814060361,9.048800061,8.137531127,8.760477754,9.348169538,6.2212047,8.270647599,8.333971202,6.760224976,6.416126247,6.345857192,6.214655875,8.783150036,7.617622286,9.208292249,6.481028919,6.363209222
GSM3895969,CN,8.155950779,7.234773555,9.331226904,8.521801969,9.094151335,9.107554056,6.123230129,8.218663605,8.287098368,7.029383319,6.422517066,6.547000259,6.258417896,8.923393304,7.040844365,8.626312147,6.447359103,6.445511509
GSM3895970,CN,7.164605886,6.746669465,8.136272824,7.348113972,9.791488303,9.106478551,6.252108893,8.613595817,7.641585693,7.215630839,6.26533232,6.710798133,6.252108893,8.5935714,6.57272893,8.706455666,6.237671302,6.641269014
GSM3895971,CN,7.113371487,6.723510782,8.799155694,7.937561868,9.228508501,9.238340954,6.240705629,8.56024229,8.462309457,7.366337741,6.469024727,6.386063104,6.169468286,8.921080343,6.865832023,8.552964448,6.404713669,6.711672345
