"sample_id","group","RHBDF2","SLC38A11","PDGFRB","PTH1R","DGKB","GPC5","RNF152","GRM8","SLC6A12","INPP4B","CPM","CNTN4","GJC1","PDE7B","PLCE1","GRM3","COL4A3","CACNA1C"
"GSM3895951","CN",7.209836797,7.41529004,9.253223148,7.8571209115,7.447011514,8.737529954,6.20464403,7.27457409,8.464190823,6.798282524,6.30257536325,6.210492253,9.945441129,8.749320978,7.038897904,10.4836245105,6.202852822,6.757417808
"GSM3895952","CN",8.1577477605,6.836845841,10.175712,8.9522564685,6.91879691133333,9.144360167,6.31205302,6.9180379815,9.732202805,6.830691985,6.4524109175,6.1561899475,9.953094877,8.780921294,7.028816171,9.8834864945,6.362473314,6.52095835166667
"GSM3895953","CN",7.34153667025,7.779150947,9.409175573,7.86723892,7.339201089,8.629919398,6.127199057,7.2497072725,8.355325679,6.911155998,6.29736500825,6.203181601,9.9524200835,8.584264925,7.545209852,10.3448242035,6.3099401,6.7218371525
"GSM3895954","CN",6.83047435575,7.196724522,8.988412933,7.659201821,7.57378721566667,8.941955948,6.201537421,7.4007809195,7.985542324,7.430388868,6.25642877625,6.3232642595,9.914249434,8.655984202,7.001924528,10.4231740195,6.284430032,6.758551735
"GSM3895955","CN",6.80527156375,7.276766797,8.685612294,6.9457321415,7.77050762733333,9.077587002,6.206204934,7.4957922945,7.562967894,7.621531156,6.209377333,6.6362923645,9.938166165,8.858709295,7.108070443,10.296330852,6.2063140105,6.700070448
"GSM3895956","CN",7.30692788475,7.247435461,9.386145723,7.4166913275,7.181407372,9.438789092,6.262083911,7.1606234125,8.214285238,6.98046538,6.30691655075,6.201799885,9.97332624,8.767142334,7.405425663,10.303194944,6.26766951,6.72849793133333
"GSM3895957","CN",7.12398065725,7.908714534,9.089570727,7.364695166,7.5963497,8.899238129,6.309452949,7.4502911895,7.835986775,7.324970053,6.24699762575,6.4027657105,9.8912443025,8.601084961,7.151598688,10.325029572,6.2925926535,6.71507125866667
"GSM3895958","CN",6.98567651875,7.047588042,9.236214111,7.405486899,7.50975659766667,8.889019594,6.211098697,7.504998142,8.055166472,7.346909403,6.29569597675,6.2433610395,9.960666606,8.494441336,7.062124072,10.637600032,6.444509321,6.70897399483333
"GSM3895959","CN",6.85588622025,7.518923411,8.793749384,7.238942829,7.54958651533333,8.735622721,6.270546754,7.4272997255,7.867935504,7.487904657,6.2397961885,6.6070366705,9.8206472145,8.673971496,7.19298934,10.409946667,6.2718710875,6.68165068533333
"GSM3895960","CN",6.7852362485,7.671808744,8.813856273,7.029466978,7.66329020333333,8.93968727,6.195556814,7.343583767,7.582369616,7.684522638,6.249225547,6.5555996805,9.7502503385,9.04109451,7.007244199,10.2098895945,6.297038574,6.71612430016667
