sample_id,title,source,region,group,RHBDF2,SLC38A11,PDGFRB,PTH1R,DGKB,GPC5,RNF152,GRM8,SLC6A12,INPP4B,CPM,CNTN4,GJC1,PDE7B,PLCE1,GRM3,COL4A3,CACNA1C
GSM907825,"AD_TC, biological rep1",Temporal cortex of AD brain,TC,AD,7.49865,8.38643,9.03117,8.24766,10.9602,10.0448,8.19475,7.71221,8.48393,8.91493,8.56678,8.29009,8.01039,9.55369,10.3095,9.34052,6.93123,9.10499
GSM907826,"AD_TC, biological rep2",Temporal cortex of AD brain,TC,AD,7.55072,8.24428,8.54427,8.24607,11.0347,9.80799,8.58532,8.21955,8.21587,9.06886,8.5331,8.83809,8.19588,9.15977,9.10801,9.80112,6.81408,9.08848
GSM907827,"AD_TC, biological rep3",Temporal cortex of AD brain,TC,AD,7.56679,8.21077,9.45728,8.77149,11.0454,10.3236,8.0262,8.19227,9.01501,8.85788,8.88923,8.22632,8.29061,9.43604,9.61924,9.47262,6.86343,9.188805
GSM907828,"AD_TC, biological rep4",Temporal cortex of AD brain,TC,AD,7.29397,8.22946,8.6813,8.43925,11.0241,9.86061,8.50538,7.89719,8.06402,8.93537,8.397,8.56392,8.05146,8.98403,9.6325,9.44471,6.94235,9.211950000000002
GSM907829,"AD_TC, biological rep5",Temporal cortex of AD brain,TC,AD,8.02349,8.46891,9.15149,8.60722,10.8143,9.36736,8.69572,7.75698,8.30887,8.69978,8.27986,8.26474,8.10682,9.19844,9.55468,9.28263,7.09243,9.21053
GSM907830,"AD_TC, biological rep6",Temporal cortex of AD brain,TC,AD,7.32748,8.25329,9.03177,8.23143,10.7999,9.86933,8.01879,8.00397,8.39787,8.82467,8.26759,8.5891,8.14843,9.1775,9.08292,9.83539,6.80639,9.021205
GSM907831,"AD_TC, biological rep7",Temporal cortex of AD brain,TC,AD,7.92863,7.81467,9.08507,8.26643,10.6355,9.2901,8.63698,8.06726,8.40192,9.00185,8.75994,8.30937,8.06727,9.37458,9.49991,9.26047,6.89006,9.04371
GSM907832,"AD_TC, biological rep8",Temporal cortex of AD brain,TC,AD,7.63656,8.3478,8.71036,8.20175,11.1027,9.6693,8.09034,7.80869,7.96268,9.01814,9.13755,9.12329,7.87318,9.31947,9.80398,9.52492,6.90079,9.334245
GSM907833,"AD_TC, biological rep9",Temporal cortex of AD brain,TC,AD,7.36539,8.18468,8.40316,8.197,11.0612,9.68428,8.36796,7.96905,8.11336,8.98915,8.17351,8.78623,7.91316,9.37609,9.55911,9.6301,6.9865,9.146439999999998
GSM907834,"AD_TC, biological rep10",Temporal cortex of AD brain,TC,AD,7.5647,8.47698,9.81434,8.15548,10.5455,9.39832,8.33831,7.91348,8.46631,8.84084,8.3472,8.43611,8.02841,9.41442,9.6447,9.33469,6.97104,9.04964
GSM907835,"non-AD_TC, biological rep1",Temporal cortex of non-AD brain,TC,CN,7.39864,7.79485,8.6314,8.28896,11.0992,9.70907,8.17126,8.05069,8.35494,9.00178,7.8394,8.75005,7.86889,9.01965,9.37761,9.74604,6.80743,9.414225
GSM907836,"non-AD_TC, biological rep2",Temporal cortex of non-AD brain,TC,CN,7.76088,7.32872,8.57856,8.2704,11.3034,9.67908,8.16011,8.24937,8.09716,9.03586,8.40206,8.93895,8.03874,9.1114,8.94072,9.70097,6.74018,9.28368
GSM907837,"non-AD_TC, biological rep3",Temporal cortex of non-AD brain,TC,CN,6.99823,7.62181,8.65012,8.17369,11.287,9.67496,8.18854,8.11802,8.35805,9.06104,8.26802,8.92484,8.19327,8.78481,8.8916,9.89302,6.71946,9.20667
GSM907838,"non-AD_TC, biological rep4",Temporal cortex of non-AD brain,TC,CN,6.87801,7.54164,8.27659,8.12476,11.4635,9.86217,8.18507,8.14766,7.97881,9.35742,8.12449,8.88837,7.85866,9.07072,8.86675,10.0823,6.58963,9.15987
GSM907839,"non-AD_TC, biological rep5",Temporal cortex of non-AD brain,TC,CN,6.79169,7.5761,8.88261,8.32243,11.1042,9.8868,8.04661,8.26321,8.43558,8.98536,8.01171,8.72384,7.77829,9.34127,8.98786,10.2587,6.84064,9.173025
GSM907840,"non-AD_TC, biological rep6",Temporal cortex of non-AD brain,TC,CN,6.55621,8.02495,8.65471,8.01511,11.3088,10.0506,8.39491,8.30834,8.38367,9.20615,8.24297,9.03658,7.80302,9.41993,9.07678,10.1292,6.90116,9.193085
GSM907841,"non-AD_TC, biological rep7",Temporal cortex of non-AD brain,TC,CN,7.85653,7.94443,8.79236,8.3537,10.874,10.4519,8.37628,7.85145,8.09296,8.63983,9.46905,8.11478,8.27311,9.06855,9.22379,10.3884,6.91504,9.293905
GSM907842,"non-AD_TC, biological rep8",Temporal cortex of non-AD brain,TC,CN,7.14438,8.09958,9.0316,8.20575,11.1458,9.88798,8.07513,8.12832,8.4928,9.02448,8.17937,8.89098,8.05028,9.45893,9.12147,9.81316,7.05017,9.209165
GSM907843,"non-AD_TC, biological rep9",Temporal cortex of non-AD brain,TC,CN,7.71012,8.1317,8.78345,8.36336,11.2325,9.8006,8.37168,7.95418,8.55862,8.98491,7.89078,8.90227,7.9679,9.43377,8.78467,9.66174,7.00825,9.491775
GSM907844,"non-AD_TC, biological rep10",Temporal cortex of non-AD brain,TC,CN,7.8676,8.42466,8.85147,8.38016,11.017,9.32653,8.02723,8.11402,8.71537,8.94673,8.41665,8.4894,8.05748,9.43595,9.13989,9.60748,6.94235,9.360125
GSM907845,"non-AD_TC, biological rep11",Temporal cortex of non-AD brain,TC,CN,7.81358,7.48033,9.25875,8.26241,10.6455,9.68378,8.30991,7.7545,8.55058,8.85599,8.55406,8.45352,7.67813,9.67927,9.48566,9.66145,7.13598,9.14391
GSM907846,"non-AD_TC, biological rep12",Temporal cortex of non-AD brain,TC,CN,7.45453,9.52564,9.0068,8.07658,10.1448,8.37149,8.63433,7.58596,8.27425,9.27132,8.08484,8.92253,8.63407,9.37184,9.07029,9.57603,6.99311,9.47542
GSM907847,"non-AD_TC, biological rep13",Temporal cortex of non-AD brain,TC,CN,7.18075,9.25988,9.08909,8.32832,10.9277,8.96569,8.64994,8.09381,9.05004,9.03246,8.06033,8.7981,8.00395,9.24537,9.2394,9.68409,7.10898,9.453795
GSM907848,"non-AD_TC, biological rep14",Temporal cortex of non-AD brain,TC,CN,7.47842,8.204,8.86147,8.12562,10.9931,9.98398,8.39332,7.78287,8.31729,8.82222,8.21317,8.75533,7.75484,8.89057,9.62186,9.45026,7.18419,9.26475
GSM907849,"non-AD_TC, biological rep15",Temporal cortex of non-AD brain,TC,CN,7.42981,8.51607,8.81333,8.41774,10.9304,9.58714,7.98959,7.87731,8.68671,8.90831,8.1351,8.79663,8.32296,9.14072,8.87661,9.50901,7.04293,9.31034
