sample_id,title,source,region,group
GSM907825,"AD_TC, biological rep1",Temporal cortex of AD brain,TC,AD
GSM907826,"AD_TC, biological rep2",Temporal cortex of AD brain,TC,AD
GSM907827,"AD_TC, biological rep3",Temporal cortex of AD brain,TC,AD
GSM907828,"AD_TC, biological rep4",Temporal cortex of AD brain,TC,AD
GSM907829,"AD_TC, biological rep5",Temporal cortex of AD brain,TC,AD
GSM907830,"AD_TC, biological rep6",Temporal cortex of AD brain,TC,AD
GSM907831,"AD_TC, biological rep7",Temporal cortex of AD brain,TC,AD
GSM907832,"AD_TC, biological rep8",Temporal cortex of AD brain,TC,AD
GSM907833,"AD_TC, biological rep9",Temporal cortex of AD brain,TC,AD
GSM907834,"AD_TC, biological rep10",Temporal cortex of AD brain,TC,AD
GSM907835,"non-AD_TC, biological rep1",Temporal cortex of non-AD brain,TC,CN
GSM907836,"non-AD_TC, biological rep2",Temporal cortex of non-AD brain,TC,CN
GSM907837,"non-AD_TC, biological rep3",Temporal cortex of non-AD brain,TC,CN
GSM907838,"non-AD_TC, biological rep4",Temporal cortex of non-AD brain,TC,CN
GSM907839,"non-AD_TC, biological rep5",Temporal cortex of non-AD brain,TC,CN
GSM907840,"non-AD_TC, biological rep6",Temporal cortex of non-AD brain,TC,CN
GSM907841,"non-AD_TC, biological rep7",Temporal cortex of non-AD brain,TC,CN
GSM907842,"non-AD_TC, biological rep8",Temporal cortex of non-AD brain,TC,CN
GSM907843,"non-AD_TC, biological rep9",Temporal cortex of non-AD brain,TC,CN
GSM907844,"non-AD_TC, biological rep10",Temporal cortex of non-AD brain,TC,CN
GSM907845,"non-AD_TC, biological rep11",Temporal cortex of non-AD brain,TC,CN
GSM907846,"non-AD_TC, biological rep12",Temporal cortex of non-AD brain,TC,CN
GSM907847,"non-AD_TC, biological rep13",Temporal cortex of non-AD brain,TC,CN
GSM907848,"non-AD_TC, biological rep14",Temporal cortex of non-AD brain,TC,CN
GSM907849,"non-AD_TC, biological rep15",Temporal cortex of non-AD brain,TC,CN
GSM907850,"non-AD_TC, biological rep16",Temporal cortex of non-AD brain,TC,CN
GSM907851,"non-AD_TC, biological rep17",Temporal cortex of non-AD brain,TC,CN
GSM907852,"non-AD_TC, biological rep18",Temporal cortex of non-AD brain,TC,CN
GSM907853,"non-AD_TC, biological rep19",Temporal cortex of non-AD brain,TC,CN
