model,selector,region,n_AD,n_CN,auc,ci_low,ci_high
Logistic_L2,all,TC,10,19,0.7815789473684212,0.5947368421052632,0.9421052631578948
Logistic_L2,top3,TC,10,19,0.8789473684210527,,
Logistic_L2,top5,TC,10,19,0.8789473684210527,,
Logistic_L2,top8,TC,10,19,0.8631578947368421,,
Logistic_L2,top12,TC,10,19,0.8315789473684211,,
Logistic_L2,top16,TC,10,19,0.786842105263158,,
Logistic_L1,all,TC,10,19,0.7842105263157895,,
Logistic_L1,top3,TC,10,19,0.8736842105263158,,
Logistic_L1,top5,TC,10,19,0.8736842105263158,,
Logistic_L1,top8,TC,10,19,0.8605263157894738,,
Logistic_L1,top12,TC,10,19,0.8157894736842106,,
Logistic_L1,top16,TC,10,19,0.7842105263157895,,
ElasticNet_logistic,all,TC,10,19,0.8,,
ElasticNet_logistic,top3,TC,10,19,0.8736842105263158,,
ElasticNet_logistic,top5,TC,10,19,0.8736842105263158,,
ElasticNet_logistic,top8,TC,10,19,0.8657894736842106,,
ElasticNet_logistic,top12,TC,10,19,0.8263157894736843,,
ElasticNet_logistic,top16,TC,10,19,0.8,,
Linear_SVM,all,TC,10,19,0.5,,
Linear_SVM,top3,TC,10,19,0.8736842105263158,,
Linear_SVM,top5,TC,10,19,0.868421052631579,,
Linear_SVM,top8,TC,10,19,0.5,,
Linear_SVM,top12,TC,10,19,0.7921052631578948,,
Linear_SVM,top16,TC,10,19,0.7105263157894737,,
RBF_SVM,all,TC,10,19,0.5,,
RBF_SVM,top3,TC,10,19,0.1842105263157895,,
RBF_SVM,top5,TC,10,19,0.14210526315789473,,
RBF_SVM,top8,TC,10,19,0.5,,
RBF_SVM,top12,TC,10,19,0.5,,
RBF_SVM,top16,TC,10,19,0.5,,
RandomForest,all,TC,10,19,0.5868421052631579,,
RandomForest,top3,TC,10,19,0.3973684210526316,,
RandomForest,top5,TC,10,19,0.5684210526315789,,
RandomForest,top8,TC,10,19,0.6236842105263157,,
RandomForest,top12,TC,10,19,0.8526315789473684,,
RandomForest,top16,TC,10,19,0.6973684210526316,,
ExtraTrees,all,TC,10,19,0.6578947368421053,,
ExtraTrees,top3,TC,10,19,0.41842105263157897,,
ExtraTrees,top5,TC,10,19,0.65,,
ExtraTrees,top8,TC,10,19,0.7052631578947368,,
ExtraTrees,top12,TC,10,19,0.6263157894736843,,
ExtraTrees,top16,TC,10,19,0.5578947368421053,,
GradientBoosting,all,TC,10,19,0.6684210526315789,,
GradientBoosting,top3,TC,10,19,0.4263157894736842,,
GradientBoosting,top5,TC,10,19,0.4342105263157895,,
GradientBoosting,top8,TC,10,19,0.6078947368421053,,
GradientBoosting,top12,TC,10,19,0.5631578947368421,,
GradientBoosting,top16,TC,10,19,0.6842105263157895,,
DecisionTree,all,TC,10,19,0.4473684210526316,,
DecisionTree,top3,TC,10,19,0.4105263157894737,,
DecisionTree,top5,TC,10,19,0.33947368421052637,,
DecisionTree,top8,TC,10,19,0.5,,
DecisionTree,top12,TC,10,19,0.46842105263157896,,
DecisionTree,top16,TC,10,19,0.4473684210526316,,
KNN_3,all,TC,10,19,0.6605263157894737,,
KNN_3,top3,TC,10,19,0.5526315789473684,,
KNN_3,top5,TC,10,19,0.6342105263157896,,
KNN_3,top8,TC,10,19,0.6842105263157895,,
KNN_3,top12,TC,10,19,0.8236842105263158,,
KNN_3,top16,TC,10,19,0.6368421052631579,,
KNN_5,all,TC,10,19,0.768421052631579,,
KNN_5,top3,TC,10,19,0.6052631578947368,,
KNN_5,top5,TC,10,19,0.6710526315789475,,
KNN_5,top8,TC,10,19,0.818421052631579,,
KNN_5,top12,TC,10,19,0.6868421052631579,,
KNN_5,top16,TC,10,19,0.7947368421052632,,
GaussianNB,all,TC,10,19,0.5526315789473684,,
GaussianNB,top3,TC,10,19,0.8789473684210527,,
GaussianNB,top5,TC,10,19,0.8842105263157896,,
GaussianNB,top8,TC,10,19,0.5,,
GaussianNB,top12,TC,10,19,0.7921052631578948,,
GaussianNB,top16,TC,10,19,0.5526315789473684,,
