receiver_context,ligand_clean,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,target_families,source_cellstates,target_cellstates,receptor_examples,lr_pair_examples,receptor_supported_by_nichenet
Astrocytes,COL1A1,COL1A1,31,3.16870870219874,0.5934549142211687,Vascular,Astrocyte,Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44;DDR1;DDR2;ITGA2_ITGB1;ITGA3_ITGB1,COL1A1 - CD44;COL1A1 - DDR1;COL1A1 - DDR2;COL1A1 - ITGA2/ITGB1;COL1A1 - ITGA3/ITGB1,TRUE
Astrocytes,HBEGF,HBEGF,20,2.98143160665996,0.5381220369085655,Vascular,Astrocyte,CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44;CD82;EGFR_ERBB2;ERBB2_ERBB4,HBEGF - CD44;HBEGF - CD82;HBEGF - EGFR/ERBB2;HBEGF - ERBB2/ERBB4,TRUE
Astrocytes,COL9A2,COL9A2,11,2.36970859726346,0.5855045530398829,Astrocyte;Microglia,Astrocyte,Astro_Intermediate;Astro_Reactive;Micro_DAM,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44;ITGAV_ITGB8,COL9A2 - CD44;COL9A2 - ITGAV/ITGB8,FALSE
Astrocytes,BMP1,BMP1,20,2.12708283628126,0.7189243350701339,Astrocyte;Vascular,Astrocyte,Astro_Intermediate;Astro_Reactive;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,BMPR1A;BMPR1B;BMPR2,BMP1 - BMPR1A;BMP1 - BMPR1B;BMP1 - BMPR2,TRUE
Astrocytes,CXCL10,CXCL10,3,1.80982160479678,1.6375464029360067,Vascular,Astrocyte,CapEC_ActHigh,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,SDC4,CXCL10 - SDC4,TRUE
Astrocytes,APOE,APOE,80,1.77605198915058,0.3403682554936154,Astrocyte;Microglia;Vascular,Astrocyte,Astro_Intermediate;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,ABCA1;LDLR;LRP1;LRP4;LRP5,APOE - ABCA1;APOE - LDLR;APOE - LRP1;APOE - LRP4;APOE - LRP5,TRUE
Astrocytes,BMP7,BMP7,27,1.7350597097520697,0.6505510664337963,Astrocyte,Astrocyte,Astro_Intermediate;Astro_Reactive,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,ACTR2;ACVR1_ACVR2A;ACVR1_ACVR2B;ACVR1_BMPR2;ACVR2A_BMPR1A,BMP7 - ACTR2;BMP7 - ACVR1/ACVR2A;BMP7 - ACVR1/ACVR2B;BMP7 - ACVR1/BMPR2;BMP7 - ACVR2A/BMPR1A,TRUE
Astrocytes,TGFB2,TGFB2,11,1.6948461661941805,0.634258764876947,Astrocyte;Vascular,Astrocyte,Astro_Intermediate;CapEC_ActHigh;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,TGFBR3,TGFB2 - TGFBR3,TRUE
Astrocytes,NTF3,NTF3,6,1.68149334579731,1.48442925831411,Vascular,Astrocyte,Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,NTRK2;NTRK3,NTF3 - NTRK2;NTF3 - NTRK3,TRUE
Astrocytes,FGF2,FGF2,75,1.6406512318869502,0.4998038273744381,Astrocyte;Vascular,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44;FGFR1;FGFR2;FGFR3;FGFRL1,FGF2 - CD44;FGF2 - FGFR1;FGF2 - FGFR2;FGF2 - FGFR3;FGF2 - FGFRL1,TRUE
