receiver_context,target_clean,max_regulatory_potential,sum_regulatory_potential,n_supporting_top_ligands,best_ligand,supporting_ligands_top5,logFC,PValue,FDR,direction,neglog10P,upstream_evidence_score,upstream_priority_tier,upstream_sources,celloracle_rank_in_lineage,celloracle_perturbation_score,celloracle_log2FC_AD_vs_CN,abs_logFC,display_class
Astrocytes,NFKB1,0.2804316984569951,0.664500442447208,20,IL1B,IL1B:0.2804;IL6:0.074;FGF2:0.0701;FGF1:0.0651;S100A4:0.018,0.217881225586701,0.00771007478566917,0.330642671451494,AD-enriched_nominal,2.11294140938796,NA,NA,NA,NA,NA,NA,0.217881225586701,NicheNet target
Astrocytes,NAMPT,0.24377629787615118,0.8004553233528726,20,IL1B,IL1B:0.2438;IL6:0.1487;PDGFB:0.0705;CSF1:0.0694;BMP2:0.0582,0.935919200015355,0.0207693436154748,0.446819406989067,AD-enriched_nominal,1.68257722848569,2.188140973349374,Tier 2 multi-evidence,day2_subtype_DEGs_Astrocytes;day2_subtype_DEGs_Endothelial;day2_subtype_DEGs_Microglia;day3_Day3_1_CapEC_ActHigh_vs_ActLow_LIANA;day3_Day3_1_CapEC_State_LIANA_all;day3_Day3_1_CapEC_State_LIANA_TargetFocus;day3_Day3_1_LIANA_raw_NC;day3_Day3_1_LIANA_raw_UC;day3_Day3_1_State_LIANA_Endo_to_NVU_NC;day3_Day3_1_State_LIANA_Endo_to_NVU_UC;day3_Day3_1_State_LIANA_raw_NC;day3_Day3_1_State_LIANA_raw_UC;day3_Day3_1_subtype_positive_markers_all,13,0.2092451001125907,-0.1134377795442996,0.935919200015355,NicheNet + upstream + CellOracle
Astrocytes,STAT3,0.24374117689007693,0.6153635852695839,20,IL6,IL6:0.2437;EGF:0.1025;TGFB1:0.0703;IL1B:0.0186;S100A4:0.0172,0.341458686314213,0.0123517479022766,0.38259660752822,AD-enriched_nominal,1.90827158081723,NA,NA,NA,NA,NA,NA,0.341458686314213,NicheNet target
Astrocytes,COLEC12,0.144404281615489,0.5555443054338463,20,CSF1,CSF1:0.1444;BMP2:0.1125;TGFB1:0.0877;FGF2:0.0821;IL1B:0.0479,0.545958439312536,0.0281255029266765,0.477256488945378,AD-enriched_nominal,1.55089970296671,2.375961992367261,Tier 2 multi-evidence,day2_subtype_DEGs_Astrocytes;day2_subtype_DEGs_Endothelial;day3_Day3_1_CapEC_ActHigh_Specific_LR_pairs;day3_Day3_1_CapEC_ActHigh_vs_ActLow_LIANA;day3_Day3_1_CapEC_State_LIANA_all;day3_Day3_1_CapEC_State_LIANA_TargetFocus;day3_Day3_1_LIANA_raw_NC;day3_Day3_1_LIANA_raw_UC;day3_Day3_1_State_LIANA_Endo_to_NVU_NC;day3_Day3_1_State_LIANA_Endo_to_NVU_UC;day3_Day3_1_State_LIANA_raw_NC;day3_Day3_1_State_LIANA_raw_UC;day3_Day3_1_subtype_positive_markers_all,10,0.2817169235848505,-0.0027609124227629,0.545958439312536,NicheNet + upstream + CellOracle
Cerebrovascular cells,JUNB,0.28875001514910187,1.9720720237447573,20,TGFB1,TGFB1:0.2888;EGF:0.2753;VEGFA:0.235;IL6:0.2036;IL1B:0.1857,0.598591275538839,0.0369158852380014,0.908262525040509,AD-enriched_nominal,1.43278671279293,NA,NA,NA,NA,NA,NA,0.598591275538839,NicheNet target
Cerebrovascular cells,NAMPT,0.24377629787615118,0.7016027672311759,20,IL1B,IL1B:0.2438;IL6:0.1487;PDGFB:0.0705;CSF1:0.0694;TGFB1:0.0564,0.61907896969327,0.0113745565149654,0.908262525040509,AD-enriched_nominal,1.94406552714189,2.188140973349374,Tier 2 multi-evidence,day2_subtype_DEGs_Astrocytes;day2_subtype_DEGs_Endothelial;day2_subtype_DEGs_Microglia;day3_Day3_1_CapEC_ActHigh_vs_ActLow_LIANA;day3_Day3_1_CapEC_State_LIANA_all;day3_Day3_1_CapEC_State_LIANA_TargetFocus;day3_Day3_1_LIANA_raw_NC;day3_Day3_1_LIANA_raw_UC;day3_Day3_1_State_LIANA_Endo_to_NVU_NC;day3_Day3_1_State_LIANA_Endo_to_NVU_UC;day3_Day3_1_State_LIANA_raw_NC;day3_Day3_1_State_LIANA_raw_UC;day3_Day3_1_subtype_positive_markers_all,3,0.381993393738022,0.4265271811762453,0.61907896969327,NicheNet + upstream + CellOracle
Microglia,CDKN1A,0.21290306745100995,0.6971390827313996,20,FGF2,FGF2:0.2129;CSF1:0.0951;LGALS1:0.0766;SDC2:0.0274;PSEN1:0.0249,0.814535615009748,0.0138954330928644,0.458680812050686,AD-enriched_nominal,1.85712791258507,NA,NA,NA,NA,NA,NA,0.814535615009748,NicheNet target
Microglia,COLEC12,0.144404281615489,0.29158556033796734,20,CSF1,CSF1:0.1444;FGF2:0.0821;SDC2:0.0056;PSEN1:0.0047;SEMA3C:0.0045,0.89166426457444,0.0105710978199771,0.420603940398569,AD-enriched_nominal,1.97587990839736,2.375961992367261,Tier 2 multi-evidence,day2_subtype_DEGs_Astrocytes;day2_subtype_DEGs_Endothelial;day3_Day3_1_CapEC_ActHigh_Specific_LR_pairs;day3_Day3_1_CapEC_ActHigh_vs_ActLow_LIANA;day3_Day3_1_CapEC_State_LIANA_all;day3_Day3_1_CapEC_State_LIANA_TargetFocus;day3_Day3_1_LIANA_raw_NC;day3_Day3_1_LIANA_raw_UC;day3_Day3_1_State_LIANA_Endo_to_NVU_NC;day3_Day3_1_State_LIANA_Endo_to_NVU_UC;day3_Day3_1_State_LIANA_raw_NC;day3_Day3_1_State_LIANA_raw_UC;day3_Day3_1_subtype_positive_markers_all,6,0.2415036968494607,0.874271176558656,0.89166426457444,NicheNet + upstream + CellOracle
Microglia,FLT1,0.06923106554865473,0.16586415724314935,20,FGF2,FGF2:0.0692;CSF1:0.0088;SDC2:0.0077;PSEN1:0.0066;MFGE8:0.0058,0.829464934934819,0.0434180501612333,0.583687437307097,AD-enriched_nominal,1.36232968395002,4.631728439797167,Tier 1 LR/spatial axis,curated_BBB_Cerebrovascular;curated_BBB_Loss_Angiogenic;curated_HoloNet_Priority;day2_subtype_DEGs_Endothelial;day2_subtype_DEGs_Microglia;day3_Day3_1_CapEC_ActHigh_vs_ActLow_LIANA;day3_Day3_1_CapEC_State_LIANA_all;day3_Day3_1_CapEC_State_LIANA_TargetFocus;day3_Day3_1_LIANA_raw_NC;day3_Day3_1_LIANA_raw_UC;day3_Day3_1_State_LIANA_Endo_to_NVU_NC;day3_Day3_1_State_LIANA_Endo_to_NVU_UC;day3_Day3_1_State_LIANA_raw_NC;day3_Day3_1_State_LIANA_raw_UC;day3_Day3_1_subtype_positive_markers_all;day4_holonet_LR_priority,1,0.679185200366263,1.0972713990441847,0.829464934934819,NicheNet + upstream + CellOracle
Microglia,PTPRG,0.009164694864501437,0.10707787133823601,20,SEMA3C,SEMA3C:0.0092;FGF2:0.0077;PSEN1:0.0069;CSF1:0.0069;SDC2:0.0061,2.34449514242984,1.8326639692434102e-9,1.96150024628123e-5,AD-enriched_FDR,8.73691715843205,5.287802299233504,Tier 2 multi-evidence,day2_subtype_DEGs_Astrocytes;day2_subtype_DEGs_Endothelial;day2_subtype_DEGs_Microglia;day3_Day3_1_CapEC_ActHigh_vs_ActLow_LIANA;day3_Day3_1_CapEC_State_LIANA_all;day3_Day3_1_CapEC_State_LIANA_TargetFocus;day3_Day3_1_LIANA_raw_NC;day3_Day3_1_LIANA_raw_UC;day3_Day3_1_State_LIANA_Endo_to_NVU_NC;day3_Day3_1_State_LIANA_Endo_to_NVU_UC;day3_Day3_1_State_LIANA_raw_NC;day3_Day3_1_State_LIANA_raw_UC;day3_Day3_1_subtype_positive_markers_all,2,0.6072750615899755,2.0467288787636364,2.34449514242984,NicheNet + upstream + CellOracle
