receiver_context,ligand_clean,target_clean,regulatory_potential,pearson,auroc,aupr,ligand_label,target_label
Astrocytes,BMP2,ENAH,0.18796691864231801,0.060938831738733545,0.558939334192879,0.0684815900850215,BMP2,ENAH
Astrocytes,BMP2,NAV2,0.1919225007643403,0.060938831738733545,0.558939334192879,0.0684815900850215,BMP2,NAV2
Astrocytes,BMP2,NFKBIA,0.18831854908404688,0.060938831738733545,0.558939334192879,0.0684815900850215,BMP2,NFKBIA
Astrocytes,EGF,DUSP1,0.18853018587909898,0.058865639826136906,0.5496110904571647,0.06809470202268257,EGF,DUSP1
Astrocytes,EGF,FOS,0.20145117596098455,0.058865639826136906,0.5496110904571647,0.06809470202268257,EGF,FOS
Astrocytes,EGF,GEM,0.2258181247509402,0.058865639826136906,0.5496110904571647,0.06809470202268257,EGF,GEM
Astrocytes,EGF,MAFF,0.2249337326515675,0.058865639826136906,0.5496110904571647,0.06809470202268257,EGF,MAFF
Astrocytes,IL1B,NAMPT,0.24377629787615118,0.05764268537838161,0.5512696940293635,0.06741545775842314,IL1B,NAMPT
Astrocytes,IL1B,NFKB1,0.2804316984569951,0.05764268537838161,0.5512696940293635,0.06741545775842314,IL1B,NFKB1
Astrocytes,IL1B,NFKBIA,0.22194955230466848,0.05764268537838161,0.5512696940293635,0.06741545775842314,IL1B,NFKBIA
Astrocytes,IL1B,TNC,0.21313376864259143,0.05764268537838161,0.5512696940293635,0.06741545775842314,IL1B,TNC
Astrocytes,PDGFB,FOS,0.13433820510306294,0.05321990303687469,0.5454516588251029,0.06646168775302534,PDGFB,FOS
Astrocytes,PDGFB,GEM,0.1179088220468727,0.05321990303687469,0.5454516588251029,0.06646168775302534,PDGFB,GEM
Cerebrovascular cells,EGF,CCNL1,0.19052769888330712,0.07598122648864483,0.5654195601421579,0.051029413456756934,EGF,CCNL1
Cerebrovascular cells,EGF,GEM,0.2258181247509402,0.07598122648864483,0.5654195601421579,0.051029413456756934,EGF,GEM
Cerebrovascular cells,EGF,IER3,0.18679443563990927,0.07598122648864483,0.5654195601421579,0.051029413456756934,EGF,IER3
Cerebrovascular cells,EGF,JUNB,0.27527473298306354,0.07598122648864483,0.5654195601421579,0.051029413456756934,EGF,JUNB
Cerebrovascular cells,EGF,PHLDA1,0.1866411652632768,0.07598122648864483,0.5654195601421579,0.051029413456756934,EGF,PHLDA1
Cerebrovascular cells,EGF,PMAIP1,0.22780053795474572,0.07598122648864483,0.5654195601421579,0.051029413456756934,EGF,PMAIP1
Cerebrovascular cells,IL6,GBP2,0.14956476939155067,0.09813231479986205,0.5644009576350565,0.04834250438843226,IL6,GBP2
Cerebrovascular cells,IL6,IER3,0.1546460152344103,0.09813231479986205,0.5644009576350565,0.04834250438843226,IL6,IER3
Cerebrovascular cells,IL6,JUNB,0.2035918959748954,0.09813231479986205,0.5644009576350565,0.04834250438843226,IL6,JUNB
Cerebrovascular cells,IL6,NFIL3,0.15046491030729686,0.09813231479986205,0.5644009576350565,0.04834250438843226,IL6,NFIL3
Cerebrovascular cells,PDGFB,GEM,0.1179088220468727,0.0828667432810737,0.5703965858228363,0.04655512632466208,PDGFB,GEM
Cerebrovascular cells,PDGFB,IER3,0.11992811631628374,0.0828667432810737,0.5703965858228363,0.04655512632466208,PDGFB,IER3
Cerebrovascular cells,PDGFB,JUNB,0.13755511678795238,0.0828667432810737,0.5703965858228363,0.04655512632466208,PDGFB,JUNB
Cerebrovascular cells,PDGFB,PMAIP1,0.12006238079520187,0.0828667432810737,0.5703965858228363,0.04655512632466208,PDGFB,PMAIP1
Cerebrovascular cells,VEGFA,FOXC1,0.18649667501285572,0.08089401331995297,0.5786926199646065,0.04381155160753519,VEGFA,FOXC1
Cerebrovascular cells,VEGFA,JUNB,0.2349882079935276,0.08089401331995297,0.5786926199646065,0.04381155160753519,VEGFA,JUNB
Cerebrovascular cells,VEGFA,PLAT,0.1950577514713471,0.08089401331995297,0.5786926199646065,0.04381155160753519,VEGFA,PLAT
Microglia,CSF1,APOC1,0.14511782323214342,0.1074420267198428,0.6173867114786604,0.07736199707675204,CSF1,APOC1
Microglia,CSF1,CTSL,0.14510505027449613,0.1074420267198428,0.6173867114786604,0.07736199707675204,CSF1,CTSL
Microglia,CSF1,GPNMB,0.1484018717916914,0.1074420267198428,0.6173867114786604,0.07736199707675204,CSF1,GPNMB
Microglia,CSF1,NUPR1,0.145527503627189,0.1074420267198428,0.6173867114786604,0.07736199707675204,CSF1,NUPR1
Microglia,CSF1,PLXNA1,0.14816575608760982,0.1074420267198428,0.6173867114786604,0.07736199707675204,CSF1,PLXNA1
Microglia,CSF1,TGFBI,0.14609539625291137,0.1074420267198428,0.6173867114786604,0.07736199707675204,CSF1,TGFBI
Microglia,FGF2,CDCP1,0.1939950651115961,0.09038456911889788,0.6065418667041266,0.07053164330574356,FGF2,CDCP1
Microglia,FGF2,CDKN1A,0.21290306745100995,0.09038456911889788,0.6065418667041266,0.07053164330574356,FGF2,CDKN1A
Microglia,FGF2,DACT1,0.1918238946944913,0.09038456911889788,0.6065418667041266,0.07053164330574356,FGF2,DACT1
Microglia,FGF2,TNFRSF11B,0.20802481073058565,0.09038456911889788,0.6065418667041266,0.07053164330574356,FGF2,TNFRSF11B
Microglia,MFGE8,CDKN1A,0.01898922568395254,0.09115362974527694,0.6046487941016744,0.0655428702865564,MFGE8,CDKN1A
