ligand,target,weight,receiver_context,ligand_clean,target_clean,regulatory_potential
IL6,GBP2,0.14956476939155067,Cerebrovascular cells,IL6,GBP2,0.14956476939155067
IL6,IER3,0.1546460152344103,Cerebrovascular cells,IL6,IER3,0.1546460152344103
IL6,JUNB,0.2035918959748954,Cerebrovascular cells,IL6,JUNB,0.2035918959748954
IL6,NAMPT,0.14868792872964628,Cerebrovascular cells,IL6,NAMPT,0.14868792872964628
IL6,NFIL3,0.15046491030729686,Cerebrovascular cells,IL6,NFIL3,0.15046491030729686
IL6,ST6GAL1,0.14503972316763705,Cerebrovascular cells,IL6,ST6GAL1,0.14503972316763705
PDGFB,ETS2,0.13688048513024892,Cerebrovascular cells,PDGFB,ETS2,0.13688048513024892
PDGFB,GEM,0.1179088220468727,Cerebrovascular cells,PDGFB,GEM,0.1179088220468727
PDGFB,IER3,0.11992811631628374,Cerebrovascular cells,PDGFB,IER3,0.11992811631628374
PDGFB,JUNB,0.13755511678795238,Cerebrovascular cells,PDGFB,JUNB,0.13755511678795238
PDGFB,PMAIP1,0.12006238079520187,Cerebrovascular cells,PDGFB,PMAIP1,0.12006238079520187
VEGFA,FOXC1,0.18649667501285572,Cerebrovascular cells,VEGFA,FOXC1,0.18649667501285572
VEGFA,JUNB,0.2349882079935276,Cerebrovascular cells,VEGFA,JUNB,0.2349882079935276
VEGFA,PLAT,0.1950577514713471,Cerebrovascular cells,VEGFA,PLAT,0.1950577514713471
EGF,CCNL1,0.19052769888330712,Cerebrovascular cells,EGF,CCNL1,0.19052769888330712
EGF,GEM,0.2258181247509402,Cerebrovascular cells,EGF,GEM,0.2258181247509402
EGF,IER3,0.18679443563990927,Cerebrovascular cells,EGF,IER3,0.18679443563990927
EGF,JUNB,0.27527473298306354,Cerebrovascular cells,EGF,JUNB,0.27527473298306354
EGF,PHLDA1,0.1866411652632768,Cerebrovascular cells,EGF,PHLDA1,0.1866411652632768
EGF,PMAIP1,0.22780053795474572,Cerebrovascular cells,EGF,PMAIP1,0.22780053795474572
B2M,IER3,0.011351502531057843,Cerebrovascular cells,B2M,IER3,0.011351502531057843
B2M,TIMP1,0.06546291618648778,Cerebrovascular cells,B2M,TIMP1,0.06546291618648778
BMP2,ENAH,0.18796691864231801,Astrocytes,BMP2,ENAH,0.18796691864231801
BMP2,NAV2,0.1919225007643403,Astrocytes,BMP2,NAV2,0.1919225007643403
BMP2,NFKBIA,0.18831854908404688,Astrocytes,BMP2,NFKBIA,0.18831854908404688
BMP2,ZBTB1,0.187962404996038,Astrocytes,BMP2,ZBTB1,0.187962404996038
EGF,DUSP1,0.18853018587909898,Astrocytes,EGF,DUSP1,0.18853018587909898
EGF,FOS,0.20145117596098455,Astrocytes,EGF,FOS,0.20145117596098455
EGF,GEM,0.2258181247509402,Astrocytes,EGF,GEM,0.2258181247509402
EGF,IER5,0.18234494137129875,Astrocytes,EGF,IER5,0.18234494137129875
EGF,MAFF,0.2249337326515675,Astrocytes,EGF,MAFF,0.2249337326515675
EGF,PFKFB3,0.185763112500377,Astrocytes,EGF,PFKFB3,0.185763112500377
IL1B,NAMPT,0.24377629787615118,Astrocytes,IL1B,NAMPT,0.24377629787615118
IL1B,NFKB1,0.2804316984569951,Astrocytes,IL1B,NFKB1,0.2804316984569951
IL1B,NFKBIA,0.22194955230466848,Astrocytes,IL1B,NFKBIA,0.22194955230466848
IL1B,TNC,0.21313376864259143,Astrocytes,IL1B,TNC,0.21313376864259143
TGFB1,NA,NA,Astrocytes,TGFB1,NA,NA
PDGFB,ATF3,0.1360522517201517,Astrocytes,PDGFB,ATF3,0.1360522517201517
PDGFB,FOS,0.13433820510306294,Astrocytes,PDGFB,FOS,0.13433820510306294
PDGFB,GEM,0.1179088220468727,Astrocytes,PDGFB,GEM,0.1179088220468727
PDGFB,KLF2,0.17472634312826196,Astrocytes,PDGFB,KLF2,0.17472634312826196
PDGFB,PFKFB3,0.13452555273857988,Astrocytes,PDGFB,PFKFB3,0.13452555273857988
CSF1,APOC1,0.14511782323214342,Microglia,CSF1,APOC1,0.14511782323214342
CSF1,COLEC12,0.144404281615489,Microglia,CSF1,COLEC12,0.144404281615489
CSF1,CTSL,0.14510505027449613,Microglia,CSF1,CTSL,0.14510505027449613
CSF1,GPNMB,0.1484018717916914,Microglia,CSF1,GPNMB,0.1484018717916914
CSF1,NUPR1,0.145527503627189,Microglia,CSF1,NUPR1,0.145527503627189
CSF1,PLTP,0.14456229768001064,Microglia,CSF1,PLTP,0.14456229768001064
CSF1,PLXNA1,0.14816575608760982,Microglia,CSF1,PLXNA1,0.14816575608760982
CSF1,TGFBI,0.14609539625291137,Microglia,CSF1,TGFBI,0.14609539625291137
MFGE8,BAX,0.04264561800245063,Microglia,MFGE8,BAX,0.04264561800245063
MFGE8,BCL2,0.014829788062934487,Microglia,MFGE8,BCL2,0.014829788062934487
