receiver_context,gene,max_reg,sum_reg,n_nonzero,top_ligands
Astrocytes,JUNB,0.28875001514910187,1.966744748905998,20,TGFB1:0.2888;EGF:0.2753;BMP2:0.2478;IL6:0.2036;IL1B:0.1857
Astrocytes,NFKB1,0.2804316984569951,0.664500442447208,20,IL1B:0.2804;IL6:0.074;FGF2:0.0701;FGF1:0.0651;S100A4:0.018
Astrocytes,NAMPT,0.24377629787615118,0.8004553233528726,20,IL1B:0.2438;IL6:0.1487;PDGFB:0.0705;CSF1:0.0694;BMP2:0.0582
Astrocytes,STAT3,0.24374117689007693,0.6153635852695839,20,IL6:0.2437;EGF:0.1025;TGFB1:0.0703;IL1B:0.0186;S100A4:0.0172
Astrocytes,CDKN1A,0.21290306745100995,1.374292368584111,20,FGF2:0.2129;TGFB1:0.1662;EGF:0.1594;TGFB3:0.102;BMP2:0.0974
Astrocytes,TGM2,0.21262644377802373,0.7314073252875679,20,TGFB1:0.2126;EGF:0.1181;TGFB3:0.0764;CSF1:0.07;FGF1:0.0679
Astrocytes,PTGER4,0.18384979565952433,0.48195692792858325,20,IL1B:0.1838;TGFB1:0.1141;FGF1:0.0267;S100A4:0.015;IL6:0.0148
Astrocytes,SMAD3,0.18087470057844315,0.5511120911214286,20,TGFB1:0.1809;EGF:0.1022;CSF1:0.0678;S100A4:0.0189;BMP1:0.0181
Astrocytes,GPNMB,0.1484018717916914,0.4056795119076837,20,CSF1:0.1484;BMP2:0.1251;S100A4:0.0133;IL6:0.0103;IL1B:0.0096
Astrocytes,CD44,0.1457375112244462,0.7778224289481325,20,TGFB3:0.1457;TGFB1:0.1037;FGF2:0.1023;IL6:0.0872;IL1B:0.0735
Astrocytes,COLEC12,0.144404281615489,0.5555443054338463,20,CSF1:0.1444;BMP2:0.1125;TGFB1:0.0877;FGF2:0.0821;IL1B:0.0479
Astrocytes,FLT1,0.11992346541784704,0.4347601888790662,20,IL1B:0.1199;FGF2:0.0692;TGFB1:0.0682;BMP2:0.0581;S100A4:0.0122
Astrocytes,ITGB1,0.10108149444390402,0.2899930085354665,20,IL1B:0.1011;TGFB1:0.0434;S100A4:0.013;BMP2:0.0127;TGFB3:0.0116
Astrocytes,PTPRG,0.0689998463887976,0.21010295839505339,20,IL6:0.069;S100A4:0.0146;BMP2:0.01;IL1B:0.0094;TGFB1:0.0085
Astrocytes,ANXA2,0.06892608867249869,0.29067052928641035,20,IL1B:0.0689;FGF2:0.0673;S100A4:0.0128;BMP2:0.0124;IL6:0.0122
Astrocytes,ANGPT2,0.0688320415879494,0.24041062582189418,20,TGFB1:0.0688;FGF2:0.0433;S100A4:0.0131;IL6:0.0097;BMP2:0.0094
Astrocytes,TEK,0.026752015806881812,0.10125800348325781,20,TGFB1:0.0268;S100A4:0.0058;IL1B:0.0058;BMP2:0.0057;IL6:0.0054
Cerebrovascular cells,CDKN1A,0.2972701991470895,1.6244992901935644,20,IGF1:0.2973;FGF2:0.2129;TGFB1:0.1662;EGF:0.1594;TNFSF10:0.1194
Cerebrovascular cells,JUNB,0.28875001514910187,1.9720720237447573,20,TGFB1:0.2888;EGF:0.2753;VEGFA:0.235;IL6:0.2036;IL1B:0.1857
Cerebrovascular cells,NFKB1,0.2804316984569951,0.7686434619455041,20,IL1B:0.2804;HGF:0.1152;IL6:0.074;FGF2:0.0701;VEGFA:0.0686
