receiver_context,target_clean,max_regulatory_potential,sum_regulatory_potential,n_supporting_top_ligands,best_ligand,supporting_ligands_top5,logFC,PValue,FDR,direction,neglog10P,upstream_evidence_score,upstream_priority_tier,upstream_sources,celloracle_rank_in_lineage,celloracle_perturbation_score,celloracle_log2FC_AD_vs_CN,abs_logFC,display_class
Astrocytes,NFKB1,0.2804316984569951,0.664500442447208,20,IL1B,IL1B:0.2804;IL6:0.074;FGF2:0.0701;FGF1:0.0651;S100A4:0.018,0.217881225586701,0.00771007478566917,0.330642671451494,AD-enriched_nominal,2.11294140938796,NA,NA,NA,NA,NA,NA,0.217881225586701,NicheNet target
Astrocytes,NAMPT,0.24377629787615118,0.8004553233528726,20,IL1B,IL1B:0.2438;IL6:0.1487;PDGFB:0.0705;CSF1:0.0694;BMP2:0.0582,0.935919200015355,0.0207693436154748,0.446819406989067,AD-enriched_nominal,1.68257722848569,2.188140973349374,Tier 2 multi-evidence,day2_subtype_DEGs_Astrocytes;day2_subtype_DEGs_Endothelial;day2_subtype_DEGs_Microglia;day3_Day3_1_CapEC_ActHigh_vs_ActLow_LIANA;day3_Day3_1_CapEC_State_LIANA_all;day3_Day3_1_CapEC_State_LIANA_TargetFocus;day3_Day3_1_LIANA_raw_NC;day3_Day3_1_LIANA_raw_UC;day3_Day3_1_State_LIANA_Endo_to_NVU_NC;day3_Day3_1_State_LIANA_Endo_to_NVU_UC;day3_Day3_1_State_LIANA_raw_NC;day3_Day3_1_State_LIANA_raw_UC;day3_Day3_1_subtype_positive_markers_all,13,0.2092451001125907,-0.1134377795442996,0.935919200015355,NicheNet + upstream + CellOracle
Astrocytes,STAT3,0.24374117689007693,0.6153635852695839,20,IL6,IL6:0.2437;EGF:0.1025;TGFB1:0.0703;IL1B:0.0186;S100A4:0.0172,0.341458686314213,0.0123517479022766,0.38259660752822,AD-enriched_nominal,1.90827158081723,NA,NA,NA,NA,NA,NA,0.341458686314213,NicheNet target
Astrocytes,CHST11,0.23400407601503137,0.4530504041777949,20,TGFB1,TGFB1:0.234;FGF1:0.0659;IL1B:0.047;S100A4:0.01;IL6:0.0083,0.280912014863416,0.0231612063072883,0.457376637236792,AD-enriched_nominal,1.63523882495515,NA,NA,NA,NA,NA,NA,0.280912014863416,NicheNet target
Astrocytes,GEM,0.2258181247509402,1.1782086176994666,20,EGF,EGF:0.2258;FGF2:0.1939;BMP2:0.1864;TGFB1:0.1797;PDGFB:0.1179,0.813117901960231,7.3646741299822e-5,0.0666761155218928,AD-enriched_nominal,4.13284646493561,NA,NA,NA,NA,NA,NA,0.813117901960231,NicheNet target
Astrocytes,MAFF,0.2249337326515675,1.1039086857283475,20,EGF,EGF:0.2249;IL1B:0.1872;FGF2:0.1442;TGFB3:0.1275;PDGFB:0.0901,0.860652608585166,0.00179367376874803,0.197104099748301,AD-enriched_nominal,2.74625654307348,NA,NA,NA,NA,NA,NA,0.860652608585166,NicheNet target
Astrocytes,COL5A1,0.2230441386914901,0.35576752200781475,20,TGFB1,TGFB1:0.223;BMP2:0.0104;IL1B:0.0103;S100A4:0.0101;IL6:0.0095,0.698103030650569,0.00104147805816261,0.160195173924555,AD-enriched_nominal,2.98234987532668,NA,NA,NA,NA,NA,NA,0.698103030650569,NicheNet target
Astrocytes,NFKBIA,0.22194955230466848,0.812203842019471,20,IL1B,IL1B:0.2219;BMP2:0.1883;CSF1:0.083;TGFB1:0.0612;FN1:0.0424,0.418977744557708,8.7563711618343e-4,0.151180313662221,AD-enriched_nominal,3.05767583799947,NA,NA,NA,NA,NA,NA,0.418977744557708,NicheNet target
Astrocytes,ADAMTS6,0.21968163537539914,0.43937471862463334,20,TGFB1,TGFB1:0.2197;BMP2:0.0571;EGF:0.0548;IL6:0.0096;IL1B:0.0092,0.410665947795831,0.0381673554984306,0.511156592896466,AD-enriched_nominal,1.41830792997036,NA,NA,NA,NA,NA,NA,0.410665947795831,NicheNet target
Astrocytes,TNC,0.21819591006525163,1.0249683401130378,20,TGFB1,TGFB1:0.2182;IL1B:0.2131;BMP2:0.1277;TGFB3:0.1153;FGF2:0.0722,1.04412286661659,0.00229287317904205,0.212068289912575,AD-enriched_nominal,2.63961996583936,NA,NA,NA,NA,NA,NA,1.04412286661659,NicheNet target
