"celltype","gene","logFC","logCPM","F","PValue","FDR","n_cells","n_samples_AD","n_samples_CN","assay","direction","neglog10P"
"Oligodendrocytes","AC024475.4",-0.526173610935994,2.0441527231292,21.0320134648472,1.98496745124219e-05,0.123523047780728,145230,33,33,"decontX","CN-enriched_nominal",4.70224661024183
"Oligodendrocytes","TMEM179",-0.768108481196886,2.82590037810948,20.3181772960236,2.66853782617308e-05,0.123523047780728,145230,33,33,"decontX","CN-enriched_nominal",4.57372663674954
"Oligodendrocytes","AL139021.1",0.585083966596773,2.85806744351623,20.0348534610804,2.95253146194405e-05,0.123523047780728,145230,33,33,"decontX","AD-enriched_nominal",4.5298054658818
"Oligodendrocytes","METTL18",0.51866325623606,1.67081330876286,19.5192420355487,3.5981517143154e-05,0.123523047780728,145230,33,33,"decontX","AD-enriched_nominal",4.44392052878899
"Oligodendrocytes","DBI",0.490654611557175,5.08395863472923,19.1127664279466,4.38137257019753e-05,0.123523047780728,145230,33,33,"decontX","AD-enriched_nominal",4.35838981500234
"Oligodendrocytes","PSMB8",0.777496108824171,1.15629004082721,18.3815275551847,5.36064259940546e-05,0.123523047780728,145230,33,33,"decontX","AD-enriched_nominal",4.27078314675346
"Oligodendrocytes","RNASEH2C",0.424462944950075,4.45992806790116,18.4925557646886,5.63958605834265e-05,0.123523047780728,145230,33,33,"decontX","AD-enriched_nominal",4.24875277175691
"Oligodendrocytes","HES4",-1.05859763830436,2.3389349505678,16.5040682305454,0.000128879915342531,0.237690656511514,145230,33,33,"decontX","CN-enriched_nominal",3.88981475786416
"Oligodendrocytes","LINC00461",-0.352656231429198,6.898782507711,15.4585355681895,0.000202049094483467,0.237690656511514,145230,33,33,"decontX","CN-enriched_nominal",3.69454309157973
"Oligodendrocytes","ROM1",0.530851415205048,3.08892067298271,15.2664247894126,0.000216146188816227,0.237690656511514,145230,33,33,"decontX","AD-enriched_nominal",3.66525241773234
"Oligodendrocytes","CTSL",0.270851045795707,5.26473626293506,15.2308517450596,0.000222838730443816,0.237690656511514,145230,33,33,"decontX","AD-enriched_nominal",3.65200932446684
"Oligodendrocytes","DYNC1LI2",0.193574072347406,7.61432541245224,14.7478423543715,0.000274640527383321,0.237690656511514,145230,33,33,"decontX","AD-enriched_nominal",3.56123537561986
