"direction","celltype","overlap_genes","de_genes","marker_genes","universe_genes","odds_ratio","p_value","overlap_gene_symbols","fdr","neg_log10_fdr"
"Up in AD","Astrocytes",11,189,127,19484,10.2129690194789,4.47415942514401e-08,"ACACB;ACSS1;AHNAK;BCL6;EZR;GFAP;KCNN3;MT2A;SLC16A9;SLC25A18;SORBS1",3.13191159760081e-07,6.50419050498446
"Up in AD","Cerebrovascular cells",12,189,132,19484,10.8269631037896,6.19237883056881e-09,"AHNAK;BGN;CALD1;CFLAR;CLDN5;DUSP1;FOXC1;KLF2;LRRC32;MT2A;PDGFRB;SLC6A12",8.66933036279633e-08,7.06201444704212
"Up in AD","Excitatory",0,189,106,19484,0,1,"",1,0
"Up in AD","Inhibitory",0,189,124,19484,0,1,"",1,0
"Up in AD","Microglia",2,189,134,19484,1.55259348528849,0.373991549613227,"SFMBT2;TNS3",0.747983099226453,0.126108214963899
"Up in AD","Oligodendrocytes",7,189,135,19484,5.75794827426129,0.000352162299744891,"ANLN;BCAS1;FAM107B;LPAR1;MAP4K4;MOBP;SLCO3A1",0.00123256804910712,2.90918909433398
"Up in AD","OPCs",2,189,131,19484,1.58895370805086,0.363558814468288,"HIP1R;TNS3",0.747983099226453,0.126108214963899
"Down in AD","Astrocytes",1,308,127,19484,0.492490095549614,0.868698316711348,"GPM6A",1,0
"Down in AD","Cerebrovascular cells",0,308,132,19484,0,1,"",1,0
"Down in AD","Excitatory",12,308,106,19484,8.22714314510645,1.14955488987946e-07,"CRYM;DIRAS2;ENC1;NRGN;PDP1;RGS4;SPHKAP;STMN2;SYNPR;SYT4;TSPYL1;YWHAG",5.36458948610417e-07,6.27046350589578
"Down in AD","Inhibitory",5,308,124,19484,2.64233157255044,0.047165660193979,"GAD1;GAD2;RIMBP2;SPHKAP;SYNPR",0.132063848543141,0.879216050871158
"Down in AD","Microglia",0,308,134,19484,0,1,"",1,0
"Down in AD","Oligodendrocytes",1,308,135,19484,0.46289349190213,0.884512976643292,"DNM3",1,0
"Down in AD","OPCs",1,308,131,19484,0.47723670971244,0.87685844203486,"CHL1",1,0
