"UMAP_1","UMAP_2","subtype","group"
1.33308313224597,-2.99811871534482,"DAM","CN"
-3.51130737926679,-0.187395350991644,"Homeostatic","CN"
0.30263833139224,-4.89535387045041,"DAM","CN"
-0.0942396130772124,-5.71914346700803,"DAM","CN"
-1.60801746513562,3.4065384101282,"DAM","CN"
-2.82104625370221,-0.911334710179724,"Homeostatic","CN"
-0.815944870969821,-1.05755730157987,"Homeostatic","CN"
5.55508599612994,1.85987393373354,"DAM","CN"
-3.93755521442609,-2.30504305845395,"Homeostatic","CN"
0.872860768773984,-4.47312982565061,"DAM","CN"
3.67171368930621,5.17633096689089,"DAM","CN"
0.966525891759824,1.26557938569888,"DAM","CN"
-2.78835858967023,1.48320405000552,"Homeostatic","CN"
-3.36288942959027,-1.72201736456052,"Homeostatic","CN"
-0.617812296411563,-0.57554431444303,"Homeostatic","CN"
2.92036328647418,0.208431525171838,"DAM","CN"
-2.89051284458356,0.84753590637549,"Homeostatic","CN"
-2.72649993564801,4.03421489709719,"DAM","CN"
-3.58098139431195,-3.57743795400754,"Homeostatic","CN"
-3.51339687969403,-0.326306777058997,"Homeostatic","CN"
-2.94506063129621,-2.2454927731146,"Homeostatic","CN"
-4.28507818844037,-0.902637200414099,"Homeostatic","CN"
-0.140181889793445,-1.69965394025938,"DAM","CN"
-2.55317868854718,-4.58531959539548,"DAM","CN"
0.527607360818814,2.79429594987734,"DAM","CN"
0.455005833843182,-5.57185657507078,"DAM","CN"
-0.197911789676715,-3.31115730291501,"DAM","CN"
-3.85437717106061,-0.904815869389929,"Homeostatic","CN"
-1.68291821148114,1.02845267766818,"Homeostatic","CN"
0.263758281209897,-6.1416679192175,"DAM","CN"
-2.02497830059247,3.60064689630374,"DAM","CN"
-0.892708798906375,5.19382469171389,"DAM","CN"
-0.80218048956113,3.8014518451105,"DAM","CN"
-3.71298303272443,0.879361180604539,"Homeostatic","CN"
-2.35318150188642,-1.88018067365781,"Homeostatic","CN"
-2.47456731464582,3.96206228250369,"DAM","CN"
0.644306579568814,1.11365543121203,"DAM","CN"
-3.69328155185895,1.32874165290698,"Homeostatic","CN"
-1.47803916599469,-4.12411983495847,"DAM","CN"
-3.08906426098065,3.19695178979739,"DAM","CN"
-1.69954468872266,5.41891901010378,"DAM","CN"
-1.97617878582196,-3.33377511984006,"DAM","CN"
5.55230937335772,2.58280424589022,"DAM","CN"
-2.90221442844586,-0.559477286397376,"Homeostatic","CN"
-2.61143269207196,-0.236395614205756,"Homeostatic","CN"
-1.62115444805341,-0.706997351704993,"Homeostatic","CN"
2.5721591505794,0.779871745050989,"DAM","CN"
1.57915280196948,1.09299926275118,"DAM","CN"
0.30732006762309,0.822342587650857,"DAM","CN"
-1.49572779800611,-0.0600179601301332,"DAM","CN"
1.33983121249957,-5.4052553940405,"DAM","CN"
-0.823218723794986,2.53753559106692,"DAM","CN"
-3.01717104580121,0.401876850069604,"Homeostatic","CN"
3.29898915622516,2.93092672342166,"DAM","CN"
-1.31513597633557,-3.97155006414548,"DAM","CN"
-2.87192835476117,-1.10825176721708,"Homeostatic","CN"
-2.34984507229047,1.99637476915225,"Homeostatic","CN"
1.48840544555468,3.1650501918207,"DAM","CN"
-0.685428937933017,1.54986063951357,"DAM","CN"
5.35713086459918,2.97629038804873,"DAM","CN"
-2.16155686046796,-3.78528793340818,"Homeostatic","CN"
0.779110947587918,2.85177294725283,"DAM","CN"
2.70357737872882,1.59690443986758,"DAM","CN"
-2.35212125446515,-2.95527060514585,"Homeostatic","CN"
-2.27748312618451,1.38867531532153,"Homeostatic","CN"
4.17724452350421,3.33868710512026,"DAM","CN"
-1.69804026748853,3.10083429330691,"DAM","CN"
-0.787242552301456,-3.0388494301428,"DAM","CN"
3.03316221568866,1.61218587869509,"DAM","CN"
-0.285607507488299,4.68581549638613,"DAM","CN"
0.0908909607319345,1.42377124542101,"DAM","CN"
-2.08836998607831,4.23082797044619,"DAM","CN"
-0.535819014570285,2.88946072572573,"DAM","CN"
-2.82612933780866,-2.75118597036497,"Homeostatic","CN"
-1.25598134662824,0.214948935450159,"DAM","CN"
-2.74715079929547,-1.57304008489744,"DAM","CN"
5.34681496951861,2.72323791498049,"DAM","CN"
0.0757853407053461,-1.08162053114072,"Homeostatic","CN"
-3.23478927280622,-0.572005109845557,"Homeostatic","CN"
-0.821957429906894,-3.64679534917966,"DAM","CN"
0.304095486143063,-5.52213581091062,"DAM","CN"
-1.22090532448011,1.58865861410006,"DAM","CN"
-1.54767634536939,4.15391580575808,"DAM","CN"
-0.687700709363986,1.99157182687625,"DAM","CN"
1.47402332160754,-1.48211582189695,"DAM","CN"
-1.39245094921308,0.596986887992464,"Homeostatic","CN"
0.294769892433118,5.36062662118777,"DAM","CN"
2.04624471996112,3.91891877168521,"DAM","CN"
0.170724565127324,-3.79985006338254,"DAM","CN"
-1.00569262172895,-4.01926191335813,"DAM","CN"
0.254869962075185,2.51290862077578,"DAM","CN"
0.256946319678258,3.62374727243289,"DAM","CN"
-3.01947178508954,1.01828507894381,"Homeostatic","CN"
-1.45636858608441,-0.440012769757666,"Homeostatic","CN"
2.63390241000934,-4.73039968496458,"DAM","CN"
5.14636025760455,3.43682996744021,"DAM","CN"
1.36122725341601,3.20717756265505,"DAM","CN"
-1.35325052406507,-3.36258609777585,"DAM","CN"
0.822098771074246,-6.01940639501707,"DAM","CN"
2.78825793597979,1.15443111771449,"DAM","CN"
2.85348258350177,-4.00645120626584,"DAM","CN"
-1.83231296207624,-3.01876361852781,"Homeostatic","CN"
1.30740521285815,-5.60552938467161,"DAM","CN"
-1.22592487003522,-2.52814348226682,"Homeostatic","CN"
3.39170203540606,1.69969861024722,"DAM","CN"
0.117753850260209,3.23467795366152,"DAM","CN"
-0.412849685213138,-4.2956910896887,"DAM","CN"
-4.30906262066083,-1.26940722948209,"DAM","CN"
-2.30592312481122,0.0115882586847167,"Homeostatic","CN"
-0.665957292577792,1.17371646875247,"DAM","CN"
-0.879383286497165,2.88967267984255,"DAM","CN"
-2.04112805988507,3.26451603883608,"DAM","CN"
1.8859779629497,1.68439201825961,"DAM","CN"
0.0459459300259312,-4.6509795952429,"DAM","CN"
-3.52914728786664,2.37293831819399,"DAM","CN"
1.37908516261859,2.26782099717959,"DAM","CN"
4.4649723562984,2.67679481023654,"DAM","CN"
3.10995064113421,3.32046906465396,"DAM","CN"
1.54853604171557,-2.78376539236204,"DAM","CN"
-2.14073195125775,-2.36221559530393,"Homeostatic","CN"
-0.617427131197024,1.68971113675936,"DAM","CN"
1.45923409793658,-3.37843235021726,"DAM","CN"
-4.00505127575116,-1.86887057310239,"Homeostatic","CN"
-2.15331067707257,3.0833908748041,"DAM","CN"
-2.81559362079816,4.0130955409418,"DAM","CN"
-2.55898513462262,4.92380992883547,"DAM","CN"
4.61582455966754,1.87820415014132,"DAM","CN"
0.848853269555997,3.98429958337649,"DAM","CN"
-0.760461708566714,-2.89658911710874,"DAM","CN"
-2.47432722713666,-4.86954792028562,"DAM","CN"
0.631687262990903,-3.29603536611692,"DAM","CN"
-2.11693777706342,0.91679583305224,"Homeostatic","CN"
0.634809592702817,-2.69445188528196,"DAM","CN"
-1.27157845165448,2.19849602693423,"DAM","CN"
-2.79428496029096,0.629069825650297,"Homeostatic","CN"
-2.74965228702741,-1.51545150762693,"Homeostatic","CN"
-1.32546999122815,-0.807248430310645,"Homeostatic","CN"
-1.02556838657575,0.356194598616205,"Homeostatic","CN"
-3.45448794033246,0.143686158598505,"Homeostatic","CN"
0.500543514230679,5.53536788934573,"DAM","CN"
-0.203002652189303,-1.97037466055051,"Homeostatic","CN"
-0.837026020547916,-0.471426444112219,"Homeostatic","CN"
-4.16306700374799,-1.10373468881742,"Homeostatic","CN"
0.145464749970864,-5.03787191396848,"DAM","CN"
3.12007818553729,2.90635864251956,"DAM","CN"
0.477714935281705,1.08884261363848,"DAM","CN"
-3.02378596927838,0.628330370427213,"Homeostatic","CN"
-3.19661321308332,0.410143299044214,"Homeostatic","CN"
-3.32656635906415,-2.25200994497434,"Homeostatic","CN"
3.34850750301165,2.58285729402407,"DAM","CN"
-2.67698492672162,0.906653223575197,"Homeostatic","CN"
-0.347606888076831,-0.122801678239264,"Homeostatic","CN"
-2.5208252873631,0.598545311034761,"Homeostatic","CN"
2.75482569072528,0.919993994773469,"DAM","CN"
4.46151528690143,2.46083693021639,"DAM","CN"
1.37088976238055,1.26403246635302,"DAM","CN"
1.72599110935016,-3.10562832838193,"DAM","CN"
3.62285361621661,2.62537936681613,"DAM","CN"
3.90940223071856,3.31504075044497,"DAM","CN"
-0.852043708822299,11.6114167403589,"DAM","CN"
1.23541245792193,-5.72921998983518,"DAM","CN"
0.217250505426358,-2.54901702886716,"DAM","CN"
-1.59383167888837,-1.87031372076169,"Homeostatic","CN"
-0.817468723318149,11.3534430693994,"DAM","CN"
-1.66805090572553,-4.30382354742185,"DAM","CN"
-1.22881843712049,4.38259236329897,"DAM","CN"
-2.60474338199811,-2.11131604200498,"Homeostatic","CN"
-1.5316724982472,-1.95602543836729,"Homeostatic","CN"
-1.75554980900006,4.39183609002932,"DAM","CN"
1.89638874862475,-4.98918350225583,"DAM","CN"
-2.38110651638227,-4.78816612249509,"DAM","CN"
4.6758893523006,3.43055598253115,"DAM","CN"
-1.74590053226667,0.538299454392038,"Homeostatic","CN"
-0.643451651594211,-1.02471359258787,"Homeostatic","CN"
0.902304092386197,-4.71159465795652,"DAM","CN"
0.611384848096799,2.2198906373392,"DAM","CN"
2.48050699565692,-1.22422965055601,"DAM","CN"
-2.47106232311444,-0.852466898023047,"Homeostatic","CN"
-1.12426044609265,-1.30977519041196,"Homeostatic","CN"
