"orig.ident","Group","celltype","cells","prop"
"D1_NC1","CN","Astrocytes",67,0.11858407079646
"D1_NC1","CN","Cerebrovascular cells",42,0.0743362831858407
"D1_NC1","CN","Excitatory",113,0.2
"D1_NC1","CN","Inhibitory",47,0.0831858407079646
"D1_NC1","CN","Microglia",37,0.0654867256637168
"D1_NC1","CN","Oligodendrocytes",230,0.407079646017699
"D1_NC1","CN","OPCs",29,0.0513274336283186
"D1_NC10","CN","Astrocytes",92,0.0828082808280828
"D1_NC10","CN","Cerebrovascular cells",73,0.0657065706570657
"D1_NC10","CN","Excitatory",375,0.337533753375338
"D1_NC10","CN","Inhibitory",89,0.0801080108010801
"D1_NC10","CN","Microglia",92,0.0828082808280828
"D1_NC10","CN","Oligodendrocytes",340,0.306030603060306
"D1_NC10","CN","OPCs",50,0.045004500450045
"D1_NC11","CN","Astrocytes",84,0.0854526958290946
"D1_NC11","CN","Cerebrovascular cells",46,0.046795523906409
"D1_NC11","CN","Excitatory",347,0.353001017293998
"D1_NC11","CN","Inhibitory",85,0.08646998982706
"D1_NC11","CN","Microglia",58,0.0590030518819939
"D1_NC11","CN","Oligodendrocytes",323,0.328585961342828
"D1_NC11","CN","OPCs",40,0.0406917599186165
"D1_NC12","CN","Astrocytes",44,0.0857699805068226
"D1_NC12","CN","Cerebrovascular cells",9,0.0175438596491228
"D1_NC12","CN","Excitatory",230,0.448343079922027
"D1_NC12","CN","Inhibitory",23,0.0448343079922027
"D1_NC12","CN","Microglia",25,0.0487329434697856
"D1_NC12","CN","Oligodendrocytes",146,0.284600389863548
"D1_NC12","CN","OPCs",36,0.0701754385964912
"D1_NC13","CN","Astrocytes",49,0.0468003820439351
"D1_NC13","CN","Cerebrovascular cells",16,0.0152817574021012
"D1_NC13","CN","Excitatory",289,0.276026743075454
"D1_NC13","CN","Inhibitory",68,0.0649474689589303
"D1_NC13","CN","Microglia",52,0.049665711556829
"D1_NC13","CN","Oligodendrocytes",538,0.513849092645654
"D1_NC13","CN","OPCs",35,0.0334288443170965
"D1_NC14","CN","Astrocytes",73,0.0821147356580427
"D1_NC14","CN","Cerebrovascular cells",3,0.00337457817772778
"D1_NC14","CN","Excitatory",329,0.37007874015748
"D1_NC14","CN","Inhibitory",75,0.0843644544431946
"D1_NC14","CN","Microglia",52,0.0584926884139483
"D1_NC14","CN","Oligodendrocytes",329,0.37007874015748
"D1_NC14","CN","OPCs",28,0.031496062992126
"D1_NC15","CN","Astrocytes",69,0.118965517241379
"D1_NC15","CN","Cerebrovascular cells",59,0.101724137931034
"D1_NC15","CN","Excitatory",194,0.33448275862069
"D1_NC15","CN","Inhibitory",47,0.0810344827586207
"D1_NC15","CN","Microglia",34,0.0586206896551724
"D1_NC15","CN","Oligodendrocytes",138,0.237931034482759
"D1_NC15","CN","OPCs",39,0.0672413793103448
"D1_NC16","CN","Astrocytes",70,0.108024691358025
"D1_NC16","CN","Cerebrovascular cells",44,0.0679012345679012
"D1_NC16","CN","Excitatory",216,0.333333333333333
"D1_NC16","CN","Inhibitory",69,0.106481481481481
"D1_NC16","CN","Microglia",68,0.104938271604938
"D1_NC16","CN","Oligodendrocytes",130,0.200617283950617
"D1_NC16","CN","OPCs",51,0.0787037037037037
"D1_NC17","CN","Astrocytes",81,0.0903010033444816
"D1_NC17","CN","Cerebrovascular cells",44,0.0490523968784838
"D1_NC17","CN","Excitatory",344,0.383500557413601
"D1_NC17","CN","Inhibitory",72,0.0802675585284281
"D1_NC17","CN","Microglia",30,0.0334448160535117
"D1_NC17","CN","Oligodendrocytes",296,0.329988851727982
"D1_NC17","CN","OPCs",30,0.0334448160535117
"D1_NC18","CN","Astrocytes",42,0.0473506200676437
"D1_NC18","CN","Cerebrovascular cells",36,0.0405862457722661
"D1_NC18","CN","Excitatory",457,0.5152198421646
"D1_NC18","CN","Inhibitory",159,0.179255918827508
"D1_NC18","CN","Microglia",30,0.0338218714768884
"D1_NC18","CN","Oligodendrocytes",117,0.131905298759865
"D1_NC18","CN","OPCs",46,0.0518602029312289
"D1_NC19","CN","Astrocytes",52,0.128712871287129
"D1_NC19","CN","Cerebrovascular cells",49,0.121287128712871
"D1_NC19","CN","Excitatory",139,0.344059405940594
"D1_NC19","CN","Inhibitory",46,0.113861386138614
"D1_NC19","CN","Microglia",46,0.113861386138614
"D1_NC19","CN","Oligodendrocytes",38,0.0940594059405941
"D1_NC19","CN","OPCs",34,0.0841584158415842
"D1_NC2","CN","Astrocytes",43,0.0669781931464174
"D1_NC2","CN","Cerebrovascular cells",60,0.0934579439252336
"D1_NC2","CN","Excitatory",145,0.225856697819315
"D1_NC2","CN","Inhibitory",41,0.0638629283489097
"D1_NC2","CN","Microglia",33,0.0514018691588785
"D1_NC2","CN","Oligodendrocytes",294,0.457943925233645
"D1_NC2","CN","OPCs",26,0.0404984423676012
"D1_NC20","CN","Astrocytes",8,0.0120300751879699
"D1_NC20","CN","Cerebrovascular cells",69,0.103759398496241
"D1_NC20","CN","Excitatory",297,0.446616541353383
"D1_NC20","CN","Inhibitory",76,0.114285714285714
"D1_NC20","CN","Microglia",43,0.0646616541353384
"D1_NC20","CN","Oligodendrocytes",145,0.218045112781955
"D1_NC20","CN","OPCs",27,0.0406015037593985
"D1_NC21","CN","Astrocytes",28,0.0369881109643329
"D1_NC21","CN","Cerebrovascular cells",34,0.0449141347424042
"D1_NC21","CN","Excitatory",342,0.451783355350066
"D1_NC21","CN","Inhibitory",78,0.103038309114927
"D1_NC21","CN","Microglia",52,0.0686922060766182
"D1_NC21","CN","Oligodendrocytes",197,0.260237780713342
"D1_NC21","CN","OPCs",26,0.0343461030383091
"D1_NC22","CN","Astrocytes",88,0.182572614107884
"D1_NC22","CN","Cerebrovascular cells",38,0.0788381742738589
"D1_NC22","CN","Excitatory",148,0.307053941908714
"D1_NC22","CN","Inhibitory",47,0.0975103734439834
"D1_NC22","CN","Microglia",46,0.0954356846473029
"D1_NC22","CN","Oligodendrocytes",58,0.120331950207469
"D1_NC22","CN","OPCs",57,0.118257261410788
"D1_NC23","CN","Astrocytes",78,0.168103448275862
"D1_NC23","CN","Cerebrovascular cells",51,0.109913793103448
"D1_NC23","CN","Excitatory",94,0.202586206896552
"D1_NC23","CN","Inhibitory",39,0.084051724137931
"D1_NC23","CN","Microglia",57,0.122844827586207
"D1_NC23","CN","Oligodendrocytes",101,0.217672413793103
"D1_NC23","CN","OPCs",44,0.0948275862068965
"D1_NC24","CN","Astrocytes",46,0.0659971305595409
"D1_NC24","CN","Excitatory",211,0.302725968436155
"D1_NC24","CN","Inhibitory",79,0.113342898134864
"D1_NC24","CN","Microglia",37,0.0530846484935438
"D1_NC24","CN","Oligodendrocytes",289,0.414634146341463
"D1_NC24","CN","OPCs",35,0.0502152080344333
"D1_NC25","CN","Astrocytes",41,0.0631741140215717
"D1_NC25","CN","Cerebrovascular cells",2,0.00308166409861325
"D1_NC25","CN","Excitatory",245,0.377503852080123
"D1_NC25","CN","Inhibitory",99,0.152542372881356
"D1_NC25","CN","Microglia",53,0.0816640986132511
"D1_NC25","CN","Oligodendrocytes",164,0.252696456086287
"D1_NC25","CN","OPCs",45,0.0693374422187981
"D1_NC26","CN","Astrocytes",84,0.141176470588235
"D1_NC26","CN","Cerebrovascular cells",37,0.0621848739495798
"D1_NC26","CN","Excitatory",108,0.181512605042017
"D1_NC26","CN","Inhibitory",17,0.0285714285714286
"D1_NC26","CN","Microglia",19,0.0319327731092437
"D1_NC26","CN","Oligodendrocytes",296,0.497478991596639
"D1_NC26","CN","OPCs",34,0.0571428571428571
"D1_NC27","CN","Astrocytes",23,0.0732484076433121
"D1_NC27","CN","Cerebrovascular cells",29,0.0923566878980892
"D1_NC27","CN","Excitatory",95,0.302547770700637
"D1_NC27","CN","Inhibitory",12,0.0382165605095541
"D1_NC27","CN","Microglia",26,0.0828025477707006
"D1_NC27","CN","Oligodendrocytes",85,0.270700636942675
"D1_NC27","CN","OPCs",44,0.140127388535032
"D1_NC3","CN","Astrocytes",51,0.0568561872909699
"D1_NC3","CN","Cerebrovascular cells",37,0.0412486064659978
"D1_NC3","CN","Excitatory",279,0.311036789297659
"D1_NC3","CN","Inhibitory",61,0.0680044593088071
"D1_NC3","CN","Microglia",24,0.0267558528428094
"D1_NC3","CN","Oligodendrocytes",400,0.445930880713489
"D1_NC3","CN","OPCs",45,0.0501672240802676
"D1_NC4","CN","Astrocytes",42,0.0594900849858357
"D1_NC4","CN","Cerebrovascular cells",20,0.028328611898017
"D1_NC4","CN","Excitatory",105,0.148725212464589
"D1_NC4","CN","Inhibitory",26,0.0368271954674221
"D1_NC4","CN","Microglia",41,0.0580736543909348
"D1_NC4","CN","Oligodendrocytes",429,0.607648725212465
"D1_NC4","CN","OPCs",43,0.0609065155807365
"D1_NC5","CN","Astrocytes",63,0.091304347826087
"D1_NC5","CN","Excitatory",278,0.402898550724638
"D1_NC5","CN","Inhibitory",91,0.131884057971014
"D1_NC5","CN","Microglia",41,0.0594202898550725
"D1_NC5","CN","Oligodendrocytes",176,0.255072463768116
"D1_NC5","CN","OPCs",41,0.0594202898550725
"D1_NC6","CN","Astrocytes",57,0.0621592148309706
"D1_NC6","CN","Cerebrovascular cells",4,0.00436205016357688
"D1_NC6","CN","Excitatory",299,0.326063249727372
"D1_NC6","CN","Inhibitory",88,0.0959651035986914
"D1_NC6","CN","Microglia",50,0.054525627044711
"D1_NC6","CN","Oligodendrocytes",374,0.407851690294438
"D1_NC6","CN","OPCs",45,0.0490730643402399
"D1_NC7","CN","Astrocytes",56,0.0602150537634409
"D1_NC7","CN","Cerebrovascular cells",8,0.00860215053763441
"D1_NC7","CN","Excitatory",287,0.308602150537634
"D1_NC7","CN","Inhibitory",43,0.0462365591397849
"D1_NC7","CN","Microglia",48,0.0516129032258065
"D1_NC7","CN","Oligodendrocytes",454,0.488172043010753
"D1_NC7","CN","OPCs",34,0.0365591397849462
"D1_NC8","CN","Astrocytes",88,0.104886769964243
"D1_NC8","CN","Cerebrovascular cells",50,0.0595947556615018
"D1_NC8","CN","Excitatory",347,0.413587604290822
"D1_NC8","CN","Inhibitory",57,0.067938021454112
"D1_NC8","CN","Microglia",31,0.0369487485101311
"D1_NC8","CN","Oligodendrocytes",245,0.292014302741359
"D1_NC8","CN","OPCs",21,0.0250297973778308
"D1_NC9","CN","Astrocytes",55,0.0703324808184143
"D1_NC9","CN","Cerebrovascular cells",23,0.0294117647058824
"D1_NC9","CN","Excitatory",298,0.381074168797954
"D1_NC9","CN","Inhibitory",73,0.0933503836317136
"D1_NC9","CN","Microglia",43,0.0549872122762148
"D1_NC9","CN","Oligodendrocytes",239,0.305626598465473
"D1_NC9","CN","OPCs",51,0.0652173913043478
"D1_AD1","AD","Astrocytes",59,0.0738423028785982
