sample_id,group
GSM3895951,CN
GSM3895952,CN
GSM3895953,CN
GSM3895954,CN
GSM3895955,CN
GSM3895956,CN
GSM3895957,CN
GSM3895958,CN
GSM3895959,CN
GSM3895960,CN
GSM3895961,CN
GSM3895962,CN
GSM3895963,CN
GSM3895964,CN
GSM3895965,CN
GSM3895966,CN
GSM3895967,CN
GSM3895968,CN
GSM3895969,CN
GSM3895970,CN
GSM3895971,CN
GSM3895972,CN
GSM3895973,CN
GSM3895974,CN
GSM3895975,CN
GSM3895976,CN
GSM3895977,CN
GSM3895978,CN
GSM3895979,CN
GSM3895980,CN
GSM3895981,CN
GSM3895982,CN
GSM3895983,CN
GSM3895984,CN
GSM3895985,CN
GSM3895986,CN
GSM3895987,CN
GSM3895988,CN
GSM3895989,CN
GSM3895990,CN
GSM3895991,CN
GSM3895992,CN
GSM3895993,CN
GSM3895994,CN
GSM3895995,CN
GSM3895996,CN
GSM3895997,CN
GSM3895998,CN
GSM3895999,CN
GSM3896000,CN
GSM3896001,CN
GSM3896002,CN
GSM3896003,CN
GSM3896004,CN
GSM3896005,CN
GSM3896006,CN
GSM3896007,CN
GSM3896008,CN
GSM3896009,CN
GSM3896010,CN
GSM3896011,CN
GSM3896012,CN
GSM3896013,CN
GSM3896014,CN
GSM3896015,CN
GSM3896016,CN
GSM3896017,CN
GSM3896018,CN
GSM3896019,CN
GSM3896020,CN
GSM3896021,CN
GSM3896022,CN
GSM3896023,CN
GSM3896024,CN
GSM3896025,CN
GSM3896026,CN
GSM3896027,CN
GSM3896028,CN
GSM3896029,CN
GSM3896030,CN
GSM3896031,CN
GSM3896032,AD
GSM3896033,AD
GSM3896034,AD
GSM3896035,AD
GSM3896036,AD
GSM3896037,AD
GSM3896038,AD
GSM3896039,AD
GSM3896040,AD
GSM3896041,AD
GSM3896042,AD
GSM3896043,AD
GSM3896044,AD
GSM3896045,AD
GSM3896046,AD
GSM3896047,AD
GSM3896048,AD
GSM3896049,AD
GSM3896050,AD
GSM3896051,AD
GSM3896052,AD
GSM3896053,AD
GSM3896054,AD
GSM3896055,AD
GSM3896056,AD
GSM3896057,AD
GSM3896058,AD
GSM3896059,AD
GSM3896060,AD
GSM3896061,AD
GSM3896062,AD
GSM3896063,AD
GSM3896064,AD
GSM3896065,AD
GSM3896066,AD
GSM3896067,AD
GSM3896068,AD
GSM3896069,AD
GSM3896070,AD
GSM3896071,AD
GSM3896072,AD
GSM3896073,AD
GSM3896074,AD
GSM3896075,AD
GSM3896076,AD
GSM3896077,AD
GSM3896078,AD
GSM3896079,AD
GSM3896080,AD
GSM3896081,AD
GSM3896082,AD
GSM3896083,AD
GSM3896084,AD
GSM3896085,AD
GSM3896086,AD
GSM3896087,AD
GSM3896088,AD
GSM3896089,AD
GSM3896090,AD
GSM3896091,AD
GSM3896092,AD
GSM3896093,AD
GSM3896094,AD
GSM3896095,AD
GSM3896096,AD
GSM3896097,AD
GSM3896098,AD
GSM3896099,AD
GSM3896100,AD
GSM3896101,AD
GSM3896102,AD
GSM3896103,AD
GSM3896104,AD
GSM3896105,AD
GSM3896106,AD
GSM3896107,AD
GSM3896108,AD
GSM3896109,AD
GSM3896110,AD
GSM3896111,AD
GSM3896112,CN
GSM3896113,CN
GSM3896114,CN
GSM3896115,CN
GSM3896116,AD
GSM3896117,AD
GSM3896118,AD
GSM3896119,AD
GSM3896120,AD
GSM3896121,AD
GSM3896122,AD
GSM3896123,AD
GSM3896124,AD
GSM3896125,AD
GSM3896126,CN
GSM3896127,AD
GSM3896128,AD
GSM3896129,AD
GSM3896130,AD
GSM3896131,AD
GSM3896132,AD
GSM3896133,AD
GSM3896134,CN
GSM3896135,CN
GSM3896136,CN
GSM3896137,CN
GSM3896138,CN
GSM3896139,CN
GSM3896140,CN
GSM3896141,CN
GSM3896142,CN
GSM3896143,CN
GSM3896144,CN
GSM3896145,CN
