geneset,sample_id,group,score
Cerebrovascular cells_Arterial,GSM3895951,CN,0.401128159092341
Cerebrovascular cells_Arterial,GSM3895952,CN,0.44163890374232
Cerebrovascular cells_Arterial,GSM3895953,CN,0.379423449196681
Cerebrovascular cells_Arterial,GSM3895954,CN,0.388540005409074
Cerebrovascular cells_Arterial,GSM3895955,CN,0.403218039255555
Cerebrovascular cells_Arterial,GSM3895956,CN,0.377355246500283
Cerebrovascular cells_Arterial,GSM3895957,CN,0.391286761608074
Cerebrovascular cells_Arterial,GSM3895958,CN,0.39294689126521
Cerebrovascular cells_Arterial,GSM3895959,CN,0.408892691902007
Cerebrovascular cells_Arterial,GSM3895960,CN,0.409144047447085
Cerebrovascular cells_Arterial,GSM3895961,CN,0.388398032227007
Cerebrovascular cells_Arterial,GSM3895962,CN,0.371108714909805
Cerebrovascular cells_Arterial,GSM3895963,CN,0.400308577987378
Cerebrovascular cells_Arterial,GSM3895964,CN,0.366203792348514
Cerebrovascular cells_Arterial,GSM3895965,CN,0.382336629624551
Cerebrovascular cells_Arterial,GSM3895966,CN,0.402064622401844
Cerebrovascular cells_Arterial,GSM3895967,CN,0.357337507622295
Cerebrovascular cells_Arterial,GSM3895968,CN,0.376448712040838
Cerebrovascular cells_Arterial,GSM3895969,CN,0.382607668164955
Cerebrovascular cells_Arterial,GSM3895970,CN,0.417991128964721
Cerebrovascular cells_Arterial,GSM3895971,CN,0.441353482239686
Cerebrovascular cells_Arterial,GSM3895972,CN,0.399581481441183
Cerebrovascular cells_Arterial,GSM3895973,CN,0.362923870242269
Cerebrovascular cells_Arterial,GSM3895974,CN,0.401033187017277
Cerebrovascular cells_Arterial,GSM3895975,CN,0.41252146569543
Cerebrovascular cells_Arterial,GSM3895976,CN,0.364473487207173
Cerebrovascular cells_Arterial,GSM3895977,CN,0.368331026567374
Cerebrovascular cells_Arterial,GSM3895978,CN,0.411366096789442
Cerebrovascular cells_Arterial,GSM3895979,CN,0.383099232701833
Cerebrovascular cells_Arterial,GSM3895980,CN,0.376658971243509
Cerebrovascular cells_Arterial,GSM3895981,CN,0.314344884849601
Cerebrovascular cells_Arterial,GSM3895982,CN,0.389886079430153
Cerebrovascular cells_Arterial,GSM3895983,CN,0.354249660310496
Cerebrovascular cells_Arterial,GSM3895984,CN,0.35046132021214
Cerebrovascular cells_Arterial,GSM3895985,CN,0.404637829778222
Cerebrovascular cells_Arterial,GSM3895986,CN,0.333225119133763
Cerebrovascular cells_Arterial,GSM3895987,CN,0.32448075824758
Cerebrovascular cells_Arterial,GSM3895988,CN,0.375454026684718
Cerebrovascular cells_Arterial,GSM3895989,CN,0.390582952002275
Cerebrovascular cells_Arterial,GSM3895990,CN,0.367850383431556
Cerebrovascular cells_Arterial,GSM3895991,CN,0.361023220968802
Cerebrovascular cells_Arterial,GSM3895992,CN,0.336734741857648
Cerebrovascular cells_Arterial,GSM3895993,CN,0.385505821840911
Cerebrovascular cells_Arterial,GSM3895994,CN,0.39651598603385
Cerebrovascular cells_Arterial,GSM3895995,CN,0.356927239202226
Cerebrovascular cells_Arterial,GSM3895996,CN,0.353756554550403
Cerebrovascular cells_Arterial,GSM3895997,CN,0.404194650610249
Cerebrovascular cells_Arterial,GSM3895998,CN,0.38395652690561
Cerebrovascular cells_Arterial,GSM3895999,CN,0.397514808213225
Cerebrovascular cells_Arterial,GSM3896000,CN,0.331922295445184
Cerebrovascular cells_Arterial,GSM3896001,CN,0.348636569419115
Cerebrovascular cells_Arterial,GSM3896002,CN,0.358672573123339
Cerebrovascular cells_Arterial,GSM3896003,CN,0.385171739904514
Cerebrovascular cells_Arterial,GSM3896004,CN,0.373563415965546
Cerebrovascular cells_Arterial,GSM3896005,CN,0.406089154720158
Cerebrovascular cells_Arterial,GSM3896006,CN,0.404394856303517
Cerebrovascular cells_Arterial,GSM3896007,CN,0.374952618281277
Cerebrovascular cells_Arterial,GSM3896008,CN,0.385864142180315
Cerebrovascular cells_Arterial,GSM3896009,CN,0.406355921093324
Cerebrovascular cells_Arterial,GSM3896010,CN,0.41628352557352
Cerebrovascular cells_Arterial,GSM3896011,CN,0.415302223860714
Cerebrovascular cells_Arterial,GSM3896012,CN,0.399665656440286
Cerebrovascular cells_Arterial,GSM3896013,CN,0.364901038779762
Cerebrovascular cells_Arterial,GSM3896014,CN,0.404977484914267
Cerebrovascular cells_Arterial,GSM3896015,CN,0.415217440468469
Cerebrovascular cells_Arterial,GSM3896016,CN,0.400428311520221
Cerebrovascular cells_Arterial,GSM3896017,CN,0.402506137280505
Cerebrovascular cells_Arterial,GSM3896018,CN,0.422735499317939
Cerebrovascular cells_Arterial,GSM3896019,CN,0.395350900589935
Cerebrovascular cells_Arterial,GSM3896020,CN,0.389384751650065
Cerebrovascular cells_Arterial,GSM3896021,CN,0.413011640506421
Cerebrovascular cells_Arterial,GSM3896022,CN,0.43018123909128
Cerebrovascular cells_Arterial,GSM3896023,CN,0.413096061853709
Cerebrovascular cells_Arterial,GSM3896024,CN,0.436398823366843
Cerebrovascular cells_Arterial,GSM3896025,CN,0.417666558610113
Cerebrovascular cells_Arterial,GSM3896026,CN,0.424386832953263
Cerebrovascular cells_Arterial,GSM3896027,CN,0.417980920086376
Cerebrovascular cells_Arterial,GSM3896028,CN,0.342085878896978
Cerebrovascular cells_Arterial,GSM3896029,CN,0.414117853750377
Cerebrovascular cells_Arterial,GSM3896030,CN,0.410389439225466
Cerebrovascular cells_Arterial,GSM3896031,CN,0.386930505386073
Cerebrovascular cells_Arterial,GSM3896032,AD,0.391802181424918
Cerebrovascular cells_Arterial,GSM3896033,AD,0.431396645508489
Cerebrovascular cells_Arterial,GSM3896034,AD,0.363415708869891
Cerebrovascular cells_Arterial,GSM3896035,AD,0.374252726081645
Cerebrovascular cells_Arterial,GSM3896036,AD,0.387538080374493
Cerebrovascular cells_Arterial,GSM3896037,AD,0.374132996271361
Cerebrovascular cells_Arterial,GSM3896038,AD,0.456782905698354
Cerebrovascular cells_Arterial,GSM3896039,AD,0.391413817008729
Cerebrovascular cells_Arterial,GSM3896040,AD,0.373334376997161
Cerebrovascular cells_Arterial,GSM3896041,AD,0.400291060027316
Cerebrovascular cells_Arterial,GSM3896042,AD,0.425296385989427
Cerebrovascular cells_Arterial,GSM3896043,AD,0.421533908813206
Cerebrovascular cells_Arterial,GSM3896044,AD,0.342283656783673
Cerebrovascular cells_Arterial,GSM3896045,AD,0.334724839691871
Cerebrovascular cells_Arterial,GSM3896046,AD,0.371933163776401
Cerebrovascular cells_Arterial,GSM3896047,AD,0.403774943927799
Cerebrovascular cells_Arterial,GSM3896048,AD,0.400756378019823
Cerebrovascular cells_Arterial,GSM3896049,AD,0.37392742545486
Cerebrovascular cells_Arterial,GSM3896050,AD,0.381150879720335
Cerebrovascular cells_Arterial,GSM3896051,AD,0.338617940901086
