source,target,mean_strength_AD,n_lr_AD,mean_strength_CN,n_lr_CN,delta_AD_vs_CN,source_n_AD,source_n_CN,target_n_AD,target_n_CN,min_group_cell_count,source_family,target_family
Astro_Homeostatic,Astro_Homeostatic,0.517439268821873,674.0,0.687373726403283,698,-0.16993445758141001,7441,10219,7441,10219,7441,Astrocyte,Astrocyte
Astro_Homeostatic,Astro_Intermediate,0.532489344375383,658.0,0.731241274072744,680,-0.198751929697361,7441,10219,5602,5852,5602,Astrocyte,Astrocyte
Astro_Homeostatic,Astro_Reactive,0.522178514332038,696.0,0.71819767668008,706,-0.19601916234804206,7441,10219,1387,1200,1200,Astrocyte,Astrocyte
Astro_Homeostatic,CapEC_ActHigh,0.774808631412326,535.0,0.982431600148899,555,-0.20762296873657293,7441,10219,134,124,124,Astrocyte,Vascular
Astro_Homeostatic,CapEC_ActLow,0.641292188699623,477.0,0.760350442985001,475,-0.11905825428537797,7441,10219,129,129,129,Astrocyte,Vascular
Astro_Homeostatic,CapEC_ActMid,0.735114511695219,501.0,0.89270584659171,527,-0.15759133489649102,7441,10219,154,112,112,Astrocyte,Vascular
Astro_Homeostatic,Cerebrovascular_Pericyte,0.51117213777944,820.0,0.639117661002007,801,-0.12794552322256691,7441,10219,516,449,449,Astrocyte,Vascular
Astro_Homeostatic,Cerebrovascular_Venous,0.397332745100629,669.0,0.466594456507585,693,-0.06926171140695603,7441,10219,328,317,317,Astrocyte,Vascular
Astro_Homeostatic,Excitatory,0.332012618847817,660.0,0.417557738337833,672,-0.08554511949001598,7441,10219,62331,65392,7441,Astrocyte,Neuron
Astro_Homeostatic,Inhibitory,0.327915189199578,624.0,0.397881951791263,639,-0.069966762591685,7441,10219,18727,18751,7441,Astrocyte,Neuron
Astro_Homeostatic,Micro_DAM,0.416814949708848,428.0,0.481252281795246,429,-0.06443733208639796,7441,10219,10413,8260,7441,Astrocyte,Microglia
Astro_Homeostatic,Micro_Homeostatic,0.398299320085537,432.0,0.549802397655424,427,-0.15150307756988707,7441,10219,2452,2998,2452,Astrocyte,Microglia
Astro_Homeostatic,OPCs,0.498183436734598,528.0,0.608182954299496,551,-0.10999951756489801,7441,10219,9583,11259,7441,Astrocyte,Oligo/OPC
Astro_Homeostatic,Oligodendrocytes,0.332310742442619,371.0,0.437415236408482,376,-0.10510449396586302,7441,10219,80232,64998,7441,Astrocyte,Oligo/OPC
Astro_Intermediate,Astro_Homeostatic,0.666244138977874,646.0,0.584024288662558,706,0.08221985031531609,5602,5852,7441,10219,5602,Astrocyte,Astrocyte
Astro_Intermediate,Astro_Intermediate,0.654038548812066,637.0,0.623812560845213,687,0.030225987966853052,5602,5852,5602,5852,5602,Astrocyte,Astrocyte
Astro_Intermediate,Astro_Reactive,0.67360482066544,680.0,0.612029245450823,719,0.061575575214616984,5602,5852,1387,1200,1200,Astrocyte,Astrocyte
Astro_Intermediate,CapEC_ActHigh,1.02901038327281,521.0,0.841801137385591,569,0.18720924588721888,5602,5852,134,124,124,Astrocyte,Vascular
Astro_Intermediate,CapEC_ActLow,0.83335612536803,469.0,0.656725517074247,486,0.17663060829378308,5602,5852,129,129,129,Astrocyte,Vascular
Astro_Intermediate,CapEC_ActMid,0.985677969018201,486.0,0.770867421872,538,0.21481054714620107,5602,5852,154,112,112,Astrocyte,Vascular
Astro_Intermediate,Cerebrovascular_Pericyte,0.646738275898393,797.0,0.535939277945322,824,0.11079899795307091,5602,5852,516,449,449,Astrocyte,Vascular
Astro_Intermediate,Cerebrovascular_Venous,0.480494146912936,669.0,0.393929537843471,718,0.086564609069465,5602,5852,328,317,317,Astrocyte,Vascular
Astro_Intermediate,Excitatory,0.362444549476144,661.0,0.341658341859512,693,0.020786207616632024,5602,5852,62331,65392,5602,Astrocyte,Neuron
