group,source,target,n_lr,mean_strength,median_strength,source_n,target_n,source_family
AD,Inhibitory,Inhibitory,653,1.10498875939482,1.20021682058189,18727,18727,Neuron
AD,Cerebrovascular_Venous,CapEC_ActHigh,580,1.10289821889204,0.862705511367211,328,134,Vascular
AD,Cerebrovascular_Pericyte,CapEC_ActHigh,609,1.09079453209773,0.883988016966923,516,134,Vascular
AD,Cerebrovascular_Pericyte,CapEC_ActMid,573,1.06599256993236,0.85055259034108,516,154,Vascular
AD,Cerebrovascular_Venous,CapEC_ActMid,547,1.0620351488208,0.80982129989604,328,154,Vascular
AD,Astro_Intermediate,CapEC_ActHigh,521,1.02901038327281,0.612509995056058,5602,134,Astrocyte
AD,Oligodendrocytes,CapEC_ActHigh,283,1.01323334323052,0.573665047052552,80232,134,Oligo/OPC
AD,CapEC_ActHigh,CapEC_ActHigh,426,0.999390893109186,0.869225826838769,134,134,Vascular
AD,Astro_Intermediate,CapEC_ActMid,486,0.985677969018201,0.527821695812423,5602,154,Astrocyte
AD,CapEC_ActHigh,CapEC_ActMid,400,0.958907229247062,0.847260903927358,134,154,Vascular
AD,Oligodendrocytes,CapEC_ActMid,258,0.957843289880559,0.495614689419396,80232,154,Oligo/OPC
AD,Cerebrovascular_Pericyte,CapEC_ActLow,539,0.939127588340246,0.748752931210126,516,129,Vascular
AD,Cerebrovascular_Venous,CapEC_ActLow,514,0.925451720579564,0.617110541355448,328,129,Vascular
AD,Micro_DAM,CapEC_ActHigh,277,0.91656969596129,0.453564769292446,10413,134,Microglia
AD,Micro_DAM,CapEC_ActMid,262,0.869673060417417,0.512449127827806,10413,154,Microglia
AD,Cerebrovascular_Pericyte,Cerebrovascular_Pericyte,974,0.843435143909616,0.534059984201951,516,516,Vascular
AD,Micro_DAM,Micro_DAM,278,0.833852051306145,0.386758039979646,10413,10413,Microglia
AD,Astro_Intermediate,CapEC_ActLow,469,0.83335612536803,0.283448791090273,5602,129,Astrocyte
AD,Cerebrovascular_Venous,Cerebrovascular_Pericyte,944,0.822553593093647,0.480717470047907,328,516,Vascular
AD,Cerebrovascular_Pericyte,Astro_Reactive,786,0.821160527415454,0.426984183108477,516,1387,Vascular
AD,Cerebrovascular_Pericyte,Astro_Intermediate,737,0.81568977985011,0.497164652898313,516,5602,Vascular
AD,Micro_DAM,Micro_Homeostatic,275,0.812505327516031,0.354397065097466,10413,2452,Microglia
AD,CapEC_ActHigh,CapEC_ActLow,384,0.801172059854238,0.675346984077963,134,129,Vascular
AD,Oligodendrocytes,CapEC_ActLow,255,0.796661867744504,0.238684035772506,80232,129,Oligo/OPC
AD,Cerebrovascular_Venous,Astro_Reactive,774,0.787484750248343,0.406087959304904,328,1387,Vascular
AD,Cerebrovascular_Pericyte,Astro_Homeostatic,749,0.783733814401454,0.448590326965871,516,7441,Vascular
AD,Astro_Reactive,CapEC_ActHigh,555,0.778561681592083,0.529257950919025,1387,134,Astrocyte
AD,Astro_Homeostatic,CapEC_ActHigh,535,0.774808631412326,0.494661591340217,7441,134,Astrocyte
AD,OPCs,CapEC_ActHigh,495,0.771044218260581,0.337389961655192,9583,134,Oligo/OPC
AD,Inhibitory,Oligodendrocytes,371,0.76510380422241,0.899888559514942,18727,80232,Neuron
AD,Cerebrovascular_Venous,Astro_Intermediate,723,0.762355661029183,0.512647468247451,328,5602,Vascular
AD,Cerebrovascular_SMC,CapEC_ActHigh,430,0.760036620074527,0.370182361396925,44,134,Vascular
AD,Micro_DAM,CapEC_ActLow,247,0.757738367096971,0.395303944204958,10413,129,Microglia
AD,Astro_Reactive,CapEC_ActMid,520,0.753869679204864,0.487720150803486,1387,154,Astrocyte
AD,CapEC_ActMid,CapEC_ActHigh,415,0.753841475100888,0.606250726424727,154,134,Vascular
AD,Cerebrovascular_Pericyte,Micro_DAM,495,0.752833822655048,0.379272387643516,516,10413,Vascular
AD,Inhibitory,CapEC_ActHigh,538,0.73660141676356,0.257397440676213,18727,134,Neuron
AD,Cerebrovascular_Venous,Astro_Homeostatic,735,0.73599177572279,0.448760027390052,328,7441,Vascular
AD,Astro_Homeostatic,CapEC_ActMid,501,0.735114511695219,0.372646133590741,7441,154,Astrocyte
