group,source,target,n_lr,mean_strength,median_strength,source_n,target_n,source_family
CN,Astro_Reactive,Astro_Reactive,728,1.31497170776423,1.24612896693468,1200,1200,Astrocyte
CN,Astro_Reactive,CapEC_ActHigh,576,1.29182973520045,0.802857552242469,1200,124,Astrocyte
CN,Astro_Reactive,CapEC_ActMid,547,1.13663805534622,0.648716399920256,1200,112,Astrocyte
CN,CapEC_ActHigh,CapEC_ActHigh,464,1.12416618007824,0.890182899271191,124,124,Vascular
CN,Oligodendrocytes,CapEC_ActHigh,291,1.05733117844646,0.639763818613485,64998,124,Oligo/OPC
CN,Cerebrovascular_Venous,CapEC_ActHigh,584,1.05243632849239,0.856760969567151,317,124,Vascular
CN,CapEC_ActHigh,CapEC_ActMid,441,0.988252983231371,0.70362795237535,124,112,Vascular
CN,Cerebrovascular_Pericyte,CapEC_ActHigh,615,0.986431884235096,0.775467002571255,449,124,Vascular
CN,Astro_Homeostatic,CapEC_ActHigh,555,0.982431600148899,0.633930879831747,10219,124,Astrocyte
CN,Astro_Reactive,CapEC_ActLow,496,0.96497265039598,0.464556469718937,1200,129,Astrocyte
CN,CapEC_ActMid,CapEC_ActHigh,438,0.94364079383172,0.671405991979683,112,124,Vascular
CN,OPCs,CapEC_ActHigh,523,0.910084033515479,0.352935868202647,11259,124,Oligo/OPC
CN,Cerebrovascular_Venous,CapEC_ActMid,540,0.909915674292287,0.649278677457809,317,112,Vascular
CN,Astro_Reactive,Astro_Homeostatic,711,0.905222640004536,0.517802153357494,1200,10219,Astrocyte
CN,Oligodendrocytes,CapEC_ActMid,284,0.90063071645449,0.397682872886502,64998,112,Oligo/OPC
CN,Astro_Reactive,Astro_Intermediate,693,0.900119483422458,0.355842234179059,1200,5852,Astrocyte
CN,Astro_Homeostatic,CapEC_ActMid,527,0.89270584659171,0.472315340940026,10219,112,Astrocyte
CN,Micro_DAM,CapEC_ActHigh,289,0.880176300436413,0.399009854467673,8260,124,Microglia
CN,CapEC_ActHigh,CapEC_ActLow,393,0.866491721426689,0.546941686777476,124,129,Vascular
CN,Astro_Reactive,OPCs,565,0.851561106967359,0.603195434684257,1200,11259,Astrocyte
CN,Cerebrovascular_Pericyte,CapEC_ActMid,577,0.851016666194849,0.593629324178233,449,112,Vascular
CN,Micro_Homeostatic,CapEC_ActHigh,294,0.849357951710104,0.590409941990577,2998,124,Microglia
CN,Astro_Intermediate,CapEC_ActHigh,569,0.841801137385591,0.664305154759591,5852,124,Astrocyte
CN,CapEC_ActHigh,Astro_Reactive,612,0.836272063309601,0.499065984517879,124,1200,Vascular
CN,CapEC_ActHigh,Micro_Homeostatic,399,0.829630034789966,0.560029264094152,124,2998,Vascular
CN,CapEC_ActMid,CapEC_ActMid,411,0.829315831000475,0.462400989785461,112,112,Vascular
CN,CapEC_ActHigh,Astro_Intermediate,591,0.816289992847335,0.552431587073264,124,5852,Vascular
CN,CapEC_ActHigh,Cerebrovascular_Pericyte,689,0.81109553495349,0.513515146851406,124,449,Vascular
CN,Excitatory,CapEC_ActHigh,620,0.807287105136192,0.37678409271919,65392,124,Neuron
CN,Cerebrovascular_Venous,CapEC_ActLow,485,0.805863708762156,0.46665278450253,317,129,Vascular
CN,Astro_Reactive,Cerebrovascular_Pericyte,841,0.802817543253095,0.330369559670922,1200,449,Astrocyte
CN,CapEC_ActHigh,Micro_DAM,403,0.783698875381771,0.47898923422017,124,8260,Vascular
CN,OPCs,CapEC_ActMid,494,0.780771905423536,0.219408589120266,11259,112,Oligo/OPC
CN,CapEC_ActHigh,Astro_Homeostatic,607,0.775405653913609,0.524073735837923,124,10219,Vascular
CN,Oligodendrocytes,CapEC_ActLow,254,0.772693406912259,0.285836405941294,64998,129,Oligo/OPC
CN,Cerebrovascular_Pericyte,CapEC_ActLow,514,0.772390100891256,0.503904784677529,449,129,Vascular
CN,Astro_Intermediate,CapEC_ActMid,538,0.770867421872,0.47434504262288,5852,112,Astrocyte
CN,Micro_DAM,Micro_Homeostatic,284,0.768093198498442,0.247640569504388,8260,2998,Microglia
CN,Micro_DAM,CapEC_ActMid,274,0.765631791931597,0.294275140401043,8260,112,Microglia
CN,Cerebrovascular_SMC,CapEC_ActHigh,355,0.763157942749519,0.61999688333479,285,124,Vascular
CN,Astro_Homeostatic,CapEC_ActLow,475,0.760350442985001,0.296400690169879,10219,129,Astrocyte
CN,Micro_Homeostatic,CapEC_ActMid,281,0.755142368157718,0.357338559257268,2998,112,Microglia
CN,Oligodendrocytes,Astro_Intermediate,381,0.745171291071626,0.246326669531152,64998,5852,Oligo/OPC
CN,Cerebrovascular_Pericyte,Astro_Reactive,781,0.745067253911524,0.342995468898864,449,1200,Vascular
CN,Cerebrovascular_Venous,Astro_Reactive,757,0.741405628941075,0.329110576388393,317,1200,Vascular
CN,Astro_Homeostatic,Astro_Intermediate,680,0.731241274072744,0.202214234590499,10219,5852,Astrocyte
CN,Micro_Homeostatic,Micro_Homeostatic,285,0.729871315836204,0.250488336411855,2998,2998,Microglia
CN,CapEC_ActHigh,OPCs,488,0.724292335654427,0.329784136652972,124,11259,Vascular
CN,CapEC_ActMid,CapEC_ActLow,367,0.723931844713623,0.354819562823223,112,129,Vascular
CN,Cerebrovascular_Venous,Astro_Intermediate,712,0.720381211784472,0.437483077159118,317,5852,Vascular
CN,Astro_Homeostatic,Astro_Reactive,706,0.71819767668008,0.115319199884093,10219,1200,Astrocyte
CN,Cerebrovascular_Venous,Cerebrovascular_Pericyte,880,0.716391767961503,0.395115105468051,317,449,Vascular
CN,Cerebrovascular_Pericyte,Astro_Intermediate,742,0.709385214992126,0.414450863162946,449,5852,Vascular
CN,OPCs,CapEC_ActLow,438,0.708564916109778,0.207234665253192,11259,129,Oligo/OPC
CN,Oligodendrocytes,Astro_Reactive,394,0.704563324883053,0.174748184928973,64998,1200,Oligo/OPC
CN,Micro_DAM,Micro_DAM,284,0.70296678907928,0.228477360445505,8260,8260,Microglia
CN,Astro_Reactive,Micro_Homeostatic,449,0.700509798548378,0.30070036724822,1200,2998,Astrocyte
CN,Astro_Reactive,Excitatory,708,0.699491248102351,0.820241839050371,1200,65392,Astrocyte
CN,CapEC_ActMid,Astro_Reactive,573,0.697096342907812,0.377612054974099,112,1200,Vascular
CN,OPCs,Astro_Intermediate,638,0.690811397832636,0.164947195419292,11259,5852,Oligo/OPC
CN,Oligodendrocytes,Astro_Homeostatic,393,0.690416059395761,0.206604161785785,64998,10219,Oligo/OPC
CN,CapEC_ActMid,Astro_Intermediate,554,0.68809934520204,0.403047731254006,112,5852,Vascular
CN,OPCs,Astro_Reactive,667,0.687915741443825,0.111683088004384,11259,1200,Oligo/OPC
CN,Astro_Homeostatic,Astro_Homeostatic,698,0.687373726403283,0.0600994492374707,10219,10219,Astrocyte
CN,CapEC_ActMid,Micro_Homeostatic,381,0.685423403991893,0.409963630321171,112,2998,Vascular
CN,Excitatory,CapEC_ActMid,590,0.680716722769962,0.239499413976693,65392,112,Neuron
CN,CapEC_ActLow,CapEC_ActHigh,385,0.679811572031185,0.602048802217442,129,124,Vascular
CN,Cerebrovascular_Pericyte,Cerebrovascular_Pericyte,915,0.679705271341401,0.316125514052618,449,449,Vascular
CN,Micro_Homeostatic,Micro_DAM,285,0.67967817675823,0.266462807236318,2998,8260,Microglia
