source,target,ligand,receptor,communication_strength_AD,communication_strength_CN,delta_AD_vs_CN,source_n_AD,source_n_CN,target_n_AD,target_n_CN,min_group_cell_count,source_family,target_family,lr_pair,label
Astro_Intermediate,CapEC_ActMid,TGFB2,ACVR1C_TGFBR2,4.04703697732985,0.0,4.04703697732985,5602,5852,154,112,112,Astrocyte,Vascular,TGFB2 - ACVR1C/TGFBR2,Intermediate astro>Cap mid | TGFB2 - ACVR1C/TGFBR2
Cerebrovascular_Pericyte,Astro_Reactive,COL1A1,CD44,3.16870870219874,0.0,3.16870870219874,516,449,1387,1200,449,Vascular,Astrocyte,COL1A1 - CD44,Pericyte>Reactive astro | COL1A1 - CD44
CapEC_ActLow,Astro_Reactive,HBEGF,CD44,2.98143160665996,0.0,2.98143160665996,129,129,1387,1200,129,Vascular,Astrocyte,HBEGF - CD44,Cap low>Reactive astro | HBEGF - CD44
Inhibitory,CapEC_ActHigh,SLIT2,ROBO4,6.45571310265015,3.47642517811368,2.97928792453647,18727,18751,134,124,124,Neuron,Vascular,SLIT2 - ROBO4,Inhibitory>Cap high | SLIT2 - ROBO4
CapEC_ActHigh,Excitatory,CXCL10,DPP4,2.95544913713073,0.0,2.95544913713073,134,124,62331,65392,124,Vascular,Neuron,CXCL10 - DPP4,Cap high>Excitatory | CXCL10 - DPP4
Micro_DAM,CapEC_ActMid,TGFB1,ACVR1C_TGFBR2,2.87124744157456,0.0,2.87124744157456,10413,8260,154,112,112,Microglia,Vascular,TGFB1 - ACVR1C/TGFBR2,DAM micro>Cap mid | TGFB1 - ACVR1C/TGFBR2
Astro_Reactive,CapEC_ActMid,TGFB2,ACVR1C_TGFBR2,2.74952752953763,0.0,2.74952752953763,1387,1200,154,112,112,Astrocyte,Vascular,TGFB2 - ACVR1C/TGFBR2,Reactive astro>Cap mid | TGFB2 - ACVR1C/TGFBR2
CapEC_ActHigh,OPCs,VWF,TNFRSF11B,2.72706147204294,0.0,2.72706147204294,134,124,9583,11259,124,Vascular,Oligo/OPC,VWF - TNFRSF11B,Cap high>OPCs | VWF - TNFRSF11B
Oligodendrocytes,CapEC_ActMid,COL4A5,CD93,2.68916640233145,0.0,2.68916640233145,80232,64998,154,112,112,Oligo/OPC,Vascular,COL4A5 - CD93,Oligodendrocytes>Cap mid | COL4A5 - CD93
Astro_Homeostatic,CapEC_ActMid,TGFB2,ACVR1C_TGFBR2,2.67395091452075,0.0,2.67395091452075,7441,10219,154,112,112,Astrocyte,Vascular,TGFB2 - ACVR1C/TGFBR2,Homeostatic astro>Cap mid | TGFB2 - ACVR1C/TGFBR2
