target,ligand,receptor,strength_high,strength_low,delta_high_vs_low,group,direction,target_clean,lr_pair,label
Cerebrovascular_Pericyte,ADM,PTH1R,4.21986683191007,0.0,4.21986683191007,AD,ActHigh_up,Pericyte,ADM - PTH1R,Pericyte | ADM - PTH1R
CapEC_ActHigh,ANGPT2,ITGA5_ITGB1,5.35659573772787,1.89281991332125,3.46377582440662,AD,ActHigh_up,Cap high,ANGPT2 - ITGA5/ITGB1,Cap high | ANGPT2 - ITGA5/ITGB1
CapEC_ActHigh,EDN1,ADGRL4,6.45271101966874,3.05597217238663,3.39673884728211,AD,ActHigh_up,Cap high,EDN1 - ADGRL4,Cap high | EDN1 - ADGRL4
CapEC_ActMid,EDN1,ADGRL4,5.88769818546444,2.68972600135162,3.19797218411282,AD,ActHigh_up,Cap mid,EDN1 - ADGRL4,Cap mid | EDN1 - ADGRL4
Astro_Reactive,COL4A2,CD44,5.47863041625908,2.32260355272995,3.15602686352914,AD,ActHigh_up,Reactive astro,COL4A2 - CD44,Reactive astro | COL4A2 - CD44
CapEC_ActHigh,ANGPT2,TIE1,5.41576105236585,2.26586179774638,3.14989925461947,AD,ActHigh_up,Cap high,ANGPT2 - TIE1,Cap high | ANGPT2 - TIE1
CapEC_ActMid,ANGPT2,TEK,5.39733898463537,2.25579640723551,3.14154257739987,AD,ActHigh_up,Cap mid,ANGPT2 - TEK,Cap mid | ANGPT2 - TEK
CapEC_ActMid,ANGPT2,ITGA5_ITGB1,4.50998490446709,1.39463605682812,3.11534884763896,AD,ActHigh_up,Cap mid,ANGPT2 - ITGA5/ITGB1,Cap mid | ANGPT2 - ITGA5/ITGB1
CapEC_ActHigh,ANGPT2,TEK,5.32117122529365,2.22022890681623,3.10094231847742,AD,ActHigh_up,Cap high,ANGPT2 - TEK,Cap high | ANGPT2 - TEK
CapEC_ActLow,EDN1,ADGRL4,5.22735168692516,2.25998280122435,2.96736888570081,AD,ActHigh_up,Cap low,EDN1 - ADGRL4,Cap low | EDN1 - ADGRL4
