ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,subtype,family,database,neglog10_fdr,term_short
R-HSA-1474244,Extracellular matrix organization,60/448,300/11146,0.2,4.97589285714286,14.2852631971114,6.181865941138329e-26,6.577505361371179e-23,5.92808407618633e-23,LAMA2/COL15A1/COL12A1/FBLN1/COL6A3/FBN1/LTBP2/LAMB1/FBLN5/PRKCA/DCN/FBLN2/LAMA4/COL1A2/COL13A1/LAMC1/MMP2/THBS1/ITGA8/LAMA1/LAMC3/TNXB/FMOD/COL7A1/COL4A5/COL23A1/MFAP4/COL3A1/ELN/COL1A1/ADAM12/COL11A1/COL18A1/DDR2/ASPN/BMP1/COL5A1/PXDN/ADAM19/NID1/PCOLCE/COL8A1/COL6A2/NID2/ITGA11/ADAMTS8/ADAMTS2/LTBP4/PTPRS/DST/COL6A1/VCAN/SDC2/VCAM1/LOXL2/COL27A1/FGF2/TIMP2/PHYKPL/LTBP1,60,Venous,Cerebrovascular,Reactome,22.18193878924561,Extracellular matrix org.
GO:0043542,endothelial cell migration,48/875,287/18986,0.167247386759582,3.62898158287705,9.86409879249896,6.719308706993781e-15,4.36335109160409e-12,3.18106220102153e-12,ANXA3/ID1/BSG/CDH5/PTPRM/EDN1/SOX18/RGCC/NRP1/EMP2/JCAD/ANGPT2/TEK/RIN2/MEF2C/SCARB1/DLL4/CLEC14A/ACVRL1/PXN/MMRN2/DAB2IP/PDGFB/PIK3R3/RAC1/GATA2/NOS3/EFNA1/EFNB2/PIK3C2A/MYH9/SP100/VEGFC/ADAMTS9/ATOH8/KLF4/TMSB4X/NOTCH1/ITGB1/PRKD2/HDAC7/ETS1/FLT4/RHOA/EPHB4/PRKX/AKT3/NRP2,48,Capillary,Cerebrovascular,GO_BP,11.36017984064332,endothelial cell migration
GO:0002040,sprouting angiogenesis,31/875,196/18986,0.158163265306122,3.43187172011662,7.52217477715254,1.75806905149161e-09,2.0757201642043e-07,1.51328527446575e-07,FLT1/TGM2/CEMIP2/NRP1/JCAD/TEK/SEMA6A/KLF2/DLL4/CLEC14A/ACVRL1/RAMP2/LEF1/MMRN2/PIK3R3/GATA2/EFNB2/PIK3C2A/VEGFC/ADAMTS9/PPP1R16B/KLF4/NOTCH1/ITGB1/SMAD1/HDAC7/FLT4/RHOA/ITGA5/EPHB4/AKT3,31,Capillary,Cerebrovascular,GO_BP,6.6828311957819535,sprouting angiogenesis
GO:0050900,leukocyte migration,40/875,404/18986,0.099009900990099,2.14834512022631,5.12808241087294,4.75598013435177e-06,0.00016496087427444,0.00012026325427069,FLT1/PECAM1/ITGA6/NEDD9/CD34/BSG/EDN1/EMP2/LRCH1/DUSP1/S1PR1/ITGA1/YES1/MTUS1/ITGA2/PDGFB/APP/JAM2/RAC1/SWAP70/SOS1/STK10/PERP/PIP5K1C/MSN/MYH9/VEGFC/B4GALT1/LGALS3/ADAM10/F11R/ITGB1/SPNS2/PLCB1/PREX1/RHOA/GCNT1/ICAM1/CX3CL1/BCR,40,Capillary,Cerebrovascular,GO_BP,3.7826190503416037,leukocyte migration
R-HSA-1474244,Extracellular matrix organization,41/663,300/11146,0.136666666666667,2.29756661639015,5.72940468123089,4.61951444126483e-07,0.0003210562536679,0.00028908435108757,CD44/VCAN/TNC/ADAMTS9/LAMA2/COL21A1/LAMA4/SPARC/ITGB4/LAMA1/CASK/CAST/PXDN/FBN1/COL4A2/COL4A1/ACTN1/LTBP1/ELN/APP/P3H2/P4HA1/PLEC/DDR2/SH3PXD2A/COLGALT2/COL4A5/P4HA2/LAMC1/BGN/COL27A1/SERPINH1/ADAM12/ITGA3/PLOD2/ITGB8/TIMP2/LAMA5/PLOD3/ADAM17/PLOD1,41,Reactive,Astro,Reactome,3.4934188662956585,Extracellular matrix org.
R-HSA-1474290,Collagen formation,16/663,90/11146,0.177777777777778,2.98870454164572,4.76372313914127,7.07145625723629e-05,0.0075610186135064,0.0068080659836874,COL21A1/ITGB4/PXDN/COL4A2/COL4A1/P3H2/P4HA1/PLEC/COLGALT2/COL4A5/P4HA2/COL27A1/SERPINH1/PLOD2/PLOD3/PLOD1,16,Reactive,Astro,Reactome,2.1214196928023266,Collagen formation
GO:0045765,regulation of angiogenesis,21/478,360/18986,0.0583333333333333,2.31698047419805,4.05424780995073,0.00033842341044663,0.0114913549147214,0.0089454609077123,CHI3L1/ANGPTL4/EFNA1/F3/SULF1/PML/GADD45A/ADAM12/NRP1/FGF2/STAT1/ITGB1/HSPB1/STAT3/DAB2IP/SP1/SMAD1/RTN4/COL4A2/PGK1/RHOB,21,Intermediate,Astro,GO_BP,1.9396287617994978,reg. angiogenesis
GO:0051965,positive regulation of synapse assembly,13/545,65/18986,0.2,6.96733944954129,8.28469828243695,3.2640323162219e-08,6.77776310463478e-05,6.0487672554828e-05,FLRT2/NTRK2/NRXN1/ADGRB3/EPHB1/EFNA5/ADGRB1/LRRN3/SEMA4A/SLITRK2/SEMA4D/LRRN1/SRPX2,13,Homeostatic,Astro,GO_BP,4.168913614629335,pos. reg. synapse assembly
GO:0002697,regulation of immune effector process,23/314,410/18986,0.0560975609756098,3.39193723784372,6.34951147763199,3.81475441903355e-07,8.10735702318814e-05,6.33819861644411e-05,BCL6/ADGRE2/SLC7A5/VSIG4/DDX21/JAK3/XBP1/FCGR1A/LITAF/TFRC/NFKBIZ/UBE2J1/BST2/IL4R/HSPD1/JUNB/TNFRSF1B/B2M/RPS19/CADM1/HLA-C/YWHAG/HSPA8,23,DAM,Micro,GO_BP,4.091120701561922,reg. immune effector process
GO:0002274,myeloid leukocyte activation,17/314,247/18986,0.0688259109311741,4.16155651254545,6.48561143378116,8.29117366956034e-07,0.00010652152933179,8.32767827913904e-05,SLC11A1/HAMP/ADGRE2/VSIG4/IL15/CD93/SBNO2/PLSCR1/RBPJ/LCP2/FCGR3A/IL4R/HSPD1/FCER1G/PRKCE/ADAM9/LTBR,17,DAM,Micro,GO_BP,3.9725626070135176,myeloid leukocyte activation
