source,target,ligand,receptor,communication_strength_AD,communication_strength_CN,delta_AD_vs_CN,source_n_AD,source_n_CN,target_n_AD,target_n_CN,min_group_cell_count,source_family,target_family,lr_pair
Astro_Homeostatic,Astro_Homeostatic,ACTR2,LDLR,0.0,0.0,0.0,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ACTR2 - LDLR
Astro_Homeostatic,Astro_Homeostatic,ADAM10,AXL,0.0,0.195797486453313,-0.195797486453313,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM10 - AXL
Astro_Homeostatic,Astro_Homeostatic,ADAM10,CADM1,1.36759272744222,1.54752500170442,-0.17993227426220004,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM10 - CADM1
Astro_Homeostatic,Astro_Homeostatic,ADAM10,CD44,0.0,0.0,0.0,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM10 - CD44
Astro_Homeostatic,Astro_Homeostatic,ADAM10,IL6R,0.0,0.0451581014989806,-0.0451581014989806,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM10 - IL6R
Astro_Homeostatic,Astro_Homeostatic,ADAM10,NOTCH1,0.0,0.081471195378424,-0.081471195378424,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM10 - NOTCH1
Astro_Homeostatic,Astro_Homeostatic,ADAM10,NOTCH2,1.53411526946428,1.50681300655277,0.027302262911509834,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM10 - NOTCH2
Astro_Homeostatic,Astro_Homeostatic,ADAM10,NRCAM,0.705467566950044,0.829533325764447,-0.12406575881440307,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM10 - NRCAM
Astro_Homeostatic,Astro_Homeostatic,ADAM10,TSPAN12,0.0,0.0,0.0,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM10 - TSPAN12
Astro_Homeostatic,Astro_Homeostatic,ADAM10,TSPAN14,0.0,0.0,0.0,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM10 - TSPAN14
Astro_Homeostatic,Astro_Homeostatic,ADAM10,TSPAN15,0.0,0.0,0.0,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM10 - TSPAN15
Astro_Homeostatic,Astro_Homeostatic,ADAM10,TSPAN17,0.0,0.0,0.0,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM10 - TSPAN17
Astro_Homeostatic,Astro_Homeostatic,ADAM10,TSPAN5,0.0,0.0,0.0,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM10 - TSPAN5
Astro_Homeostatic,Astro_Homeostatic,ADAM12,ITGA9,0.0427634362832596,0.0,0.0427634362832596,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM12 - ITGA9
Astro_Homeostatic,Astro_Homeostatic,ADAM12,ITGB1,0.164745623572752,0.0649824300463853,0.09976319352636669,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM12 - ITGB1
Astro_Homeostatic,Astro_Homeostatic,ADAM12,SDC4,1.72850205212319,2.35858661267216,-0.63008456054897,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM12 - SDC4
Astro_Homeostatic,Astro_Homeostatic,ADAM15,ITGA9,0.0,0.0,0.0,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM15 - ITGA9
Astro_Homeostatic,Astro_Homeostatic,ADAM15,ITGAV,0.050606075279377,0.369625172486909,-0.319019097207532,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM15 - ITGAV
Astro_Homeostatic,Astro_Homeostatic,ADAM15,ITGB1,0.0,0.0,0.0,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM15 - ITGB1
Astro_Homeostatic,Astro_Homeostatic,ADAM17,ERBB4,1.3915572264747,1.43852761942334,-0.04697039294864003,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM17 - ERBB4
Astro_Homeostatic,Astro_Homeostatic,ADAM17,IL6R,0.217707453600843,0.425248354485674,-0.207540900884831,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM17 - IL6R
Astro_Homeostatic,Astro_Homeostatic,ADAM17,ITGB1,0.0,0.0,0.0,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM17 - ITGB1
Astro_Homeostatic,Astro_Homeostatic,ADAM17,NOTCH1,0.466164169095676,0.590078062664515,-0.12391389356883903,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM17 - NOTCH1
Astro_Homeostatic,Astro_Homeostatic,ADAM9,ITGA3,0.0,0.0,0.0,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM9 - ITGA3
Astro_Homeostatic,Astro_Homeostatic,ADAM9,ITGA6,0.0724873823022467,0.0970279694343418,-0.0245405871320951,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM9 - ITGA6
Astro_Homeostatic,Astro_Homeostatic,ADAM9,ITGAV,0.281466711802801,0.24232701004759,0.039139701755210976,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM9 - ITGAV
Astro_Homeostatic,Astro_Homeostatic,ADAM9,ITGB1,0.0,0.0,0.0,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM9 - ITGB1
Astro_Homeostatic,Astro_Homeostatic,ADAM9,ITGB5,0.412707039665497,0.397569258470988,0.015137781194508981,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADAM9 - ITGB5
Astro_Homeostatic,Astro_Homeostatic,ADGRB1,RTN4R,0.0,0.0455182428729742,-0.0455182428729742,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,ADGRB1 - RTN4R
Astro_Homeostatic,Astro_Homeostatic,AFDN,EPHB2,0.0,0.0970285911207926,-0.0970285911207926,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,AFDN - EPHB2
Astro_Homeostatic,Astro_Homeostatic,AFDN,EPHB3,0.0,0.421248062058336,-0.421248062058336,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,AFDN - EPHB3
Astro_Homeostatic,Astro_Homeostatic,AFDN,EPHB6,0.0,0.0,0.0,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,AFDN - EPHB6
Astro_Homeostatic,Astro_Homeostatic,AGRN,DAG1,0.284098818229997,0.350889554505472,-0.066790736275475,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,AGRN - DAG1
Astro_Homeostatic,Astro_Homeostatic,AGRN,ITGB1,0.0,0.0,0.0,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,AGRN - ITGB1
Astro_Homeostatic,Astro_Homeostatic,AGRN,LRP1,1.04931758552395,0.632043047702167,0.41727453782178303,7441,10219,7441,10219,7441,Astrocyte,Astrocyte,AGRN - LRP1
