lineage,group,gKO,hvg_n,gene_universe_size,gene_universe,gene,distance,Z,FC,p.value,p.adj,neglog10_fdr,sig_dr,sig_strict
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,RHBDF2,7.636255114413903e-7,2.498652367614159,80.7654591583194,2.5416191053575416e-19,2.5416191053575417e-16,15.59488953357587,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,SLC38A11,5.76080739532754e-7,2.3225410477977535,45.96545032339153,1.2035696281101692e-11,8.023797520734461e-9,8.09562003920215,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,NOTCH3,5.621089502742207e-7,2.3074838662771233,43.762871385066795,3.7067069300400574e-11,1.8282689846367456e-8,7.737959908192148,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,PDGFRB,5.594695856944895e-7,2.304602629591231,43.35286192047083,4.570672461591864e-11,1.8282689846367456e-8,7.737959908192148,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,PTH1R,5.258697358869026e-7,2.2668408183119464,38.30197457498316,6.060129425654997e-10,2.0200431418849986e-7,6.694639355265001,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,DGKB,4.96030252124798e-7,2.231485322190139,34.078552283687955,5.293148535424307e-9,1.5123281529783736e-6,5.820353963090913,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,GPC5,4.93666742419621e-7,2.2286057377551476,33.754567622169844,6.252207217179473e-9,1.5630518042948685e-6,5.806026627901117,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,RNF152,4.875430743921206e-7,2.221088269221716,32.92234727082667,9.591436151079231e-9,2.059340090670697e-6,5.686271925696195,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,GRM8,4.865207014365203e-7,2.219825128801916,32.784416375921964,1.0296700453353484e-8,2.059340090670697e-6,5.686271925696195,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,SLC6A12,4.747644947648609e-7,2.2051303869867307,31.21916434883017,2.304794921842944e-8,4.190536221532625e-6,5.377730401102318,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,INPP4B,4.588275909257592e-7,2.184691352847702,29.15841143783116,6.669555895334166e-8,1.0836162929522564e-5,4.965124473659114,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,CPM,4.5695053498047923e-7,2.182243166501704,28.92032629717348,7.541733470355929e-8,1.0836162929522564e-5,4.965124473659114,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,CNTN4,4.568623535328763e-7,2.1821279371743234,28.909165394743347,7.585314050665796e-8,1.0836162929522564e-5,4.965124473659114,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,GJC1,4.391324406954233e-7,2.158553216090739,26.708890743757,2.365306792706167e-7,3.0804450633746496e-5,4.5113865320048,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,PDE7B,4.38313874208554e-7,2.1574447491218303,26.60940993143936,2.490279049353068e-7,3.0804450633746496e-5,4.5113865320048,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,PLCE1,4.3751502104130626e-7,2.156361223505298,26.51250384853072,2.618378303868452e-7,3.0804450633746496e-5,4.5113865320048,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,GRM3,4.350090361342804e-7,2.152950920955203,26.209658666023568,3.0628674411888813e-7,3.403186045765424e-5,4.4681143081946075,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,CLMN,4.3349538710410147e-7,2.15088268778677,26.027578756049216,3.365749198325244e-7,3.5428938929739405e-5,4.450641854267432,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,COL4A3,4.284760396556377e-7,2.1439786372587797,25.42833304061407,4.591252507094163e-7,4.591252507094163e-5,4.33806882149623,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,CACNA1C,4.139731735860142e-7,2.123623408366316,23.736091414068888,1.1049096476298115e-6,1.0522949025045824e-4,3.977862533392821,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,LZTS1,4.114114447762021e-7,2.1199630542488275,23.443235275243644,1.2865432153018593e-6,1.1695847411835084e-4,3.9319683063087782,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,TRPC3,3.972644092212562e-7,2.0993810345798987,21.85868972109,2.9348450075400108e-6,2.552039136991314e-4,3.5931126697435727,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,SLC30A10,3.8621165898479523e-7,2.082848104020683,20.65929840586718,5.487006449117961e-6,4.430843730964516e-4,3.353513566595914,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,ISYNA1,3.860442782763839e-7,2.0825945557863093,20.641395172778836,5.538554663705645e-6,4.430843730964516e-4,3.353513566595914,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,COL4A4,3.813509357024343e-7,2.0754454916702767,20.14254956827533,7.1879686141552555e-6,5.477596359791125e-4,3.2614099737567654,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,ABCC9,3.805228644032792e-7,2.0741761357488637,20.055168856162748,7.523989561630219e-6,5.477596359791125e-4,3.2614099737567654,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,SGIP1,3.801772464315374e-7,2.073645618299074,20.01875433486406,7.668634903707574e-6,5.477596359791125e-4,3.2614099737567654,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,P2RY14,3.786304356879178e-7,2.0712660911687397,19.856186842286565,8.349207502779083e-6,5.758074139847644e-4,3.2397227475302834,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,LRRN2,3.775501342607489e-7,2.0695991493476384,19.743041866924106,8.858361958457783e-6,5.905574638971855e-4,3.22873783718808,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,COL5A3,3.76683459274052e-7,2.0682588105832602,19.652504691174357,9.288148146381549e-6,5.992353642826806e-4,3.2224025643679703,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,SLC19A1,3.738398302619498e-7,2.063841957462513,19.356906400576936,1.0842638908268334e-5,6.776649317667709e-4,3.1689849879238507,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,FRMD3,3.6927705395440114e-7,2.0566928299472003,18.88728150109199,1.3867415078257824e-5,8.159834510820573e-4,3.0883186490606294,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,PCBP3,3.6897330204610884e-7,2.056214152027449,18.856222499679156,1.4095054476251783e-5,8.159834510820573e-4,3.0883186490606294,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,PAG1,3.687303229751817e-7,2.055830995970884,18.831395994228803,1.4279710393936002e-5,8.159834510820573e-4,3.0883186490606294,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,GUCY1B1,3.579773553321909e-7,2.038648472348856,17.749082941020745,2.520389581608611e-5,0.001400216434227,2.853804829374963,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,HES4,3.5553588917374333e-7,2.0346841360800716,17.507805034331305,2.861306378693269e-5,0.00154665209659095,2.8106073653716495,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,DAAM2,3.445408671907267e-7,2.0165293133932227,16.44168385989043,5.016978333583076e-5,0.00264051491241214,2.5783113754733407,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,SLC6A1,3.360961120529621e-7,2.0022368050412576,15.645584251016484,7.63907425736267e-5,0.0039174739781347,2.4069938796558095,TRUE,TRUE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,NDUFA4L2,3.337158681502131e-7,1.9981513698054147,15.424763856851111,8.585578811395093e-5,0.00429278940569754,2.367260416479063,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,RIPOR3,3.330895501359587e-7,1.9970721111003615,15.36691978836327,8.852461188855787e-5,0.00431827375066135,2.3646898296643206,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,TBX2,3.3027455708387364e-7,1.992199264364679,15.108280733235093,1.0151700727160344e-4,0.00483414320340968,2.315680488489926,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,GUCY1A2,3.256809116130722e-7,1.9841686540947976,14.690934364029914,1.2665407691674988e-4,0.00589088729845348,2.229819285892076,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,SLC12A7,3.240511796230174e-7,1.9812956475598351,14.544273136194718,1.3690414966128467e-4,0.00622291589369475,2.2060060687168157,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,CDH6,3.211635423072476e-7,1.976173822724656,14.28621846674312,1.570102228454125e-4,0.00697823212646277,2.156254588117321,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,ATP1A2,3.1743395225126845e-7,1.9694984554611557,13.956340645915342,1.8710551341912437e-4,0.00813502232257062,2.089641251017726,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,CTDSPL,3.1591965901815305e-7,1.9667684450403988,13.823503039594526,2.0080851036091197e-4,0.00854504299408136,2.068285747800434,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,FAM13C,3.13104470329057e-7,1.9616624699618568,13.57823575519306,2.2882319960214592e-4,0.00953429998342274,2.0207111877251527,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,SNTB1,3.044912802926983e-7,1.945786269323556,12.841463714206572,3.3902231061413085e-4,0.01383764533118901,1.8589378048700778,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,LPL,3.023802542044589e-7,1.9418350342622936,12.66402222405097,3.727594207847124e-4,0.01491037683138849,1.8265113804420714,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,PDE1C,2.90785932830056e-7,1.919691974245409,11.711474971026686,6.211586509364337e-4,0.02435916278182093,1.6133376423726455,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,BGN,2.8867832576416536e-7,1.915583806621004,11.54232142437231,6.80296421109731e-4,0.02616524696575888,1.5822751617322608,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,SPECC1,2.8478726314572336e-7,1.9079296379155184,11.23326313869782,8.034425882828825e-4,0.02954510297644832,1.5295144919924775,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,CYSLTR2,2.847599714476541e-7,1.9078756285770753,11.231110232470856,8.043751223358976e-4,0.02954510297644832,1.5295144919924775,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,GPRC5C,2.845237021173829e-7,1.907407869590408,11.21248074582942,8.124903318523288e-4,0.02954510297644832,1.5295144919924775,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,DMD,2.8379665874730725e-7,1.905966348589402,11.15525145788608,8.379413161554216e-4,0.02992647557697934,1.523944426748093,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,MPPED2,2.814996653303951e-7,1.901390661984588,10.97540548384358,9.232905106281905e-4,0.0323961582676558,1.4895064880057693,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,UNC5C,2.8007837019452437e-7,1.8985429528720228,10.864855370689437,9.800640479905246e-4,0.03379531199967327,1.4711435397779378,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,ADARB2,2.776807120885827e-7,1.8937101218661476,10.679630749949316,0.00108321681199634,0.03671921396597789,1.4351066241454182,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,TXNIP,2.754293772278563e-7,1.8891387624328433,10.507159589625903,0.00118912901294249,0.0396376337647497,1.4018922793528803,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,GJA4,2.7190415309024916e-7,1.881914430548127,10.239918275987442,0.00137433676383908,0.04506022176521591,1.3462066752137738,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,PDE3A,2.7131843489204217e-7,1.880706145954085,10.19584946364911,0.00140757105329211,0.04540551784813285,1.342891366848134,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,CACHD1,2.708999782148171e-7,1.8798415038471363,10.164423429925154,0.00143176684133881,0.04545291559805772,1.342438253530338,TRUE,FALSE
Cerebrovascular cells,AD,GEM,2000,2000,technical-filtered protein-coding HVG,GPER1,2.683357673861405e-7,1.8745174152982056,9.9729108918757845,0.00158860140012884,0.04964379375402655,1.3041350373368212,TRUE,FALSE
