from,to,W,edge_sign,absW
PDGFRB,NOTCH3,0.959,Positive correlation,0.959
NOTCH3,PDGFRB,0.959,Positive correlation,0.959
SLC38A11,PDGFRB,0.949,Positive correlation,0.949
PDGFRB,SLC38A11,0.948,Positive correlation,0.948
SLC6A12,PDGFRB,0.943,Positive correlation,0.943
PDGFRB,SLC6A12,0.938,Positive correlation,0.938
GRM8,PDGFRB,0.929,Positive correlation,0.929
NOTCH3,SLC38A11,0.927,Positive correlation,0.927
SLC38A11,NOTCH3,0.927,Positive correlation,0.927
PDGFRB,GRM8,0.926,Positive correlation,0.926
GJC1,PDGFRB,0.916,Positive correlation,0.916
PDGFRB,GJC1,0.914,Positive correlation,0.914
GPC5,PDGFRB,0.912,Positive correlation,0.912
PDGFRB,GPC5,0.912,Positive correlation,0.912
SLC6A12,NOTCH3,0.909,Positive correlation,0.909
NOTCH3,SLC6A12,0.904,Positive correlation,0.904
SLC6A12,SLC38A11,0.898,Positive correlation,0.898
GJC1,NOTCH3,0.894,Positive correlation,0.894
RNF152,PDGFRB,0.894,Positive correlation,0.894
SLC38A11,SLC6A12,0.894,Positive correlation,0.894
GRM8,NOTCH3,0.893,Positive correlation,0.893
NOTCH3,GJC1,0.892,Positive correlation,0.892
PDGFRB,RNF152,0.89,Positive correlation,0.89
NOTCH3,GRM8,0.89,Positive correlation,0.89
GPC5,NOTCH3,0.885,Positive correlation,0.885
NOTCH3,GPC5,0.884,Positive correlation,0.884
GRM8,SLC38A11,0.883,Positive correlation,0.883
GJC1,SLC38A11,0.883,Positive correlation,0.883
SLC38A11,GJC1,0.882,Positive correlation,0.882
SLC38A11,GRM8,0.881,Positive correlation,0.881
CLMN,PDGFRB,0.878,Positive correlation,0.878
PTH1R,PDGFRB,0.876,Positive correlation,0.876
GPC5,SLC38A11,0.875,Positive correlation,0.875
SLC38A11,GPC5,0.875,Positive correlation,0.875
SLC6A12,GRM8,0.875,Positive correlation,0.875
PDGFRB,CLMN,0.875,Positive correlation,0.875
PDGFRB,PTH1R,0.874,Positive correlation,0.874
GRM8,SLC6A12,0.873,Positive correlation,0.873
PDE7B,PDGFRB,0.872,Positive correlation,0.872
PLCE1,PDGFRB,0.872,Positive correlation,0.872
PDGFRB,PLCE1,0.87,Positive correlation,0.87
SLC6A12,GJC1,0.869,Positive correlation,0.869
GJC1,SLC6A12,0.867,Positive correlation,0.867
PDGFRB,PDE7B,0.867,Positive correlation,0.867
GEM,PDGFRB,0.258,Positive correlation,0.258
GEM,NOTCH3,0.248,Positive correlation,0.248
GEM,SLC38A11,0.245,Positive correlation,0.245
GEM,SLC6A12,0.243,Positive correlation,0.243
GEM,GRM8,0.24,Positive correlation,0.24
GEM,GJC1,0.239,Positive correlation,0.239
GEM,GPC5,0.236,Positive correlation,0.236
GEM,RNF152,0.23,Positive correlation,0.23
GEM,CLMN,0.227,Positive correlation,0.227
GEM,PTH1R,0.226,Positive correlation,0.226
GEM,PLCE1,0.226,Positive correlation,0.226
GEM,PDE7B,0.224,Positive correlation,0.224
