name,distance,Z,FC,p.adj,neglog10_fdr,sig_dr,x,y,degree_scaled,node_size,T1,T2,T3,T4,T5,n_terms
GEM,6.174030830797091e-5,6.19400781404815,527961.6726649611,0,300,FALSE,-1.3,0,0,22,0,0,0,0,0,0
PDGFRB,5.594695856944895e-7,2.304602629591231,43.35286192047083,1.8282689846367456e-8,7.737959908192148,TRUE,-0.10410438462761085,-0.7115372598721255,0,8,0,0,0,0,0,0
NOTCH3,5.621089502742207e-7,2.3074838662771233,43.762871385066795,1.8282689846367456e-8,7.737959908192148,TRUE,0.06185464713819688,-0.36593019307747904,0,8,0,0,0,0,0,0
SLC38A11,5.76080739532754e-7,2.3225410477977535,45.96545032339153,8.023797520734461e-9,8.09562003920215,TRUE,-0.2799800536635828,-0.4892905548826661,0,8,0,0,0,0,0,0
SLC6A12,4.747644947648609e-7,2.2051303869867307,31.21916434883017,4.190536221532625e-6,5.377730401102318,TRUE,-0.5726079738238413,-1.0369370948376175,0,8,0,0,0.5,0.5,0,2
GRM8,4.865207014365203e-7,2.219825128801916,32.784416375921964,2.059340090670697e-6,5.686271925696195,TRUE,0.1198630095014197,-0.020371548587476522,0,8,0.5,0.5,0,0,0,2
GJC1,4.391324406954233e-7,2.158553216090739,26.708890743757,3.0804450633746496e-5,4.5113865320048,TRUE,-0.2940823537867594,-1.0856010726951286,0,8,0,0,0,0,0,0
RHBDF2,7.636255114413903e-7,2.498652367614159,80.7654591583194,2.5416191053575417e-16,15.59488953357587,TRUE,-0.4952684452969507,0.38039840633472843,0,8,0,0,0,0,0,0
PTH1R,5.258697358869026e-7,2.2668408183119464,38.30197457498316,2.0200431418849986e-7,6.694639355265001,TRUE,-0.9562409987320705,-1.1910658345178737,0,8,0.5,0.5,0,0,0,2
DGKB,4.96030252124798e-7,2.231485322190139,34.078552283687955,1.5123281529783736e-6,5.820353963090913,TRUE,-0.30445085232630553,0.7678782617029747,0,8,0.5,0.5,0,0,0,2
GPC5,4.93666742419621e-7,2.2286057377551476,33.754567622169844,1.5630518042948685e-6,5.806026627901117,TRUE,-1.329658661424711,-1.2898055739796692,0,8,0,0,0,0,0,0
RNF152,4.875430743921206e-7,2.221088269221716,32.92234727082667,2.059340090670697e-6,5.686271925696195,TRUE,-2.0345929140235004,1.0791141744115667,0,8,0,0,0,0,0,0
INPP4B,4.588275909257592e-7,2.184691352847702,29.15841143783116,1.0836162929522564e-5,4.965124473659114,TRUE,-0.6956593981709428,-0.28931274709779575,0,8,0,0,0,0,0,0
CPM,4.5695053498047923e-7,2.182243166501704,28.92032629717348,1.0836162929522564e-5,4.965124473659114,TRUE,-1.2901648580854372,0.8596083669121047,0,8,0,0,0,0,0,0
CNTN4,4.568623535328763e-7,2.1821279371743234,28.909165394743347,1.0836162929522564e-5,4.965124473659114,TRUE,-1.2790941271780323,-0.9195797219567753,0,8,0,0,0,0,0,0
PDE7B,4.38313874208554e-7,2.1574447491218303,26.60940993143936,3.0804450633746496e-5,4.5113865320048,TRUE,-2.5484266749417106,-0.40303448202558406,0,8,0.5,0.5,0,0,0,2
PLCE1,4.3751502104130626e-7,2.156361223505298,26.51250384853072,3.0804450633746496e-5,4.5113865320048,TRUE,-2.5922756280213766,0.024865598994515615,0,8,0,0,0,0,0,0
