model,selector,pipeline,cv,auc,p_value
ElasticNet_logistic,top12,top12+ElasticNet_logistic,10fold,0.905954134231012,1.2156849223154038e-22
Logistic_L1,top12,top12+Logistic_L1,10fold,0.904902167052388,1.5621142130013704e-22
Logistic_L2,top12,top12+Logistic_L2,10fold,0.9046917736166632,1.642320447880741e-22
Linear_SVM,top12,top12+Linear_SVM,10fold,0.8998527245949925,5.158676543646737e-22
Logistic_L2,top16,top16+Logistic_L2,10fold,0.8992215442878182,5.983329276441202e-22
ElasticNet_logistic,top16,top16+ElasticNet_logistic,10fold,0.8984851672627814,7.111408598165338e-22
Logistic_L1,top16,top16+Logistic_L1,10fold,0.8979591836734694,8.043648667034688e-22
Logistic_L2,all,all+Logistic_L2,10fold,0.8969072164948453,1.0285854395306867e-21
ElasticNet_logistic,all,all+ElasticNet_logistic,10fold,0.8958552493162213,1.3144703889134678e-21
Logistic_L1,all,all+Logistic_L1,10fold,0.8941721018304228,1.9435320335818396e-21
Linear_SVM,all,all+Linear_SVM,10fold,0.8921733641910373,3.0857262141262057e-21
Linear_SVM,top16,top16+Linear_SVM,10fold,0.8904902167052388,4.5461969585981176e-21
RBF_SVM,top16,top16+RBF_SVM,10fold,0.886387544708605,1.161152173103569e-20
ExtraTrees,all,all+ExtraTrees,10fold,0.884231011992426,1.8842647598241142e-20
ExtraTrees,top12,top12+ExtraTrees,10fold,0.8820744792762466,3.064734155843987e-20
RBF_SVM,top12,top12+RBF_SVM,10fold,0.8817588891226594,3.3058868864760984e-20
RBF_SVM,all,all+RBF_SVM,10fold,0.8761834630759521,1.1468506365519965e-19
ExtraTrees,top16,top16+ExtraTrees,10fold,0.8723963812329055,2.6293380744312323e-19
GradientBoosting,top12,top12+GradientBoosting,10fold,0.8699768567220703,4.485147637173354e-19
RandomForest,top12,top12+RandomForest,10fold,0.8655059962129181,1.1763319071055269e-18
RandomForest,all,all+RandomForest,10fold,0.8637176520092573,1.7249294537358607e-18
GradientBoosting,all,all+GradientBoosting,10fold,0.85945718493583,4.301541719323261e-18
RandomForest,top16,top16+RandomForest,10fold,0.8547759309909532,1.147861537406943e-17
GradientBoosting,top16,top16+GradientBoosting,10fold,0.851883021249737,2.1059460556136167e-17
KNN_5,top12,top12+KNN_5,10fold,0.8473595623816537,1.6235486209777803e-17
ElasticNet_logistic,top5,top5+ElasticNet_logistic,10fold,0.8375762676204502,3.867214451171289e-16
Logistic_L1,top5,top5+Logistic_L1,10fold,0.8366294971596886,4.669191209159009e-16
Logistic_L2,top5,top5+Logistic_L2,10fold,0.8354723332632022,5.87447543404996e-16
Logistic_L1,top3,top3+Logistic_L1,10fold,0.8304228908058068,1.5857640729367822e-15
ElasticNet_logistic,top3,top3+ElasticNet_logistic,10fold,0.8297917104986324,1.7934968096216712e-15
Logistic_L2,top3,top3+Logistic_L2,10fold,0.8285293498842836,2.2925930172499973e-15
Linear_SVM,top3,top3+Linear_SVM,10fold,0.8281085630128341,2.4876018951758735e-15
KNN_5,all,all+KNN_5,10fold,0.8276877761413844,9.56540656345875e-16
ElasticNet_logistic,top8,top8+ElasticNet_logistic,10fold,0.8261098253734483,3.660873767158516e-15
Linear_SVM,top5,top5+Linear_SVM,10fold,0.8261098253734482,3.660780683214811e-15
KNN_3,top12,top12+KNN_3,10fold,0.8257416368609298,3.8620505183092306e-16
Logistic_L2,top8,top8+Logistic_L2,10fold,0.8250578581948242,4.4823212798301665e-15
Logistic_L1,top8,top8+Logistic_L1,10fold,0.8241110877340626,5.375189599404629e-15
GaussianNB,top3,top3+GaussianNB,10fold,0.8232695139911634,6.31439266808625e-15
GaussianNB,top5,top5+GaussianNB,10fold,0.8204292026088786,1.0841014657928236e-14
KNN_5,top5,top5+KNN_5,10fold,0.8202188091731539,4.376434288597861e-15
ExtraTrees,top8,top8+ExtraTrees,10fold,0.8193772354302545,1.3174062425934652e-14
GaussianNB,top16,top16+GaussianNB,10fold,0.8161161371765201,2.4416001867837562e-14
GaussianNB,top12,top12+GaussianNB,10fold,0.8160109404586576,2.490161266254772e-14
KNN_5,top16,top16+KNN_5,10fold,0.8149589732800336,9.91398113000978e-15
GaussianNB,all,all+GaussianNB,10fold,0.8144329896907216,3.342141829632738e-14
RBF_SVM,top5,top5+RBF_SVM,10fold,0.8141173995371345,3.544150045488209e-14
KNN_3,top16,top16+KNN_3,10fold,0.813223227435304,5.50392178165619e-15
ExtraTrees,top5,top5+ExtraTrees,10fold,0.8128024405638544,4.507295699413631e-14
RBF_SVM,top3,top3+RBF_SVM,10fold,0.8127498422049232,4.567093884479852e-14
GradientBoosting,top3,top3+GradientBoosting,10fold,0.8118556701030928,5.387971891576757e-14
KNN_3,all,all+KNN_3,10fold,0.8100147275405007,8.926144592024131e-15
RandomForest,top8,top8+RandomForest,10fold,0.8095939406690512,8.139193016330971e-14
Linear_SVM,top8,top8+Linear_SVM,10fold,0.8080159899011151,1.089948642848605e-13
RandomForest,top5,top5+RandomForest,10fold,0.8050178834420365,1.87225861052417e-13
GaussianNB,top8,top8+GaussianNB,10fold,0.8040185146223437,2.2492376166031496e-13
GradientBoosting,top5,top5+GradientBoosting,10fold,0.8013885966757837,3.6045661520633763e-13
RBF_SVM,top8,top8+RBF_SVM,10fold,0.800126236061435,4.514078167252617e-13
KNN_5,top8,top8+KNN_5,10fold,0.7958657689880075,4.030886448713375e-13
GradientBoosting,top8,top8+GradientBoosting,10fold,0.7915001051967179,2.049457648721357e-12
RandomForest,top3,top3+RandomForest,10fold,0.7909741216074059,2.2384205150770428e-12
ExtraTrees,top3,top3+ExtraTrees,10fold,0.7898169577109194,2.7342346989756253e-12
KNN_3,top5,top5+KNN_3,10fold,0.7739848516726278,8.369563962538205e-12
KNN_3,top8,top8+KNN_3,10fold,0.7717231222385861,1.2344699871670646e-11
KNN_5,top3,top3+KNN_5,10fold,0.7661476961918787,6.65435845696573e-11
KNN_3,top3,top3+KNN_3,10fold,0.7379549758047549,2.9487786174348144e-09
