"gene","auc_AD_high","auc_oriented","direction","mean_CN","mean_AD","external_weight"
"PLCE1",0.824531874605512,0.824531874605512,"AD-high",7.26537688630612,7.66748802765979,0.0471670778652817
"PDGFRB",0.802387965495477,0.802387965495477,"AD-high",9.31831340419388,10.0097872834227,0.332808664094814
"SLC6A12",0.780507048180097,0.780507048180097,"AD-high",8.25260123382653,9.08546829972165,0.125322232371552
"PTH1R",0.760151483273722,0.760151483273722,"AD-high",8.62487749247959,9.50239121473196,0.243558491633767
"CPM",0.757626762045024,0.757626762045024,"AD-high",6.48137893627551,6.66268331584536,0.087648318339632
"GRM8",0.24474016410688,0.75525983589312,"CN-high",8.28315654627551,7.82572529925773,0.152280803947458
"RHBDF2",0.751209762255418,0.751209762255418,"AD-high",8.21384665442857,8.75933595820618,1
"DGKB",0.253313696612666,0.746686303387334,"CN-high",9.21338718090816,8.57281701260825,0.168840425190836
"CACNA1C",0.278771302335367,0.721228697664633,"CN-high",6.32345360684694,6.2282341602268,0
"GJC1",0.704660214601304,0.704660214601304,"AD-high",6.29883874230612,6.36002253890722,0.0487167023192673
"GPC5",0.318325268251631,0.681674731748369,"CN-high",9.12977453072449,8.78758525739175,0.165605651052589
"INPP4B",0.335840521775721,0.664159478224279,"CN-high",7.18437585483673,7.00573806175258,0.0895269699455278
"GRM3",0.358563012834,0.641436987166,"CN-high",8.98189667029592,8.79899615174227,0.0427287329472041
"CNTN4",0.361245529139491,0.638754470860509,"CN-high",6.56201496483673,6.43978589781443,0.0875602513262279
"SLC38A11",0.620713233747107,0.620713233747107,"AD-high",7.31643375015306,7.42921502620619,0.370356908828453
"RNF152",0.569009046917736,0.569009046917736,"AD-high",6.25445615477551,6.27397761481443,0.153369171312593
"PDE7B",0.479065853145382,0.520934146854618,"CN-high",8.70115327547959,8.68444647181443,0.0479317319204423
"COL4A3",0.482011361245529,0.517988638754471,"CN-high",6.4075406289898,6.41736284802062,0.0304066367864431
