Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,pref,display,neglog10_fdr,category
GO_Biological_Process_2023,G Protein-Coupled Glutamate Receptor Signaling Pathway (GO:0007216),2/12,6.232515501994467e-05,0.0084450585052025,0,0,221.88888888888889,2148.58238291385,GRM3;GRM8,GO_Biological_Process_2023,0,GPCR glutamate receptor signaling,2.0733973374016053,Pathway
Reactome_2022,Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499,2/40,0.0007243190568082,0.0166593383065891,0,0,58.30994152046784,421.5971209696659,GRM3;GRM8,Reactome_2022,0,Metabotropic glutamate receptors,1.7783422523592445,Pathway
GO_Biological_Process_2023,Glutamate Receptor Signaling Pathway (GO:0007215),2/35,0.0005541829397838,0.0187729470851771,0,0,67.16161616161617,503.57885305588366,GRM3;GRM8,GO_Biological_Process_2023,0,Glutamate receptor signaling,1.7264675439816584,Pathway
GO_Biological_Process_2023,"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)",2/55,0.0013666584956143,0.0370364452311483,0,0,41.77568134171908,275.5267677897696,GRM3;GRM8,GO_Biological_Process_2023,0,Synaptic transmission regulation,1.4313707037012897,Pathway
Reactome_2022,GPCR Downstream Signaling R-HSA-388396,5/619,0.0002943831250692,0.0166593383065891,0,0,10.51357220412595,85.48194972071671,GRM3;DGKB;GRM8;PTH1R;PDE7B,Reactome_2022,1,GPCR downstream signaling,1.7783422523592445,Pathway
Reactome_2022,Signaling By GPCR R-HSA-372790,5/689,0.0004819096188621,0.0166593383065891,0,0,9.403508771929824,71.82168649451921,GRM3;DGKB;GRM8;PTH1R;PDE7B,Reactome_2022,1,Signaling by GPCR,1.7783422523592445,Pathway
Reactome_2022,Signaling By PDGF R-HSA-186797,2/52,0.00122252374335,0.0200843186407512,0,0,44.28888888888889,297.0383992061624,PDGFRB;COL4A3,Reactome_2022,2,PDGF signaling,1.6971428970954299,Pathway
DSigDB,Quisqualate TTD 00010472,2/11,5.196871583395421e-05,0.0199559868802384,0,0,246.5555555555556,2432.238167772633,GRM3;GRM8,DSigDB,0,Quisqualate target set,1.6999267902530975,Drug target
Drug_Perturbations_from_GEO_down,cediranib 9933475 human GSE32569 sample 2642,4/301,0.000201415951053,0.0350463754832347,0,0,16.568181818181817,140.9975199770096,GJC1;CPM;SLC38A11;GPC5,Drug_Perturbations_from_GEO_down,1,Cediranib perturbation,1.4553568903656677,Drug target
DGIdb_Drug_Targets_2024,NINTEDANIB,1/13,0.0129260209528938,0.0396799016882645,0,0,87.57894736842105,380.8381798737429,PDGFRB,DGIdb_Drug_Targets_2024,2,Nintedanib target set,1.4014294125334115,Drug target
DGIdb_Drug_Targets_2024,NIMODIPINE,1/13,0.0129260209528938,0.0396799016882645,0,0,87.57894736842105,380.8381798737429,CACNA1C,DGIdb_Drug_Targets_2024,3,Nimodipine target set,1.4014294125334115,Drug target
DGIdb_Drug_Targets_2024,NISOLDIPINE,1/14,0.01391373176082,0.0396799016882645,0,0,80.83805668016194,345.57291333057793,CACNA1C,DGIdb_Drug_Targets_2024,4,Nisoldipine target set,1.4014294125334115,Drug target
DGIdb_Drug_Targets_2024,FELODIPINE,1/14,0.01391373176082,0.0396799016882645,0,0,80.83805668016194,345.57291333057793,CACNA1C,DGIdb_Drug_Targets_2024,5,Felodipine target set,1.4014294125334115,Drug target
DGIdb_Drug_Targets_2024,NILOTINIB,1/14,0.01391373176082,0.0396799016882645,0,0,80.83805668016194,345.57291333057793,PDGFRB,DGIdb_Drug_Targets_2024,6,Nilotinib target set,1.4014294125334115,Drug target
