source,category,drug_id,drug_name,n_targets_total,n_GEM_network_targets,GEM_network_targets,target_weight_sum,target_weight_mean,drug_priority_score
curated_GEM_network_axis,GEM-network,Vascular wall PDGF-NOTCH axis,Vascular wall PDGF-NOTCH axis,4,4,COL4A3;GJC1;NOTCH3;PDGFRB,0.7479759172440246,0.18699397931100614,0.9375
curated_GEM_network_axis,GEM-network,Ion-GPCR axis,Ion-GPCR axis,5,5,CACNA1C;GRM3;GRM8;PTH1R;SLC6A12,0.5638902608999812,0.11277805217999623,0.8400273673723228
curated_GEM_network_axis,GEM-network,Phosphoinositide-cGMP axis,Phosphoinositide-cGMP axis,4,4,DGKB;INPP4B;PDE7B;PLCE1,0.35346620492208813,0.08836655123052203,0.5946663510850726
drug2cell_ChEMBL,A,CHEMBL1201556,BECAPLERMIN,2,1,PDGFRB,0.3328086640948141,0.3328086640948141,0.28921470153570955
drug2cell_ChEMBL,L,CHEMBL608533,MIDOSTAURIN,17,1,PDGFRB,0.3328086640948141,0.3328086640948141,0.28921470153570955
drug2cell_ChEMBL,L,CHEMBL941,IMATINIB,17,1,PDGFRB,0.3328086640948141,0.3328086640948141,0.28921470153570955
drug2cell_ChEMBL,L,CHEMBL1421,DASATINIB,48,1,PDGFRB,0.3328086640948141,0.3328086640948141,0.28921470153570955
drug2cell_ChEMBL,L,CHEMBL1336,SORAFENIB,38,1,PDGFRB,0.3328086640948141,0.3328086640948141,0.28921470153570955
drug2cell_ChEMBL,L,CHEMBL477772,PAZOPANIB,27,1,PDGFRB,0.3328086640948141,0.3328086640948141,0.28921470153570955
drug2cell_ChEMBL,L,CHEMBL24828,VANDETANIB,50,1,PDGFRB,0.3328086640948141,0.3328086640948141,0.28921470153570955
drug2cell_ChEMBL,L,CHEMBL1946170,REGORAFENIB,19,1,PDGFRB,0.3328086640948141,0.3328086640948141,0.28921470153570955
drug2cell_ChEMBL,No-category,CHEMBL3039504,NINTEDANIB ESYLATE,9,1,PDGFRB,0.3328086640948141,0.3328086640948141,0.28921470153570955
drug2cell_ChEMBL,No-category,CHEMBL1567,SUNITINIB MALATE,9,1,PDGFRB,0.3328086640948141,0.3328086640948141,0.28921470153570955
drug2cell_ChEMBL,No-category,CHEMBL1200485,SORAFENIB TOSYLATE,16,1,PDGFRB,0.3328086640948141,0.3328086640948141,0.28921470153570955
drug2cell_ChEMBL,No-category,CHEMBL1201733,PAZOPANIB HYDROCHLORIDE,11,1,PDGFRB,0.3328086640948141,0.3328086640948141,0.28921470153570955
drug2cell_ChEMBL,No-category,CHEMBL1642,IMATINIB MESYLATE,7,1,PDGFRB,0.3328086640948141,0.3328086640948141,0.28921470153570955
drug2cell_ChEMBL,No-category,CHEMBL2105756,TIVOZANIB HYDROCHLORIDE,5,1,PDGFRB,0.3328086640948141,0.3328086640948141,0.28921470153570955
drug2cell_ChEMBL,H,CHEMBL3301581,ABALOPARATIDE,1,1,PTH1R,0.24355849163376725,0.24355849163376725,0.21165523636812444
drug2cell_ChEMBL,H,CHEMBL525610,TERIPARATIDE,1,1,PTH1R,0.24355849163376725,0.24355849163376725,0.21165523636812444
drug2cell_ChEMBL,H,CHEMBL1201549,TERIPARATIDE ACETATE,1,1,PTH1R,0.24355849163376725,0.24355849163376725,0.21165523636812444
drug2cell_ChEMBL,H,CHEMBL2108078,PARATHYROID HORMONE,1,1,PTH1R,0.24355849163376725,0.24355849163376725,0.21165523636812444
drug2cell_ChEMBL,C,CHEMBL628,PENTOXIFYLLINE,25,1,PDE7B,0.04793173192044233,0.04793173192044233,0.04165324715678393
drug2cell_ChEMBL,No-category,CHEMBL1200875,FLAVOXATE HYDROCHLORIDE,8,1,PDE7B,0.04793173192044233,0.04793173192044233,0.04165324715678393
drug2cell_ChEMBL,B,CHEMBL932,DIPYRIDAMOLE,49,1,PDE7B,0.04793173192044233,0.04793173192044233,0.04165324715678393
drug2cell_ChEMBL,S,CHEMBL2095222,OCRIPLASMIN,38,1,COL4A3,0.030406636786443068,0.030406636786443068,0.026423730304059985
drug2cell_ChEMBL,M,CHEMBL2108709,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,25,1,COL4A3,0.030406636786443068,0.030406636786443068,0.026423730304059985
drug2cell_ChEMBL,G,CHEMBL1734,SOLIFENACIN,6,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,G,CHEMBL386630,TESTOSTERONE,7,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,G,CHEMBL104,CLOTRIMAZOLE,25,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,G,CHEMBL363295,TERODILINE,4,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,A,CHEMBL1909324,PINAVERIUM,1,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,A,CHEMBL270190,ALVIMOPAN,2,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,C,CHEMBL6966,VERAPAMIL,7,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,C,CHEMBL475534,NITRENDIPINE,6,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,C,CHEMBL1484,NICARDIPINE,9,1,CACNA1C,0.0,0.0,0.0
