drug_name,drug_id,source,category,gene,edge_weight
SOLIFENACIN,CHEMBL1734,drug2cell_ChEMBL,G,CACNA1C,0.0
TESTOSTERONE,CHEMBL386630,drug2cell_ChEMBL,G,CACNA1C,0.0
CLOTRIMAZOLE,CHEMBL104,drug2cell_ChEMBL,G,CACNA1C,0.0
TERODILINE,CHEMBL363295,drug2cell_ChEMBL,G,CACNA1C,0.0
CLOTRIMAZOLE,CHEMBL104,drug2cell_ChEMBL,A,CACNA1C,0.0
BECAPLERMIN,CHEMBL1201556,drug2cell_ChEMBL,A,PDGFRB,0.3328086640948141
PINAVERIUM,CHEMBL1909324,drug2cell_ChEMBL,A,CACNA1C,0.0
ALVIMOPAN,CHEMBL270190,drug2cell_ChEMBL,A,CACNA1C,0.0
VERAPAMIL,CHEMBL6966,drug2cell_ChEMBL,C,CACNA1C,0.0
NITRENDIPINE,CHEMBL475534,drug2cell_ChEMBL,C,CACNA1C,0.0
NICARDIPINE,CHEMBL1484,drug2cell_ChEMBL,C,CACNA1C,0.0
FELODIPINE,CHEMBL1480,drug2cell_ChEMBL,C,CACNA1C,0.0
ISRADIPINE,CHEMBL1648,drug2cell_ChEMBL,C,CACNA1C,0.0
BEPRIDIL,CHEMBL1008,drug2cell_ChEMBL,C,CACNA1C,0.0
NISOLDIPINE,CHEMBL1726,drug2cell_ChEMBL,C,CACNA1C,0.0
NIFEDIPINE,CHEMBL193,drug2cell_ChEMBL,C,CACNA1C,0.0
AMLODIPINE,CHEMBL1491,drug2cell_ChEMBL,C,CACNA1C,0.0
MIBEFRADIL,CHEMBL45816,drug2cell_ChEMBL,C,CACNA1C,0.0
PENTOXIFYLLINE,CHEMBL628,drug2cell_ChEMBL,C,PDE7B,0.04793173192044233
DILTIAZEM,CHEMBL23,drug2cell_ChEMBL,C,CACNA1C,0.0
SULOCTIDIL,CHEMBL404849,drug2cell_ChEMBL,C,CACNA1C,0.0
AMIODARONE,CHEMBL633,drug2cell_ChEMBL,C,CACNA1C,0.0
QUINIDINE,CHEMBL1294,drug2cell_ChEMBL,C,CACNA1C,0.0
NIMODIPINE,CHEMBL1428,drug2cell_ChEMBL,C,CACNA1C,0.0
CLEVIDIPINE,CHEMBL1237132,drug2cell_ChEMBL,C,CACNA1C,0.0
PAROXETINE,CHEMBL490,drug2cell_ChEMBL,N,CACNA1C,0.0
FLUOXETINE,CHEMBL41,drug2cell_ChEMBL,N,CACNA1C,0.0
CHLORPROMAZINE,CHEMBL71,drug2cell_ChEMBL,N,CACNA1C,0.0
DROPERIDOL,CHEMBL1108,drug2cell_ChEMBL,N,CACNA1C,0.0
CINNARIZINE,CHEMBL43064,drug2cell_ChEMBL,N,CACNA1C,0.0
PREGABALIN,CHEMBL1059,drug2cell_ChEMBL,N,CACNA1C,0.0
THIORIDAZINE,CHEMBL479,drug2cell_ChEMBL,N,CACNA1C,0.0
