drug_name,drug_id,source,category,gene,edge_weight,drug_label,is_axis,drug_degree,score
BECAPLERMIN,CHEMBL1201556,drug2cell_ChEMBL,A,PDGFRB,0.3328086640948141,BECAPLERMIN,False,1,0.582808664094814
BECAPLERMIN,CHEMBL1201556,drug2cell_ChEMBL,D,PDGFRB,0.3328086640948141,BECAPLERMIN,False,1,0.582808664094814
MIDOSTAURIN,CHEMBL608533,drug2cell_ChEMBL,L,PDGFRB,0.3328086640948141,MIDOSTAURIN,False,1,0.582808664094814
IMATINIB,CHEMBL941,drug2cell_ChEMBL,L,PDGFRB,0.3328086640948141,IMATINIB,False,1,0.582808664094814
DASATINIB,CHEMBL1421,drug2cell_ChEMBL,L,PDGFRB,0.3328086640948141,DASATINIB,False,1,0.582808664094814
SORAFENIB,CHEMBL1336,drug2cell_ChEMBL,L,PDGFRB,0.3328086640948141,SORAFENIB,False,1,0.582808664094814
PAZOPANIB,CHEMBL477772,drug2cell_ChEMBL,L,PDGFRB,0.3328086640948141,PAZOPANIB,False,1,0.582808664094814
VANDETANIB,CHEMBL24828,drug2cell_ChEMBL,L,PDGFRB,0.3328086640948141,VANDETANIB,False,1,0.582808664094814
REGORAFENIB,CHEMBL1946170,drug2cell_ChEMBL,L,PDGFRB,0.3328086640948141,REGORAFENIB,False,1,0.582808664094814
NINTEDANIB ESYLATE,CHEMBL3039504,drug2cell_ChEMBL,No-category,PDGFRB,0.3328086640948141,Nintedanib Esylate,False,1,0.582808664094814
SUNITINIB MALATE,CHEMBL1567,drug2cell_ChEMBL,No-category,PDGFRB,0.3328086640948141,Sunitinib Malate,False,1,0.582808664094814
SORAFENIB TOSYLATE,CHEMBL1200485,drug2cell_ChEMBL,No-category,PDGFRB,0.3328086640948141,Sorafenib Tosylate,False,1,0.582808664094814
PAZOPANIB HYDROCHLORIDE,CHEMBL1201733,drug2cell_ChEMBL,No-category,PDGFRB,0.3328086640948141,Pazopanib Hydrochloride,False,1,0.582808664094814
IMATINIB MESYLATE,CHEMBL1642,drug2cell_ChEMBL,No-category,PDGFRB,0.3328086640948141,Imatinib Mesylate,False,1,0.582808664094814
TIVOZANIB HYDROCHLORIDE,CHEMBL2105756,drug2cell_ChEMBL,No-category,PDGFRB,0.3328086640948141,Tivozanib Hydrochloride,False,1,0.582808664094814
ABALOPARATIDE,CHEMBL3301581,drug2cell_ChEMBL,H,PTH1R,0.2435584916337672,Abaloparatide,False,1,0.4935584916337672
TERIPARATIDE,CHEMBL525610,drug2cell_ChEMBL,H,PTH1R,0.2435584916337672,TERIPARATIDE,False,1,0.4935584916337672
TERIPARATIDE ACETATE,CHEMBL1201549,drug2cell_ChEMBL,H,PTH1R,0.2435584916337672,TERIPARATIDE,False,1,0.4935584916337672
PARATHYROID HORMONE,CHEMBL2108078,drug2cell_ChEMBL,H,PTH1R,0.2435584916337672,PTH,False,1,0.4935584916337672
MIDOSTAURIN,CHEMBL608533,drug2cell_ChEMBL,L01,PDGFRB,0.3328086640948141,MIDOSTAURIN,False,1,0.582808664094814
IMATINIB,CHEMBL941,drug2cell_ChEMBL,L01,PDGFRB,0.3328086640948141,IMATINIB,False,1,0.582808664094814
DASATINIB,CHEMBL1421,drug2cell_ChEMBL,L01,PDGFRB,0.3328086640948141,DASATINIB,False,1,0.582808664094814
SORAFENIB,CHEMBL1336,drug2cell_ChEMBL,L01,PDGFRB,0.3328086640948141,SORAFENIB,False,1,0.582808664094814
PAZOPANIB,CHEMBL477772,drug2cell_ChEMBL,L01,PDGFRB,0.3328086640948141,PAZOPANIB,False,1,0.582808664094814
VANDETANIB,CHEMBL24828,drug2cell_ChEMBL,L01,PDGFRB,0.3328086640948141,VANDETANIB,False,1,0.582808664094814
REGORAFENIB,CHEMBL1946170,drug2cell_ChEMBL,L01,PDGFRB,0.3328086640948141,REGORAFENIB,False,1,0.582808664094814
BECAPLERMIN,CHEMBL1201556,drug2cell_ChEMBL,A01,PDGFRB,0.3328086640948141,BECAPLERMIN,False,1,0.582808664094814
TERIPARATIDE ACETATE,CHEMBL1201549,drug2cell_ChEMBL,H05,PTH1R,0.2435584916337672,TERIPARATIDE,False,1,0.4935584916337672
PARATHYROID HORMONE,CHEMBL2108078,drug2cell_ChEMBL,H05,PTH1R,0.2435584916337672,PTH,False,1,0.4935584916337672
ABALOPARATIDE,CHEMBL3301581,drug2cell_ChEMBL,H05,PTH1R,0.2435584916337672,Abaloparatide,False,1,0.4935584916337672
TERIPARATIDE,CHEMBL525610,drug2cell_ChEMBL,H05,PTH1R,0.2435584916337672,TERIPARATIDE,False,1,0.4935584916337672
BECAPLERMIN,CHEMBL1201556,drug2cell_ChEMBL,D03,PDGFRB,0.3328086640948141,BECAPLERMIN,False,1,0.582808664094814
Vascular wall PDGF-NOTCH axis,Vascular wall PDGF-NOTCH axis,curated_GEM_network_axis,GEM-network,NOTCH3,0.3360439140435002,PDGF-NOTCH axis,True,2,0.8360439140435002
Vascular wall PDGF-NOTCH axis,Vascular wall PDGF-NOTCH axis,curated_GEM_network_axis,GEM-network,PDGFRB,0.3328086640948141,PDGF-NOTCH axis,True,2,0.832808664094814
Ion-GPCR axis,Ion-GPCR axis,curated_GEM_network_axis,GEM-network,CACNA1C,0.0,Ion-GPCR axis,True,5,1.25
Ion-GPCR axis,Ion-GPCR axis,curated_GEM_network_axis,GEM-network,GRM3,0.0427287329472041,Ion-GPCR axis,True,5,1.2927287329472041
Ion-GPCR axis,Ion-GPCR axis,curated_GEM_network_axis,GEM-network,GRM8,0.1522808039474577,Ion-GPCR axis,True,5,1.4022808039474577
Ion-GPCR axis,Ion-GPCR axis,curated_GEM_network_axis,GEM-network,PTH1R,0.2435584916337672,Ion-GPCR axis,True,5,1.4935584916337672
Ion-GPCR axis,Ion-GPCR axis,curated_GEM_network_axis,GEM-network,SLC6A12,0.125322232371552,Ion-GPCR axis,True,5,1.375322232371552
Phosphoinositide-cGMP axis,Phosphoinositide-cGMP axis,curated_GEM_network_axis,GEM-network,DGKB,0.1688404251908363,PI-cGMP axis,True,3,0.9188404251908363
Phosphoinositide-cGMP axis,Phosphoinositide-cGMP axis,curated_GEM_network_axis,GEM-network,INPP4B,0.0895269699455277,PI-cGMP axis,True,3,0.8395269699455277
Phosphoinositide-cGMP axis,Phosphoinositide-cGMP axis,curated_GEM_network_axis,GEM-network,PDE7B,0.0479317319204423,PI-cGMP axis,True,3,0.7979317319204423
