gene,distance,Z,FC,p.adj,neglog10_fdr,sig_dr,display_rank,angle,radius,x,y,label_x,label_y,hjust_lab,node_size,lineage,group,gKO,hvg_n,gene_universe_size,gene_universe,p.value,sig_strict,node_class,gene_drug_weight,n_drug_sets,n_ChEMBL_sets
RHBDF2,7.636255114413903e-07,2.498652367614159,80.7654591583194,2.5416191053575417e-16,15.59488953357587,True,1,1.5707963267948966,1.0,6.123031769111885e-17,1.0,7.163947169860905e-17,1.17,0.0,6.4,Cerebrovascular cells,AD,GEM,2000.0,2000.0,technical-filtered protein-coding HVG,2.5416191053575416e-19,True,DR gene,1.0,0,0
SLC38A11,5.76080739532754e-07,2.322541047797753,45.96545032339153,8.023797520734461e-09,8.09562003920215,True,2,1.2566370614359172,1.0,0.3090169943749474,0.9510565162951536,0.3615498834186885,1.1127361240653295,0.0,4.334268175358655,Cerebrovascular cells,AD,GEM,2000.0,2000.0,technical-filtered protein-coding HVG,1.2035696281101692e-11,True,DR gene,0.37035690882845274,0,0
NOTCH3,5.621089502742207e-07,2.3074838662771238,43.7628713850668,1.8282689846367456e-08,7.737959908192148,True,3,0.942477796076938,1.0,0.5877852522924731,0.8090169943749475,0.6877087451821935,0.9465498834186884,0.0,4.235747924074572,Cerebrovascular cells,AD,GEM,2000.0,2000.0,technical-filtered protein-coding HVG,3.7067069300400574e-11,True,DR gene,0.3360439140435002,1,0
PDGFRB,5.594695856944895e-07,2.304602629591231,43.35286192047083,1.8282689846367456e-08,7.737959908192148,True,4,0.6283185307179586,1.0,0.8090169943749475,0.5877852522924731,0.9465498834186884,0.6877087451821935,0.0,4.235747924074572,Cerebrovascular cells,AD,GEM,2000.0,2000.0,technical-filtered protein-coding HVG,4.570672461591864e-11,True,DR gene,0.3328086640948141,15,24
PTH1R,5.258697358869026e-07,2.2668408183119464,38.30197457498316,2.0200431418849986e-07,6.694639355265001,True,5,0.3141592653589793,1.0,0.9510565162951536,0.3090169943749474,1.1127361240653295,0.3615498834186884,0.0,3.948357202738187,Cerebrovascular cells,AD,GEM,2000.0,2000.0,technical-filtered protein-coding HVG,6.060129425654997e-10,True,DR gene,0.24355849163376725,5,8
DGKB,4.96030252124798e-07,2.231485322190139,34.078552283687955,1.5123281529783736e-06,5.820353963090913,True,6,0.0,1.0,1.0,0.0,1.17,0.0,0.0,3.707528524719878,Cerebrovascular cells,AD,GEM,2000.0,2000.0,technical-filtered protein-coding HVG,5.293148535424307e-09,True,DR gene,0.1688404251908363,1,0
GPC5,4.93666742419621e-07,2.228605737755148,33.754567622169844,1.5630518042948685e-06,5.806026627901117,True,7,-0.3141592653589793,1.0,0.9510565162951536,-0.3090169943749474,1.1127361240653295,-0.3615498834186884,0.0,3.7035819493519617,Cerebrovascular cells,AD,GEM,2000.0,2000.0,technical-filtered protein-coding HVG,6.252207217179473e-09,True,DR gene,0.16560565105258862,0,0
RNF152,4.875430743921206e-07,2.221088269221716,32.92234727082667,2.059340090670697e-06,5.686271925696195,True,8,-0.6283185307179586,1.0,0.8090169943749475,-0.5877852522924731,0.9465498834186884,-0.6877087451821935,0.0,3.670594589759037,Cerebrovascular cells,AD,GEM,2000.0,2000.0,technical-filtered protein-coding HVG,9.591436151079231e-09,True,DR gene,0.1533691713125926,0,0
GRM8,4.865207014365203e-07,2.219825128801916,32.784416375921964,2.059340090670697e-06,5.686271925696195,True,9,-0.942477796076938,1.0,0.5877852522924731,-0.8090169943749475,0.6877087451821935,-0.9465498834186884,0.0,3.670594589759037,Cerebrovascular cells,AD,GEM,2000.0,2000.0,technical-filtered protein-coding HVG,1.0296700453353484e-08,True,DR gene,0.15228080394745774,1,0
SLC6A12,4.747644947648609e-07,2.2051303869867307,31.21916434883017,4.190536221532625e-06,5.377730401102318,True,10,-1.2566370614359172,1.0,0.3090169943749474,-0.9510565162951536,0.3615498834186885,-1.1127361240653295,0.0,3.5856044387776502,Cerebrovascular cells,AD,GEM,2000.0,2000.0,technical-filtered protein-coding HVG,2.304794921842944e-08,True,DR gene,0.12532223237155207,1,0
INPP4B,4.588275909257592e-07,2.184691352847702,29.15841143783116,1.0836162929522564e-05,4.965124473659114,True,11,-1.5707963267948966,0.86,5.2658073214362216e-17,-0.86,7.163947169860905e-17,-1.17,0.0,3.4719489425997168,Cerebrovascular cells,AD,GEM,2000.0,2000.0,technical-filtered protein-coding HVG,6.669555895334167e-08,True,DR gene,0.08952696994552778,1,0
