"metric","value"
"bulk_samples_total","195"
"bulk_CN_samples","98"
"bulk_AD_samples","97"
"bulk_apparent_auc","0.824"
"bulk_loocv_auc_AD_positive","0.817"
"best_single_gene_oriented_auc","0.825"
"lasso_cv_auc_AD_positive","0.878"
"lasso_lambda_used","0.076447"
"primary_ROC_source","bulk GSE132903 transcriptomic cohort"
"ROC_positive_class","AD"
"spatial_predictive_claim_allowed","FALSE"
"primary_interpretation","bulk-anchored GEM/scTenifoldKnk perturbation-module signature; spatial context only"
