ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Description_clean
GO_Biological_Process_2023::Monoatomic Cation Transmembrane Transport (GO:0098655),GO_Biological_Process_2023::Monoatomic Cation Transmembrane Transport (GO:0098655),8/49,51/1677,0.1568627450980392,5.368547418967587,5.4950255803456365,7.248452999087965e-5,0.01834661543433624,0.016975359149770376,SLC6A12/CACNA1C/TRPC3/SLC30A10/ABCC9/SLC6A1/SLC12A7/ATP1A2,8,Monoatomic Cation Transmembrane Transport
GO_Biological_Process_2023::Inorganic Cation Transmembrane Transport (GO:0098662),GO_Biological_Process_2023::Inorganic Cation Transmembrane Transport (GO:0098662),8/49,52/1677,0.15384615384615385,5.26530612244898,5.419173332056115,8.377449970016548e-5,0.01834661543433624,0.016975359149770376,SLC6A12/CACNA1C/TRPC3/SLC30A10/ABCC9/SLC6A1/SLC12A7/ATP1A2,8,Inorganic Cation Transmembrane Transport
GO_Biological_Process_2023::cGMP-mediated Signaling (GO:0019934),GO_Biological_Process_2023::cGMP-mediated Signaling (GO:0019934),3/49,5/1677,0.6,20.534693877551017,7.587196333292662,2.2523387201461612e-4,0.01973048718848037,0.018255798047500466,GUCY1B1/GUCY1A2/PDE3A,3,Cgmp-Mediated Signaling
GO_Biological_Process_2023::Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),GO_Biological_Process_2023::Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),3/49,5/1677,0.6,20.534693877551017,7.587196333292662,2.2523387201461612e-4,0.01973048718848037,0.018255798047500466,CACNA1C/ATP1A2/DMD,3,Regulation of Cardiac Muscle Contraction by Calcium Ion Signaling
GO_Biological_Process_2023::Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),GO_Biological_Process_2023::Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),3/49,5/1677,0.6,20.534693877551017,7.587196333292662,2.2523387201461612e-4,0.01973048718848037,0.018255798047500466,CACNA1C/ATP1A2/DMD,3,Regulation of Cardiac Muscle Contraction by Regulation of the Release of Sequestered Calcium Ion
GO_Biological_Process_2023::Inorganic Cation Import Across Plasma Membrane (GO:0098659),GO_Biological_Process_2023::Inorganic Cation Import Across Plasma Membrane (GO:0098659),5/49,23/1677,0.21739130434782608,7.440106477373558,5.393827586153805,3.920049036432055e-4,0.028616357965954003,0.026477524193444586,CACNA1C/ABCC9/SLC6A1/SLC12A7/ATP1A2,5,Inorganic Cation Import Across Plasma Membrane
GO_Biological_Process_2023::Cyclic-Nucleotide-Mediated Signaling (GO:0019935),GO_Biological_Process_2023::Cyclic-Nucleotide-Mediated Signaling (GO:0019935),4/49,14/1677,0.2857142857142857,9.778425655976676,5.720610456274114,5.198344213887842e-4,0.03252678236689821,0.030095677027771717,PDE7B/GUCY1B1/GUCY1A2/PDE3A,4,Cyclic-Nucleotide-Mediated Signaling
GO_Biological_Process_2023::Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),GO_Biological_Process_2023::Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),3/49,7/1677,0.42857142857142855,14.667638483965014,6.2848094427324,7.562344031767255e-4,0.04140383357392572,0.03830924279250517,CACNA1C/ATP1A2/DMD,3,Regulation of Release of Sequestered Calcium Ion into Cytosol by Sarcoplasmic Reticulum
GO_Biological_Process_2023::Cell Communication By Electrical Coupling Involved In Cardiac Conduction (GO:0086064),GO_Biological_Process_2023::Cell Communication By Electrical Coupling Involved In Cardiac Conduction (GO:0086064),3/49,8/1677,0.375,12.834183673469388,5.819195897551446,0.0011851322618802436,0.05767643674483852,0.05336560477472443,GJC1/CACNA1C/ATP1A2,3,Cell Communication by Electrical Coupling Involved in Cardiac Conduction
GO_Biological_Process_2023::Cardiac Muscle Cell Action Potential (GO:0086001),GO_Biological_Process_2023::Cardiac Muscle Cell Action Potential (GO:0086001),3/49,9/1677,0.3333333333333333,11.408163265306122,5.430066828321251,0.001741234698210031,0.07626607978159936,0.07056582724324863,CACNA1C/ATP1A2/DMD,3,Cardiac Muscle Cell Action Potential
