trajectory,trajectory_label,sample_id,Group,n_cells,mean_pseudotime,median_pseudotime,q25_pseudotime,q75_pseudotime
astro,Astrocytes,D1_NC1,CN,553,0.4559297763833601,0.3948891149494953,0.3591469944345078,0.4384315740547664
astro,Astrocytes,D1_NC10,CN,757,0.3526131460072838,0.3106705740077081,0.2474018699229647,0.388896973244956
astro,Astrocytes,D1_NC11,CN,686,0.4218314385010954,0.3059154109437282,0.2510450819423548,0.444402621917849
astro,Astrocytes,D1_NC12,CN,364,0.3371257236138719,0.2547682269496536,0.1858340450104344,0.3655168277059349
astro,Astrocytes,D1_NC13,CN,400,0.25203314507334,0.1973320072959505,0.1371427208250204,0.2744046852103319
astro,Astrocytes,D1_NC14,CN,600,0.379075158565236,0.3515282864903782,0.3077380381040522,0.3927273614292437
astro,Astrocytes,D1_NC15,CN,565,0.6131638461198395,0.6128150918351725,0.5532867805136044,0.6646388887451732
astro,Astrocytes,D1_NC16,CN,572,0.4597542175221427,0.4150045599379787,0.3585039229625941,0.4745386702025339
astro,Astrocytes,D1_NC17,CN,666,0.2717603072950246,0.2086652587304032,0.1276950053925504,0.3149465714561815
astro,Astrocytes,D1_NC18,CN,343,0.2870182190327792,0.2111440757940768,0.1444033999421076,0.3370956267414809
astro,Astrocytes,D1_NC19,CN,430,0.3229990059405933,0.3065783687651141,0.2433398221653649,0.366602318278026
astro,Astrocytes,D1_NC2,CN,349,0.3860252430576334,0.3868279580905714,0.2801207882843036,0.4754696763371582
astro,Astrocytes,D1_NC20,CN,64,0.3890693369025682,0.3622659909522557,0.2758876344403154,0.4546018445838977
astro,Astrocytes,D1_NC21,CN,230,0.3996480458465727,0.3301992673356018,0.2230036148460463,0.4826174176854286
astro,Astrocytes,D1_NC22,CN,722,0.6747188988576032,0.6569869673178171,0.6102309769982629,0.7121651545996446
astro,Astrocytes,D1_NC23,CN,636,0.5873156572320352,0.5589689247389271,0.5139597951844999,0.6279720231651104
astro,Astrocytes,D1_NC24,CN,378,0.301313944496281,0.295221414710226,0.2222962332454795,0.3540304483990844
astro,Astrocytes,D1_NC25,CN,338,0.3304312074549903,0.2923022357549412,0.2425604680796019,0.3570602843049931
astro,Astrocytes,D1_NC26,CN,687,0.7222576449891668,0.6859503172759787,0.6305929814148541,0.8166049451516386
astro,Astrocytes,D1_NC27,CN,192,0.6023582056399206,0.5101456261518058,0.439374714738469,0.8291244232950329
astro,Astrocytes,D1_NC3,CN,419,0.233478169575378,0.19137209519228,0.1301297117305205,0.2618784764171725
astro,Astrocytes,D1_NC4,CN,346,0.5917117242368131,0.4499093667519498,0.3789732674536792,0.9494641738788624
astro,Astrocytes,D1_NC5,CN,515,0.2320106365351125,0.2009678103830411,0.1430284690691525,0.2711483774744516
astro,Astrocytes,D1_NC6,CN,463,0.2551349997879997,0.2037987082576854,0.1346435552853127,0.2735120803022746
astro,Astrocytes,D1_NC7,CN,456,0.6127254077583869,0.5746828229271718,0.517503016432462,0.6705484588682082
astro,Astrocytes,D1_NC8,CN,717,0.5717870960965552,0.5703425600719707,0.5011713966503228,0.6465364670605362
astro,Astrocytes,D1_NC9,CN,453,0.3757546900065424,0.3316284608113148,0.2844633468650059,0.3913621650287062
astro,Astrocytes,D1_AD1,AD,486,0.6841382589660001,0.6806589830489796,0.6379651075699131,0.7154717521405809
astro,Astrocytes,D1_AD10,AD,611,0.3862414815449995,0.3871848986840969,0.315367389866415,0.4549004230648416
astro,Astrocytes,D1_AD11,AD,565,0.3450780437537227,0.2743554165559049,0.2051701210058464,0.3695856881034963
astro,Astrocytes,D1_AD12,AD,477,0.5378027077170496,0.432329893447737,0.3663504443944557,0.6927564874657357
astro,Astrocytes,D1_AD13,AD,897,0.230834538131084,0.1837199352479888,0.1311555730688118,0.2556416163371189
astro,Astrocytes,D1_AD14,AD,564,0.341627456159469,0.3175726876346489,0.227789949091995,0.4147089331041079
