sample_id,group,CellType,mean_prop,median_prop,sd_prop,CellType_label
1-1,CN,Astro_Homeostatic,0.0584697151746014,0.0548620308072615,0.0478046181374314,Homeostatic astrocytes
1-1,CN,Astro_Intermediate,0.00906644305386,8.59310071561129e-05,0.024975141654566,Intermediate astrocytes
1-1,CN,Astro_Reactive,0.0223959149781214,8.80015209907919e-05,0.0467997852513844,Reactive astrocytes
1-1,CN,Endo_Arterial,0.0051782799952192,8.88282273146465e-05,0.0101842985627716,Arterial EC
1-1,CN,Endo_Capillary,0.0154955420619572,0.0106624435767122,0.0183258084874019,Capillary EC
1-1,CN,Endo_Pericyte,0.0197386474663696,0.0119233670069275,0.0250954278940425,Pericytes
1-1,CN,Endo_SMC,0.211723707407361,0.203597679137668,0.0523511554280803,Vascular SMC
1-1,CN,Endo_Venous,0.00562694639078,8.86896426897245e-05,0.0124049729273625,Venous EC
1-1,CN,Excitatory,0.460500102010015,0.53658233416528,0.222490033395274,Excitatory
1-1,CN,Inhibitory,0.0133004462219936,9.97452203987482e-05,0.0309489931710552,Inhibitory
1-1,CN,Micro_DAM,0.0069612218198172,9.1381214683449e-05,0.013441485039545,DAM-like microglia
1-1,CN,Micro_Homeostatic,0.0060285227491809,8.96810126321442e-05,0.0124030806171406,Homeostatic microglia
1-1,CN,OPCs,0.0079599956388584,9.06607918773212e-05,0.0166017294930891,OPCs
1-1,CN,Oligodendrocytes,0.157554515031865,0.0799902219315288,0.175430637496016,Oligodendrocytes
18-64,CN,Astro_Homeostatic,0.136611078770716,0.136892228911717,0.0563879745007115,Homeostatic astrocytes
18-64,CN,Astro_Intermediate,0.0127917169429573,0.0001202255920945,0.0263391109456785,Intermediate astrocytes
18-64,CN,Astro_Reactive,0.0121013666124627,0.0001207696356545,0.0279991877219426,Reactive astrocytes
18-64,CN,Endo_Arterial,0.0044806970289314,0.0001215905805392,0.008563644325733,Arterial EC
18-64,CN,Endo_Capillary,0.0684998993586969,0.0657793148772343,0.029059490515498,Capillary EC
18-64,CN,Endo_Pericyte,0.0462443548777127,0.0433560654969261,0.0322448226227458,Pericytes
18-64,CN,Endo_SMC,0.18869700330487,0.187249341218761,0.0335440636614091,Vascular SMC
18-64,CN,Endo_Venous,0.0050310565238279,0.0001210988372929,0.0104902545546719,Venous EC
18-64,CN,Excitatory,0.474916853433574,0.471961119720485,0.0767594505109693,Excitatory
18-64,CN,Inhibitory,0.0063266527160993,0.0001215046790672,0.0147732305894752,Inhibitory
18-64,CN,Micro_DAM,0.0170933529874614,0.0121004915635301,0.0203750803711892,DAM-like microglia
18-64,CN,Micro_Homeostatic,0.0097822624823527,0.0001256948757106,0.0166843758308152,Homeostatic microglia
18-64,CN,OPCs,0.0074664593600583,0.0001272566533956,0.0144415463520596,OPCs
18-64,CN,Oligodendrocytes,0.0099572456002796,0.0042403810408331,0.0174749024081283,Oligodendrocytes
2-3,AD,Astro_Homeostatic,0.0964254897354258,0.0898839145078799,0.0689233821176523,Homeostatic astrocytes
2-3,AD,Astro_Intermediate,0.0079781894125575,0.0001244959198058,0.0179029382031999,Intermediate astrocytes
2-3,AD,Astro_Reactive,0.0150544344573377,0.0001291959654511,0.0331822541123134,Reactive astrocytes
2-3,AD,Endo_Arterial,0.003602579310625,0.000127227374377,0.0067034889999304,Arterial EC
2-3,AD,Endo_Capillary,0.0176141114261509,0.0040091466627585,0.0277617763710137,Capillary EC
2-3,AD,Endo_Pericyte,0.236063342198205,0.233840197938759,0.0605270730161461,Pericytes
2-3,AD,Endo_SMC,0.0105713876089237,0.0053217955444325,0.0157494066381369,Vascular SMC
2-3,AD,Endo_Venous,0.0062611864134514,0.0001271838922836,0.0125788970307303,Venous EC
2-3,AD,Excitatory,0.420791895144077,0.437168423138514,0.14934163209701,Excitatory
2-3,AD,Inhibitory,0.0086578589644755,0.0001274730779282,0.019758524949607,Inhibitory
2-3,AD,Micro_DAM,0.0313987956254661,0.0229604590549054,0.0338179376946232,DAM-like microglia
2-3,AD,Micro_Homeostatic,0.012082846623147,0.0001799894881961,0.019315262424615,Homeostatic microglia
2-3,AD,OPCs,0.0070980636276717,0.0001302704513765,0.0156459326267909,OPCs
2-3,AD,Oligodendrocytes,0.126399819452485,0.0987514697945055,0.103140480969018,Oligodendrocytes
2-5,CN,Astro_Homeostatic,0.077895674867346,0.0708970795458596,0.0663681361147603,Homeostatic astrocytes
2-5,CN,Astro_Intermediate,0.0145583789777037,0.0001228815625316,0.0317611988869122,Intermediate astrocytes
2-5,CN,Astro_Reactive,0.0556346346140025,0.0158134273371282,0.0754410507140531,Reactive astrocytes
2-5,CN,Endo_Arterial,0.0061974986993161,0.0001227355135873,0.0165904285451187,Arterial EC
2-5,CN,Endo_Capillary,0.0710036299589478,0.0651372782673783,0.0463265259459774,Capillary EC
2-5,CN,Endo_Pericyte,0.0498846744386155,0.0371606934215784,0.0477980605693677,Pericytes
2-5,CN,Endo_SMC,0.183106158915507,0.16851166115627,0.0581196198467747,Vascular SMC
2-5,CN,Endo_Venous,0.0061171112153083,0.0001214367766047,0.0172011824112296,Venous EC
2-5,CN,Excitatory,0.374695948736929,0.361796393886784,0.202358824951766,Excitatory
2-5,CN,Inhibitory,0.0148225738102935,0.0001221769417687,0.0293735873504191,Inhibitory
2-5,CN,Micro_DAM,0.0301588134560211,0.0221266131504625,0.0332493231307404,DAM-like microglia
2-5,CN,Micro_Homeostatic,0.0118288082749758,0.0001300848022421,0.0255365607697405,Homeostatic microglia
2-5,CN,OPCs,0.0102518014418439,0.0001268975444684,0.0248313328081469,OPCs
2-5,CN,Oligodendrocytes,0.0938442925931897,0.0374590475886423,0.121622352198789,Oligodendrocytes
2-8,AD,Astro_Homeostatic,0.0867929439981283,0.0859838922838569,0.0614311965656983,Homeostatic astrocytes
2-8,AD,Astro_Intermediate,0.0096002483751787,0.0001192781980749,0.0206653341841903,Intermediate astrocytes
2-8,AD,Astro_Reactive,0.0243076165557545,0.0023745622923578,0.0375882610903149,Reactive astrocytes
2-8,AD,Endo_Arterial,0.0035867494655338,0.0001215548215687,0.0073486955576486,Arterial EC
2-8,AD,Endo_Capillary,0.0421640928850327,0.039983206622684,0.02503465591172,Capillary EC
2-8,AD,Endo_Pericyte,0.0335561121765718,0.0293809521428172,0.0288420437303897,Pericytes
2-8,AD,Endo_SMC,0.160583422619816,0.155345192206252,0.0406941343121148,Vascular SMC
2-8,AD,Endo_Venous,0.0043086409011689,0.0001216320373391,0.0088181584988872,Venous EC
2-8,AD,Excitatory,0.402224472159055,0.438608421866995,0.165628815981458,Excitatory
2-8,AD,Inhibitory,0.0083790431061114,0.0001231672457184,0.0185827205182981,Inhibitory
2-8,AD,Micro_DAM,0.0263188961834795,0.0231855907232232,0.0244750786945,DAM-like microglia
2-8,AD,Micro_Homeostatic,0.014487238289027,0.0021288257820444,0.0206352000404378,Homeostatic microglia
2-8,AD,OPCs,0.0097241205161658,0.0022529339455638,0.0163030684170048,OPCs
2-8,AD,Oligodendrocytes,0.173966402768976,0.108936109016948,0.140069061240889,Oligodendrocytes
T4857,AD,Astro_Homeostatic,0.0757592050001412,0.0751541833356915,0.0476879167431611,Homeostatic astrocytes
T4857,AD,Astro_Intermediate,0.0095183926494998,0.0001197985427085,0.0193477458557016,Intermediate astrocytes
T4857,AD,Astro_Reactive,0.0297784530775485,0.0098557822282839,0.0440242622869854,Reactive astrocytes
T4857,AD,Endo_Arterial,0.0047901005038382,0.0001208523284234,0.0114106575242254,Arterial EC
T4857,AD,Endo_Capillary,0.0443842817773197,0.0417495017317276,0.0271171864012379,Capillary EC
T4857,AD,Endo_Pericyte,0.0153773249406018,0.007209295487924,0.0218449401031023,Pericytes
T4857,AD,Endo_SMC,0.226424173784129,0.21332120657226,0.061196163105091,Vascular SMC
T4857,AD,Endo_Venous,0.0044581967782309,0.0001142321198851,0.0111208188541717,Venous EC
