CellType,AD_mean,CN_mean,AD_median,CN_median,log2FC,p_value,test,FDR,CellType_label
Endo_Arterial,0.0039931430933323,0.0052854919078222,0.003602579310625,0.0051782799952192,-0.404424654533341,0.190430263825524,Wilcoxon rank-sum on sample-level means,0.888674564519112,Arterial EC
Micro_DAM,0.033524998555883,0.0180711294210999,0.0313987956254661,0.0170933529874614,0.891513795208463,0.190430263825524,Wilcoxon rank-sum on sample-level means,0.888674564519112,DAM-like microglia
Micro_Homeostatic,0.0139147082099476,0.0092131978355031,0.014487238289027,0.0097822624823527,0.594783854294515,0.0808555983700523,Wilcoxon rank-sum on sample-level means,0.888674564519112,Homeostatic microglia
Astro_Intermediate,0.009032276812412,0.0121388463248403,0.0095183926494998,0.0127917169429573,-0.426428835017649,0.382733088885226,Wilcoxon rank-sum on sample-level means,0.92752881695608,Intermediate astrocytes
Endo_Capillary,0.0347208286961678,0.0516663571265339,0.0421640928850327,0.0684998993586969,-0.573410157067201,0.662520583540057,Wilcoxon rank-sum on sample-level means,0.92752881695608,Capillary EC
Endo_SMC,0.13252632800429,0.194508956542579,0.160583422619816,0.18869700330487,-0.553554121997291,0.662520583540057,Wilcoxon rank-sum on sample-level means,0.92752881695608,Vascular SMC
Endo_Venous,0.0050093413642837,0.0055917047099721,0.0044581967782309,0.00562694639078,-0.158637258886495,0.662520583540057,Wilcoxon rank-sum on sample-level means,0.92752881695608,Venous EC
Excitatory,0.426955026722066,0.436704301393506,0.420791895144077,0.460500102010015,-0.0325725541559984,0.662520583540057,Wilcoxon rank-sum on sample-level means,0.92752881695608,Excitatory
Inhibitory,0.0091436872000404,0.0114832242494621,0.0086578589644755,0.0133004462219936,-0.328647679453297,0.662520583540057,Wilcoxon rank-sum on sample-level means,0.92752881695608,Inhibitory
Oligodendrocytes,0.118202049352442,0.0871186844084446,0.126399819452485,0.0938442925931897,0.440196621028176,0.662520583540057,Wilcoxon rank-sum on sample-level means,0.92752881695608,Oligodendrocytes
Astro_Homeostatic,0.0863258795778984,0.0909921562708877,0.0867929439981283,0.077895674867346,-0.0759482012442807,1.0,Wilcoxon rank-sum on sample-level means,1.0,Homeostatic astrocytes
Astro_Reactive,0.0230468346968802,0.0300439720681956,0.0243076165557545,0.0223959149781214,-0.382492362261907,1.0,Wilcoxon rank-sum on sample-level means,1.0,Reactive astrocytes
Endo_Pericyte,0.0949989264384595,0.0386225589275659,0.0335561121765718,0.0462443548777127,1.29844529027437,1.0,Wilcoxon rank-sum on sample-level means,1.0,Pericytes
OPCs,0.0086059712758973,0.0085594188135868,0.0089957296838543,0.0079599956388584,0.0078242727384095,1.0,Wilcoxon rank-sum on sample-level means,1.0,OPCs
