Var1,Var2,Freq,Var1_label,Var2_label
Astro_Homeostatic,Astro_Homeostatic,1.0,Homeostatic astrocytes,Homeostatic astrocytes
Astro_Intermediate,Astro_Homeostatic,-0.122851906247656,Intermediate astrocytes,Homeostatic astrocytes
Astro_Reactive,Astro_Homeostatic,-0.393371206009433,Reactive astrocytes,Homeostatic astrocytes
Endo_Arterial,Astro_Homeostatic,-0.0249681259529866,Arterial EC,Homeostatic astrocytes
Endo_Capillary,Astro_Homeostatic,0.120747832023567,Capillary EC,Homeostatic astrocytes
Endo_Pericyte,Astro_Homeostatic,0.166756821650106,Pericytes,Homeostatic astrocytes
Endo_SMC,Astro_Homeostatic,-0.145447294840282,Vascular SMC,Homeostatic astrocytes
Endo_Venous,Astro_Homeostatic,-0.008864668002922,Venous EC,Homeostatic astrocytes
Excitatory,Astro_Homeostatic,0.118568141767961,Excitatory,Homeostatic astrocytes
Inhibitory,Astro_Homeostatic,0.0131945671020242,Inhibitory,Homeostatic astrocytes
Micro_DAM,Astro_Homeostatic,-0.0690086206536381,DAM-like microglia,Homeostatic astrocytes
Micro_Homeostatic,Astro_Homeostatic,-0.112668846083507,Homeostatic microglia,Homeostatic astrocytes
Oligodendrocytes,Astro_Homeostatic,-0.483465954810429,Oligodendrocytes,Homeostatic astrocytes
OPCs,Astro_Homeostatic,-0.108369961097939,OPCs,Homeostatic astrocytes
Astro_Homeostatic,Astro_Intermediate,-0.122851906247656,Homeostatic astrocytes,Intermediate astrocytes
Astro_Intermediate,Astro_Intermediate,1.0,Intermediate astrocytes,Intermediate astrocytes
Astro_Reactive,Astro_Intermediate,-0.0577336485267,Reactive astrocytes,Intermediate astrocytes
Endo_Arterial,Astro_Intermediate,0.0186847613408479,Arterial EC,Intermediate astrocytes
Endo_Capillary,Astro_Intermediate,0.0472946342695941,Capillary EC,Intermediate astrocytes
Endo_Pericyte,Astro_Intermediate,-0.0128983980452268,Pericytes,Intermediate astrocytes
Endo_SMC,Astro_Intermediate,0.0758471698875904,Vascular SMC,Intermediate astrocytes
Endo_Venous,Astro_Intermediate,0.0227850543685925,Venous EC,Intermediate astrocytes
Excitatory,Astro_Intermediate,-0.116644196527681,Excitatory,Intermediate astrocytes
Inhibitory,Astro_Intermediate,0.0305606320493313,Inhibitory,Intermediate astrocytes
Micro_DAM,Astro_Intermediate,0.0206811174029991,DAM-like microglia,Intermediate astrocytes
Micro_Homeostatic,Astro_Intermediate,-0.0174268736915319,Homeostatic microglia,Intermediate astrocytes
Oligodendrocytes,Astro_Intermediate,-0.0192300175203388,Oligodendrocytes,Intermediate astrocytes
OPCs,Astro_Intermediate,0.0051877230139216,OPCs,Intermediate astrocytes
Astro_Homeostatic,Astro_Reactive,-0.393371206009433,Homeostatic astrocytes,Reactive astrocytes
Astro_Intermediate,Astro_Reactive,-0.0577336485267,Intermediate astrocytes,Reactive astrocytes
Astro_Reactive,Astro_Reactive,1.0,Reactive astrocytes,Reactive astrocytes
Endo_Arterial,Astro_Reactive,0.0381745653106462,Arterial EC,Reactive astrocytes
Endo_Capillary,Astro_Reactive,0.0625805108291193,Capillary EC,Reactive astrocytes
Endo_Pericyte,Astro_Reactive,-0.0533066955862135,Pericytes,Reactive astrocytes
Endo_SMC,Astro_Reactive,0.282798322309702,Vascular SMC,Reactive astrocytes
Endo_Venous,Astro_Reactive,0.0394841402911261,Venous EC,Reactive astrocytes
