sample_id,group,CellType,n_spots,spearman_rho,p_value,FDR,CellType_label
1-1,Control,Endo_Capillary,3720,0.35083511253453,3.37723701574964e-108,9.15122288138611e-108,Capillary EC
1-1,Control,Endo_Pericyte,3720,0.144286071067835,9.26652257443398e-19,1.5567757925049098e-18,Pericytes
1-1,Control,Endo_Venous,3720,-0.0046035235805405,0.778952530594839,0.792749750510353,Venous EC
1-1,Control,Endo_SMC,3720,-0.0052246027364635,0.750065482683535,0.777845685745888,Vascular SMC
1-1,Control,Endo_Arterial,3720,0.0227710934186925,0.164965579561715,0.18982340661896,Arterial EC
1-1,Control,Astro_Reactive,3720,0.185289858400772,4.368759940076969e-30,7.8079964886482e-30,Reactive astrocytes
1-1,Control,Astro_Homeostatic,3720,0.212706486466583,2.54958071153261e-39,4.7592173281942e-39,Homeostatic astrocytes
1-1,Control,Astro_Intermediate,3720,0.218853823660517,1.40522980253068e-41,2.682711441194929e-41,Intermediate astrocytes
1-1,Control,Micro_DAM,3720,0.290277652377437,3.85647956533143e-73,9.52777304375999e-73,DAM-like microglia
1-1,Control,Micro_Homeostatic,3720,0.232539888297596,7.345528292373171e-47,1.54256094139837e-46,Homeostatic microglia
1-1,Control,Oligodendrocytes,3720,0.928157208861749,0.0,0.0,Oligodendrocytes
1-1,Control,OPCs,3720,0.113917841202425,3.20534103836824e-12,4.80801155755237e-12,OPCs
1-1,Control,Inhibitory,3720,0.403658396184443,8.21384273441263e-146,2.6537030372717703e-145,Inhibitory
1-1,Control,Excitatory,3720,0.493717769965001,7.14736909907544e-228,3.5316412018961e-227,Excitatory
18-64,Control,Endo_Capillary,4066,0.346888207092876,2.58721285838095e-115,7.49399586565515e-115,Capillary EC
18-64,Control,Endo_Pericyte,4066,0.13687345921598,1.84527655445885e-18,3.0392790308734e-18,Pericytes
18-64,Control,Endo_Venous,4066,0.0336628506444998,0.0318357771386848,0.0376648630936552,Venous EC
18-64,Control,Endo_SMC,4066,0.0367462653638666,0.0191189450097862,0.0229427340117435,Vascular SMC
18-64,Control,Endo_Arterial,4066,-0.0134723169451132,0.390428937458139,0.43152672034847,Arterial EC
18-64,Control,Astro_Reactive,4066,0.0095039012059595,0.544617382442118,0.579086837027062,Reactive astrocytes
18-64,Control,Astro_Homeostatic,4066,0.443869114317768,6.4563254113837e-196,2.58253016455348e-195,Homeostatic astrocytes
18-64,Control,Astro_Intermediate,4066,0.222466915794392,9.00987599767535e-47,1.84592581415788e-46,Intermediate astrocytes
18-64,Control,Micro_DAM,4066,0.524628596761708,1.98535901695103e-286,1.11180104949258e-285,DAM-like microglia
18-64,Control,Micro_Homeostatic,4066,0.133038112196013,1.6165759274833202e-17,2.61139188285767e-17,Homeostatic microglia
18-64,Control,Oligodendrocytes,4066,0.614186136488579,0.0,0.0,Oligodendrocytes
18-64,Control,OPCs,4066,0.0946783337752547,1.45822228601112e-09,2.00804380368745e-09,OPCs
18-64,Control,Inhibitory,4066,0.273879078589948,7.06756170450076e-71,1.6962148090801798e-70,Inhibitory
18-64,Control,Excitatory,4066,0.239444042227042,4.09398921248198e-54,9.04987089074964e-54,Excitatory
2-5,Control,Endo_Capillary,4585,0.399331240944758,3.87802130116514e-175,1.48069904226305e-174,Capillary EC
2-5,Control,Endo_Pericyte,4585,0.122616583850415,7.95662715668849e-17,1.26105034181478e-16,Pericytes
2-5,Control,Endo_Venous,4585,0.0117759694651869,0.425339494612583,0.464006721395545,Venous EC
2-5,Control,Endo_SMC,4585,-0.0923287931111761,3.76424759177617e-10,5.35926775778302e-10,Vascular SMC
