source,target,ligand,receptor,interaction_name_2,LR_Pair,communication_strength
CapEC_ActHigh,CapEC_ActHigh,EDN1,ADGRL4,EDN1 - ADGRL4,EDN1:ADGRL4,5.53000649543383
CapEC_ActHigh,Astrocytes,TGM2,SDC4,TGM2 - SDC4,TGM2:SDC4,5.30562680132779
CapEC_ActHigh,CapEC_ActMid,EDN1,ADGRL4,EDN1 - ADGRL4,EDN1:ADGRL4,4.93295337198607
CapEC_ActMid,Astrocytes,TGM2,SDC4,TGM2 - SDC4,TGM2:SDC4,4.7448514396223
CapEC_ActHigh,CapEC_ActHigh,ANGPT2,TIE1,ANGPT2 - TIE1,ANGPT2:TIE1,4.67077082937509
CapEC_ActHigh,CapEC_ActHigh,VWF,ITGB1,VWF - ITGB1,VWF:ITGB1,4.61033774738797
CapEC_ActHigh,CapEC_ActMid,ANGPT2,TEK,ANGPT2 - TEK,ANGPT2:TEK,4.54361491584708
CapEC_ActMid,CapEC_ActHigh,VWF,ITGB1,VWF - ITGB1,VWF:ITGB1,4.5039011398043
CapEC_ActHigh,OPCs,VWF,LRP1,VWF - LRP1,VWF:LRP1,4.4793671420588
CapEC_ActHigh,CapEC_ActHigh,SPARC,ENG,SPARC - ENG,SPARC:ENG,4.46727274052437
CapEC_ActHigh,Oligodendrocytes,FN1,MAG,FN1 - MAG,FN1:MAG,4.46072536580911
CapEC_ActHigh,OPCs,ANXA1,GRM7,ANXA1 - GRM7,ANXA1:GRM7,4.43127687263872
CapEC_ActLow,CapEC_ActHigh,VEGFC,FLT1,VEGFC - FLT1,VEGFC:FLT1,4.39084021559002
CapEC_ActHigh,CapEC_ActHigh,ANGPT2,TEK,ANGPT2 - TEK,ANGPT2:TEK,4.37288432730355
CapEC_ActHigh,Astrocytes,PDGFB,ADGRV1,PDGFB - ADGRV1,PDGFB:ADGRV1,4.36124789214048
CapEC_ActHigh,CapEC_ActMid,VWF,ITGB1,VWF - ITGB1,VWF:ITGB1,4.36046463986151
CapEC_ActMid,CapEC_ActHigh,EDN1,ADGRL4,EDN1 - ADGRL4,EDN1:ADGRL4,4.35835110876904
CapEC_ActLow,CapEC_ActMid,VEGFC,FLT1,VEGFC - FLT1,VEGFC:FLT1,4.35226555679961
CapEC_ActMid,OPCs,VWF,LRP1,VWF - LRP1,VWF:LRP1,4.34668604700358
CapEC_ActMid,CapEC_ActHigh,VEGFC,FLT1,VEGFC - FLT1,VEGFC:FLT1,4.33360333036573
CapEC_ActHigh,CapEC_ActHigh,VEGFC,FLT1,VEGFC - FLT1,VEGFC:FLT1,4.31533439774322
CapEC_ActHigh,CapEC_ActMid,ANGPT2,TIE1,ANGPT2 - TIE1,ANGPT2:TIE1,4.30796734573952
CapEC_ActHigh,CapEC_ActMid,FN1,ITGA6,FN1 - ITGA6,FN1:ITGA6,4.26439504314963
CapEC_ActMid,CapEC_ActMid,VWF,ITGB1,VWF - ITGB1,VWF:ITGB1,4.26182597876555
CapEC_ActMid,CapEC_ActMid,VEGFC,FLT1,VEGFC - FLT1,VEGFC:FLT1,4.24588149208192
CapEC_ActHigh,CapEC_ActMid,SPARC,ENG,SPARC - ENG,SPARC:ENG,4.2313900266333
CapEC_ActHigh,CapEC_ActLow,EDN1,ADGRL4,EDN1 - ADGRL4,EDN1:ADGRL4,4.22032329726955
CapEC_ActHigh,CapEC_ActMid,VEGFC,FLT1,VEGFC - FLT1,VEGFC:FLT1,4.21313631423109
CapEC_ActHigh,CapEC_ActHigh,FN1,ITGA6,FN1 - ITGA6,FN1:ITGA6,4.20410799381511
CapEC_ActHigh,CapEC_ActHigh,ANGPT2,ITGA5_ITGB1,ANGPT2 - ITGA5_ITGB1,ANGPT2:ITGA5_ITGB1,4.20261655015507
CapEC_ActHigh,CapEC_ActHigh,FN1,ROBO4,FN1 - ROBO4,FN1:ROBO4,4.19207994522959
CapEC_ActHigh,CapEC_ActHigh,GNAI2,S1PR1,GNAI2 - S1PR1,GNAI2:S1PR1,4.0992378509831
CapEC_ActHigh,CapEC_ActHigh,PDGFC,FLT1,PDGFC - FLT1,PDGFC:FLT1,4.08019529361381
CapEC_ActHigh,CapEC_ActLow,ANGPT2,TIE1,ANGPT2 - TIE1,ANGPT2:TIE1,4.04859840853247
