sample,group,LR_Pair,source,target,ligand,receptor,mean_ce_score,max_ce_score,interaction_score_mean,interaction_score_max,status
1-1,CN,ANGPT2:TEK,CapEC_ActHigh,CapEC_ActMid,ANGPT2,TEK,1.0000000410586904,1880164.875,1.1917256287692187e-05,0.0215039430884582,plotted
1-1,CN,DLL4:NOTCH3,CapEC_ActHigh,Endothelial,DLL4,NOTCH3,0.9999999841072064,697988.625,0.0002464261655957,0.1619250149288394,plotted
18-64,CN,ANGPT2:TEK,CapEC_ActHigh,CapEC_ActMid,ANGPT2,TEK,0.9999999432403792,53582.25,0.0801905643254389,1.0,plotted
18-64,CN,DLL4:NOTCH3,CapEC_ActHigh,Endothelial,DLL4,NOTCH3,0.9999999338573864,172654.40625,0.0892983883988201,1.0,plotted
2-5,CN,ANGPT2:TEK,CapEC_ActHigh,CapEC_ActMid,ANGPT2,TEK,0.9999999553302013,97180.2578125,0.1039890417245104,1.0,plotted
2-5,CN,DLL4:NOTCH3,CapEC_ActHigh,Endothelial,DLL4,NOTCH3,0.9999998454375028,312747.09375,0.1041157998099279,1.0,plotted
2-3,AD,ANGPT2:TEK,CapEC_ActHigh,CapEC_ActMid,ANGPT2,TEK,0.99999990551497,88937.140625,0.0784056315867419,1.0,plotted
2-3,AD,DLL4:NOTCH3,CapEC_ActHigh,Endothelial,DLL4,NOTCH3,1.00000004572056,282832.3125,0.111330375248166,1.0,plotted
2-8,AD,ANGPT2:TEK,CapEC_ActHigh,CapEC_ActMid,ANGPT2,TEK,1.000000014432452,490049.21875,8.646221426405001e-05,0.1242625495168012,plotted
2-8,AD,DLL4:NOTCH3,CapEC_ActHigh,Endothelial,DLL4,NOTCH3,0.9999999205387586,326242.5,0.056728426975819,1.0,plotted
T4857,AD,ANGPT2:TEK,CapEC_ActHigh,CapEC_ActMid,ANGPT2,TEK,1.0000000008217218,103216.4453125,0.0784099510709524,1.0,plotted
T4857,AD,DLL4:NOTCH3,CapEC_ActHigh,Endothelial,DLL4,NOTCH3,0.999999936352714,788103.375,0.0005156502132958,0.195726050296613,plotted
